experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
49,compromised,0.0928,17.5,26.5,0.0,0.0
50,normal,0.4419,14.0,21.0,0.0,0.0
50,compromised,0.5188999999999999,27.0,43.0,0.29,0.29
51,normal,0.2418999999999999,15.0,13.5,0.0,0.0
51,compromised,0.8545,12.5,23.5,0.0799999999999999,0.0
52,normal,0.0784999999999999,17.0,19.5,0.0,0.0
52,compromised,1.4344,26.5,34.0,0.06,0.06
53,normal,0.0742,12.5,18.5,0.0,0.0
53,compromised,0.6945,16.0,18.5,0.24,0.19
54,normal,0.2809,17.0,17.0,0.0,0.0
54,compromised,0.5094000000000001,14.0,22.5,0.1899999999999999,0.14
55,normal,0.1879,11.5,16.0,0.0,0.0
55,compromised,0.201,25.0,14.0,0.08,0.08
56,normal,0.1394,9.5,18.5,0.0,0.0
56,compromised,0.8628,30.67,37.83,0.05,0.05
57,normal,0.3396,0.0,0.0,0.0,0.0
57,compromised,1.2407,18.33,29.0,0.1999999999999999,0.19
58,normal,0.234,18.0,29.0,0.0,0.0
58,compromised,0.5909,16.5,38.0,0.05,0.04
59,normal,0.3698,12.0,26.5,0.0,0.0
59,compromised,1.5672,37.83,42.17,0.2799999999999999,0.2
60,normal,0.1532,10.0,26.5,0.0,0.0
60,compromised,0.2078,17.0,23.5,0.0,0.0
61,normal,1.1873999999999998,12.5,20.5,0.0,0.0
61,compromised,1.0074,15.5,20.0,0.03,0.0
62,normal,0.1161,10.5,15.5,0.0,0.0
62,compromised,0.56,20.0,29.0,0.0,0.0
63,normal,0.4593,0.0,0.0,0.0,0.0
63,compromised,0.7036,33.67,44.67,0.0,0.0
64,normal,0.1362,13.5,18.0,0.0,0.0
64,compromised,0.3477,19.5,26.0,0.1599999999999999,0.16
65,normal,0.271,15.0,23.0,0.0,0.0
65,compromised,0.8834,48.0,48.0,0.1499999999999999,0.13
66,normal,0.4505,12.0,0.0,0.0,0.0
66,compromised,0.9543,31.0,31.5,0.1699999999999999,0.16
67,normal,0.2030999999999999,16.0,23.0,0.0,0.0
67,compromised,0.8593000000000001,67.0,55.33,0.29,0.27
68,normal,0.2562,10.5,22.5,0.0,0.0
68,compromised,1.8968,24.0,24.33,0.1399999999999999,0.13
69,normal,0.4129,8.5,26.5,0.0,0.0
69,compromised,0.718,27.0,34.33,0.0,0.0
70,normal,0.1418999999999999,6.5,24.5,0.0,0.0
70,compromised,1.3308,21.67,39.5,0.02,0.0
71,normal,0.2981,25.5,25.5,0.0,0.0
71,compromised,0.7733,17.0,17.0,0.26,0.23
72,normal,0.1674,10.5,10.0,0.0,0.0
72,compromised,0.8918,35.83,42.83,0.5,0.5
73,normal,0.2800999999999999,8.0,17.0,0.0,0.0
73,compromised,0.8565,22.0,34.33,0.3,0.25
74,normal,0.1790999999999999,12.5,17.5,0.0,0.0
74,compromised,1.623,18.33,29.5,0.1999999999999999,0.15
75,normal,0.2246999999999999,11.0,24.5,0.0,0.0
75,compromised,0.9642,58.17,53.17,0.1200000000000001,0.11
76,normal,0.3221,9.0,16.0,0.0,0.0
76,compromised,0.2143,16.0,27.5,0.1100000000000001,0.08
77,normal,0.2275,9.0,37.0,0.0,0.0
77,compromised,0.4292,26.5,28.0,0.02,0.0
78,normal,0.2771,18.5,16.5,0.0,0.0
78,compromised,0.7249,25.5,22.5,0.18,0.07
79,normal,0.2112,15.0,15.0,0.0,0.0
79,compromised,0.3656,14.5,25.0,0.0,0.0
80,normal,0.2611,11.0,30.0,0.0,0.0
80,compromised,0.4028,14.0,30.0,0.08,0.07
81,normal,0.224,13.0,15.5,0.0,0.0
81,compromised,0.4664999999999999,21.5,24.0,0.01,0.0
82,normal,0.1722,14.5,26.0,0.0,0.0
82,compromised,0.3907,18.0,32.0,0.25,0.24
83,normal,0.1556,13.5,28.5,0.0,0.0
83,compromised,0.298,10.5,21.5,0.1399999999999999,0.14
84,normal,0.1462,7.0,25.5,0.0,0.0
84,compromised,1.0093,14.5,30.5,0.0,0.0
85,normal,0.1991,29.0,31.0,0.0,0.0
85,compromised,0.579,29.0,29.0,0.0,0.0
86,normal,0.0824999999999999,10.0,24.0,0.0,0.0
86,compromised,0.5118,18.83,20.0,0.0,0.0
87,normal,0.2353,12.5,23.0,0.0,0.0
87,compromised,0.239,14.5,25.5,0.01,0.0
88,normal,0.1754,7.0,25.0,0.0,0.0
88,compromised,0.9351,34.67,35.67,0.0,0.0
89,normal,0.4043,12.0,26.5,0.0,0.0
89,compromised,0.2272999999999999,32.67,37.33,0.3,0.26
90,normal,0.4247,21.0,21.0,0.0,0.0
90,compromised,0.7143,53.0,55.0,0.0,0.0
91,normal,0.2251,14.0,16.0,0.0,0.0
91,compromised,1.0494,24.0,18.0,0.1699999999999999,0.17
92,normal,0.2893,17.0,17.0,0.0,0.0
92,compromised,1.1730999999999998,16.67,25.33,0.04,0.0
93,normal,0.2811999999999999,15.5,23.5,0.0,0.0
93,compromised,0.1813,15.5,27.0,0.1,0.08
