s1 packet_in: 58, packet_out: 58, ratio: 1.00
s2 packet_in: 17, packet_out: 17, ratio: 1.00
s3 packet_in: 47, packet_out: 47, ratio: 1.00
s4 packet_in: 659, packet_out: 659, ratio: 1.00
s5 packet_in: 654, packet_out: 654, ratio: 1.00
s6 packet_in: 295, packet_out: 295, ratio: 1.00
s7 packet_in: 164, packet_out: 164, ratio: 1.00
s8 packet_in: 657, packet_out: 657, ratio: 1.00
s9 packet_in: 31, packet_out: 31, ratio: 1.00
s10 packet_in: 322, packet_out: 322, ratio: 1.00
s11 packet_in: 517, packet_out: 517, ratio: 1.00
s12 packet_in: 366, packet_out: 366, ratio: 1.00
s13 packet_in: 77, packet_out: 77, ratio: 1.00
s14 packet_in: 176, packet_out: 176, ratio: 1.00
s15 packet_in: 23, packet_out: 23, ratio: 1.00
s16 packet_in: 165, packet_out: 165, ratio: 1.00
s17 packet_in: 17, packet_out: 17, ratio: 1.00
s18 packet_in: 304, packet_out: 304, ratio: 1.00
s19 packet_in: 65, packet_out: 65, ratio: 1.00
s20 packet_in: 654, packet_out: 654, ratio: 1.00
s21 packet_in: 656, packet_out: 656, ratio: 1.00
s22 packet_in: 556, packet_out: 556, ratio: 1.00
s23 packet_in: 658, packet_out: 658, ratio: 1.00
s24 packet_in: 43, packet_out: 43, ratio: 1.00
s25 packet_in: 146, packet_out: 146, ratio: 1.00
s26 packet_in: 659, packet_out: 659, ratio: 1.00
s27 packet_in: 660, packet_out: 660, ratio: 1.00
s28 packet_in: 658, packet_out: 658, ratio: 1.00
s29 packet_in: 664, packet_out: 664, ratio: 1.00
s30 packet_in: 663, packet_out: 663, ratio: 1.00
s31 packet_in: 654, packet_out: 654, ratio: 1.00
s32 packet_in: 659, packet_out: 659, ratio: 1.00
s33 packet_in: 490, packet_out: 490, ratio: 1.00
s34 packet_in: 68, packet_out: 68, ratio: 1.00
s35 packet_in: 107, packet_out: 107, ratio: 1.00
s36 packet_in: 506, packet_out: 506, ratio: 1.00
