s1 packet_in: 31, packet_out: 31, ratio: 1.00
s2 packet_in: 52, packet_out: 52, ratio: 1.00
s3 packet_in: 74, packet_out: 74, ratio: 1.00
s4 packet_in: 29, packet_out: 29, ratio: 1.00
s5 packet_in: 38, packet_out: 38, ratio: 1.00
s6 packet_in: 167, packet_out: 167, ratio: 1.00
s7 packet_in: 26, packet_out: 26, ratio: 1.00
s8 packet_in: 39, packet_out: 39, ratio: 1.00
s9 packet_in: 56, packet_out: 56, ratio: 1.00
s10 packet_in: 28, packet_out: 28, ratio: 1.00
s11 packet_in: 25, packet_out: 25, ratio: 1.00
s12 packet_in: 87, packet_out: 87, ratio: 1.00
s13 packet_in: 48, packet_out: 48, ratio: 1.00
s14 packet_in: 125, packet_out: 125, ratio: 1.00
s15 packet_in: 24, packet_out: 24, ratio: 1.00
s16 packet_in: 5, packet_out: 5, ratio: 1.00
s17 packet_in: 8, packet_out: 8, ratio: 1.00
s18 packet_in: 1, packet_out: 1, ratio: 1.00
s19 packet_in: 26, packet_out: 26, ratio: 1.00
s20 packet_in: 8, packet_out: 8, ratio: 1.00
s21 packet_in: 77, packet_out: 77, ratio: 1.00
s22 packet_in: 71, packet_out: 71, ratio: 1.00
s23 packet_in: 66, packet_out: 66, ratio: 1.00
s24 packet_in: 39, packet_out: 39, ratio: 1.00
s25 packet_in: 31, packet_out: 31, ratio: 1.00
s26 packet_in: 29, packet_out: 29, ratio: 1.00
s27 packet_in: 63, packet_out: 63, ratio: 1.00
s28 packet_in: 57, packet_out: 57, ratio: 1.00
s29 packet_in: 4, packet_out: 4, ratio: 1.00
s30 packet_in: 10, packet_out: 10, ratio: 1.00
s31 packet_in: 112, packet_out: 112, ratio: 1.00
s32 packet_in: 2, packet_out: 2, ratio: 1.00
s33 packet_in: 4, packet_out: 4, ratio: 1.00
s34 packet_in: 10, packet_out: 10, ratio: 1.00
s35 packet_in: 4, packet_out: 4, ratio: 1.00
s36 packet_in: 7, packet_out: 7, ratio: 1.00
s37 packet_in: 6, packet_out: 6, ratio: 1.00
s38 packet_in: 10, packet_out: 10, ratio: 1.00
s39 packet_in: 57, packet_out: 57, ratio: 1.00
s40 packet_in: 6, packet_out: 6, ratio: 1.00
s41 packet_in: 35, packet_out: 35, ratio: 1.00
s42 packet_in: 42, packet_out: 42, ratio: 1.00
s43 packet_in: 4, packet_out: 4, ratio: 1.00
s44 packet_in: 6, packet_out: 6, ratio: 1.00
s45 packet_in: 83, packet_out: 83, ratio: 1.00
