experiment,label,SPI,PFSI,TFSI,PPR,PPD
1,normal,0.2708,41.0,432.0,1.0,0.0
1,compromised,0.6545,357.33,513.67,1.0,0.0
2,normal,0.4106,47.0,354.0,1.0,0.0
2,compromised,0.1814,78.0,561.0,1.0,0.0
3,normal,0.155,133.5,546.5,1.0,0.0
3,compromised,0.6126,412.67,611.33,1.0,0.0
4,normal,0.3593,36.0,261.0,1.0,0.0
4,compromised,0.8713,288.67,396.67,1.0,0.0
5,normal,0.2582,50.5,442.5,1.0,0.0
5,compromised,0.4762,94.5,357.5,1.0,0.0
6,normal,0.2132,123.0,445.0,1.0,0.0
6,compromised,0.7823,426.67,638.33,1.0,0.0
7,normal,0.3022,77.5,400.5,1.0,0.0
7,compromised,0.473,441.67,589.33,1.0,0.0
8,normal,0.4014,31.0,294.0,1.0,0.0
8,compromised,0.372,136.0,413.0,1.0,0.0
9,normal,0.1683,185.0,411.0,1.0,0.0
9,compromised,0.5131,455.0,590.0,1.0,0.0
10,normal,0.2012,127.0,425.0,1.0,0.0
10,compromised,0.2693,82.5,491.5,1.0,0.0
11,normal,0.4005,6.5,328.5,1.0,0.0
11,compromised,0.4332,435.33,779.67,1.01,0.01
12,normal,0.3333,43.0,314.0,1.0,0.0
12,compromised,0.1833,114.0,531.0,1.01,0.01
13,normal,0.3032,35.5,423.5,1.0,0.0
13,compromised,0.3096,10.0,359.0,1.0,0.0
14,normal,0.246,207.0,343.0,1.0,0.0
14,compromised,0.458,392.0,539.0,1.0,0.0
15,normal,0.2731,42.0,328.0,1.0,0.0
15,compromised,0.294,130.0,333.0,1.0,0.0
16,normal,0.1596,160.5,534.5,1.0,0.0
16,compromised,0.3481,10.0,447.0,1.0,0.0
17,normal,0.3132,10.0,304.0,1.0,0.0
17,compromised,0.4178,480.33,782.67,1.0,0.0
18,normal,0.4254,67.5,299.5,1.0,0.0
18,compromised,0.2771,145.0,331.0,1.0,0.0
19,normal,0.1957,74.0,480.0,1.0,0.0
19,compromised,0.3167,422.67,628.33,1.0,0.0
20,normal,0.1973,109.0,551.0,1.0,0.0
20,compromised,0.4712,445.0,827.0,1.0,0.0
21,normal,0.2239,148.0,330.0,1.0,0.0
21,compromised,0.3272,463.0,783.0,1.01,0.01
22,normal,0.1908,116.5,466.5,1.0,0.0
22,compromised,0.8317,354.33,469.67,1.01,0.01
23,normal,0.3229,176.0,329.0,1.0,0.0
23,compromised,0.4775,414.33,640.67,1.0,0.0
24,normal,0.2915,147.5,372.5,1.0,0.0
24,compromised,0.4064,459.67,625.33,1.0,0.0
25,normal,0.1713,149.0,523.0,1.0,0.0
25,compromised,0.2973,493.67,767.33,1.0,0.0
26,normal,0.6053,86.0,269.0,1.0,0.0
26,compromised,0.2343,23.5,430.5,1.0,0.0
27,normal,0.2583,83.5,509.5,1.0,0.0
27,compromised,0.2488,96.5,459.5,1.0,0.0
28,normal,0.2803,107.5,330.5,1.0,0.0
28,compromised,0.4147,410.67,601.33,1.01,0.01
29,normal,0.2043,62.5,494.5,1.0,0.0
29,compromised,0.5449,104.0,506.0,1.01,0.01
30,normal,0.4568,92.5,314.5,1.0,0.0
30,compromised,0.2044,90.0,502.0,1.0,0.0
31,normal,0.2783,68.0,424.0,1.0,0.0
31,compromised,0.1685,163.0,507.0,1.01,0.01
32,normal,0.1545,218.0,615.0,1.0,0.0
32,compromised,0.4491,18.5,307.5,1.0,0.0
33,normal,0.1739,162.5,502.5,1.0,0.0
33,compromised,0.3686,41.5,326.5,1.0,0.0
34,normal,0.5323,40.0,263.0,1.0,0.0
34,compromised,0.437,6.5,254.5,1.0,0.0
35,normal,0.345,55.5,332.5,1.0,0.0
35,compromised,0.3519,86.0,316.0,1.0,0.0
36,normal,0.2182,180.0,336.0,1.0,0.0
36,compromised,0.4208,61.0,245.0,1.0,0.0
37,normal,0.2158,93.5,482.5,1.0,0.0
37,compromised,0.3759,436.67,755.33,1.0,0.0
38,normal,0.2776,150.5,394.5,1.0,0.0
38,compromised,0.2097,91.0,533.0,1.02,0.02
39,normal,0.2276,165.5,408.5,1.0,0.0
39,compromised,0.5519,334.0,443.0,0.99,0.0
40,normal,0.1511,54.5,603.5,1.0,0.0
40,compromised,0.2962,1.5,313.5,1.0,0.0
41,normal,0.351,128.5,382.5,1.0,0.0
41,compromised,0.3588,38.0,282.0,1.0,0.0
42,normal,0.2173,109.0,493.0,1.0,0.0
42,compromised,0.407,7.5,287.5,1.0,0.0
43,normal,0.1724,84.0,470.0,1.0,0.0
43,compromised,0.8784,411.0,637.0,1.0,0.0
44,normal,0.2673,126.5,352.5,1.0,0.0
44,compromised,0.3377,63.5,334.5,1.0,0.0
45,normal,0.4379,38.0,412.0,1.0,0.0
45,compromised,0.8094,19.0,429.0,0.99,0.0
46,normal,0.1823,142.0,354.0,1.0,0.0
46,compromised,0.3896,123.0,437.0,1.0,0.0
47,normal,0.2469,78.0,387.0,1.0,0.0
47,compromised,0.564,414.67,660.33,1.0,0.0
48,normal,0.4373,47.0,378.0,1.0,0.0
48,compromised,1.1422,313.33,492.67,1.0,0.0
49,normal,0.6074,50.0,309.0,1.0,0.0
49,compromised,0.5807,29.0,347.0,1.0,0.0
50,normal,0.1991,88.5,420.5,1.0,0.0
50,compromised,0.3242,84.0,235.0,1.0,0.0
