s1 packet_in: 113, packet_out: 113, ratio: 1.00
s2 packet_in: 46, packet_out: 46, ratio: 1.00
s3 packet_in: 547, packet_out: 547, ratio: 1.00
s4 packet_in: 134, packet_out: 134, ratio: 1.00
s5 packet_in: 6, packet_out: 6, ratio: 1.00
s6 packet_in: 11, packet_out: 11, ratio: 1.00
s7 packet_in: 14, packet_out: 14, ratio: 1.00
s8 packet_in: 1675, packet_out: 1675, ratio: 1.00
s9 packet_in: 3, packet_out: 3, ratio: 1.00
s10 packet_in: 18, packet_out: 18, ratio: 1.00
s11 packet_in: 111, packet_out: 111, ratio: 1.00
s12 packet_in: 68, packet_out: 68, ratio: 1.00
s13 packet_in: 36, packet_out: 36, ratio: 1.00
s14 packet_in: 17, packet_out: 17, ratio: 1.00
s15 packet_in: 88, packet_out: 88, ratio: 1.00
s16 packet_in: 51, packet_out: 51, ratio: 1.00
s17 packet_in: 13, packet_out: 13, ratio: 1.00
s18 packet_in: 122, packet_out: 122, ratio: 1.00
s19 packet_in: 127, packet_out: 127, ratio: 1.00
s20 packet_in: 175, packet_out: 175, ratio: 1.00
s21 packet_in: 28, packet_out: 28, ratio: 1.00
s22 packet_in: 13, packet_out: 13, ratio: 1.00
s23 packet_in: 10, packet_out: 10, ratio: 1.00
s24 packet_in: 43, packet_out: 43, ratio: 1.00
s25 packet_in: 12, packet_out: 12, ratio: 1.00
s26 packet_in: 282, packet_out: 282, ratio: 1.00
s27 packet_in: 470, packet_out: 470, ratio: 1.00
s28 packet_in: 3403, packet_out: 3403, ratio: 1.00
s29 packet_in: 54, packet_out: 54, ratio: 1.00
s30 packet_in: 656, packet_out: 656, ratio: 1.00
s31 packet_in: 89, packet_out: 89, ratio: 1.00
s32 packet_in: 37, packet_out: 37, ratio: 1.00
s33 packet_in: 16, packet_out: 16, ratio: 1.00
s34 packet_in: 7, packet_out: 7, ratio: 1.00
s35 packet_in: 51, packet_out: 51, ratio: 1.00
s36 packet_in: 1144, packet_out: 1144, ratio: 1.00
s37 packet_in: 1423, packet_out: 1423, ratio: 1.00
s38 packet_in: 757, packet_out: 757, ratio: 1.00
s39 packet_in: 955, packet_out: 955, ratio: 1.00
s40 packet_in: 569, packet_out: 569, ratio: 1.00
s41 packet_in: 25, packet_out: 25, ratio: 1.00
s42 packet_in: 10, packet_out: 10, ratio: 1.00
s43 packet_in: 8, packet_out: 8, ratio: 1.00
s44 packet_in: 5, packet_out: 5, ratio: 1.00
s45 packet_in: 27, packet_out: 27, ratio: 1.00
s46 packet_in: 299, packet_out: 299, ratio: 1.00
s47 packet_in: 16, packet_out: 16, ratio: 1.00
s48 packet_in: 180, packet_out: 180, ratio: 1.00
s49 packet_in: 85, packet_out: 85, ratio: 1.00
s50 packet_in: 228, packet_out: 228, ratio: 1.00
s51 packet_in: 1685, packet_out: 1685, ratio: 1.00
s52 packet_in: 78, packet_out: 78, ratio: 1.00
s53 packet_in: 391, packet_out: 391, ratio: 1.00
s54 packet_in: 183, packet_out: 183, ratio: 1.00
s55 packet_in: 309, packet_out: 309, ratio: 1.00
s56 packet_in: 70, packet_out: 70, ratio: 1.00
s57 packet_in: 559, packet_out: 559, ratio: 1.00
s58 packet_in: 1539, packet_out: 1539, ratio: 1.00
s59 packet_in: 256, packet_out: 256, ratio: 1.00
s60 packet_in: 338, packet_out: 338, ratio: 1.00
s61 packet_in: 48, packet_out: 48, ratio: 1.00
s62 packet_in: 52, packet_out: 52, ratio: 1.00
s63 packet_in: 80, packet_out: 80, ratio: 1.00
s64 packet_in: 51, packet_out: 51, ratio: 1.00
s65 packet_in: 194, packet_out: 194, ratio: 1.00
s66 packet_in: 55, packet_out: 55, ratio: 1.00
s67 packet_in: 98, packet_out: 98, ratio: 1.00
s68 packet_in: 197, packet_out: 197, ratio: 1.00
s69 packet_in: 8, packet_out: 8, ratio: 1.00
s70 packet_in: 212, packet_out: 212, ratio: 1.00
s71 packet_in: 85, packet_out: 85, ratio: 1.00
s72 packet_in: 195, packet_out: 195, ratio: 1.00
s73 packet_in: 49, packet_out: 49, ratio: 1.00
s74 packet_in: 44, packet_out: 44, ratio: 1.00
s75 packet_in: 45, packet_out: 45, ratio: 1.00
s76 packet_in: 425, packet_out: 425, ratio: 1.00
s77 packet_in: 65, packet_out: 65, ratio: 1.00
s78 packet_in: 844, packet_out: 844, ratio: 1.00
s79 packet_in: 46, packet_out: 46, ratio: 1.00
s80 packet_in: 374, packet_out: 374, ratio: 1.00
s81 packet_in: 94, packet_out: 94, ratio: 1.00
s82 packet_in: 7, packet_out: 7, ratio: 1.00
