s1 packet_in: 11, packet_out: 11, ratio: 1.00
s2 packet_in: 343, packet_out: 343, ratio: 1.00
s3 packet_in: 52, packet_out: 52, ratio: 1.00
s4 packet_in: 11, packet_out: 11, ratio: 1.00
s5 packet_in: 13, packet_out: 13, ratio: 1.00
s6 packet_in: 107, packet_out: 107, ratio: 1.00
s7 packet_in: 80, packet_out: 80, ratio: 1.00
s8 packet_in: 19, packet_out: 19, ratio: 1.00
s9 packet_in: 56, packet_out: 56, ratio: 1.00
s10 packet_in: 873, packet_out: 873, ratio: 1.00
s11 packet_in: 24, packet_out: 24, ratio: 1.00
s12 packet_in: 141, packet_out: 141, ratio: 1.00
s13 packet_in: 261, packet_out: 261, ratio: 1.00
s14 packet_in: 9, packet_out: 9, ratio: 1.00
s15 packet_in: 19, packet_out: 19, ratio: 1.00
s16 packet_in: 300, packet_out: 300, ratio: 1.00
s17 packet_in: 43, packet_out: 43, ratio: 1.00
s18 packet_in: 16, packet_out: 16, ratio: 1.00
s19 packet_in: 10, packet_out: 10, ratio: 1.00
s20 packet_in: 76, packet_out: 76, ratio: 1.00
s21 packet_in: 39, packet_out: 39, ratio: 1.00
s22 packet_in: 90, packet_out: 90, ratio: 1.00
s23 packet_in: 196, packet_out: 196, ratio: 1.00
s24 packet_in: 139, packet_out: 139, ratio: 1.00
s25 packet_in: 16, packet_out: 16, ratio: 1.00
s26 packet_in: 163, packet_out: 163, ratio: 1.00
s27 packet_in: 56, packet_out: 56, ratio: 1.00
s28 packet_in: 30, packet_out: 30, ratio: 1.00
s29 packet_in: 10, packet_out: 10, ratio: 1.00
s30 packet_in: 76, packet_out: 76, ratio: 1.00
s31 packet_in: 61, packet_out: 61, ratio: 1.00
s32 packet_in: 39, packet_out: 39, ratio: 1.00
s33 packet_in: 324, packet_out: 324, ratio: 1.00
s34 packet_in: 20, packet_out: 20, ratio: 1.00
s35 packet_in: 1022, packet_out: 1022, ratio: 1.00
s36 packet_in: 84, packet_out: 84, ratio: 1.00
s37 packet_in: 304, packet_out: 304, ratio: 1.00
s38 packet_in: 106, packet_out: 106, ratio: 1.00
s39 packet_in: 9, packet_out: 9, ratio: 1.00
s40 packet_in: 136, packet_out: 136, ratio: 1.00
s41 packet_in: 119, packet_out: 119, ratio: 1.00
s42 packet_in: 1919, packet_out: 1919, ratio: 1.00
s43 packet_in: 530, packet_out: 530, ratio: 1.00
s44 packet_in: 369, packet_out: 369, ratio: 1.00
s45 packet_in: 814, packet_out: 814, ratio: 1.00
s46 packet_in: 233, packet_out: 233, ratio: 1.00
s47 packet_in: 854, packet_out: 854, ratio: 1.00
s48 packet_in: 790, packet_out: 790, ratio: 1.00
s49 packet_in: 371, packet_out: 371, ratio: 1.00
s50 packet_in: 160, packet_out: 160, ratio: 1.00
s51 packet_in: 62, packet_out: 62, ratio: 1.00
s52 packet_in: 609, packet_out: 609, ratio: 1.00
s53 packet_in: 48, packet_out: 48, ratio: 1.00
s54 packet_in: 21, packet_out: 21, ratio: 1.00
s55 packet_in: 464, packet_out: 464, ratio: 1.00
s56 packet_in: 1681, packet_out: 1681, ratio: 1.00
s57 packet_in: 1802, packet_out: 1802, ratio: 1.00
s58 packet_in: 1387, packet_out: 1387, ratio: 1.00
s59 packet_in: 92, packet_out: 92, ratio: 1.00
s60 packet_in: 1030, packet_out: 1030, ratio: 1.00
s61 packet_in: 59, packet_out: 59, ratio: 1.00
s62 packet_in: 5, packet_out: 5, ratio: 1.00
s63 packet_in: 33, packet_out: 33, ratio: 1.00
s64 packet_in: 50, packet_out: 50, ratio: 1.00
s65 packet_in: 47, packet_out: 47, ratio: 1.00
s66 packet_in: 557, packet_out: 557, ratio: 1.00
s67 packet_in: 597, packet_out: 597, ratio: 1.00
s68 packet_in: 83, packet_out: 83, ratio: 1.00
s69 packet_in: 562, packet_out: 562, ratio: 1.00
s70 packet_in: 864, packet_out: 864, ratio: 1.00
s71 packet_in: 742, packet_out: 742, ratio: 1.00
s72 packet_in: 1791, packet_out: 1791, ratio: 1.00
s73 packet_in: 1112, packet_out: 1112, ratio: 1.00
