s1 packet_in: 44, packet_out: 44, ratio: 1.00
s2 packet_in: 12, packet_out: 12, ratio: 1.00
s3 packet_in: 213, packet_out: 213, ratio: 1.00
s4 packet_in: 255, packet_out: 255, ratio: 1.00
s5 packet_in: 59, packet_out: 59, ratio: 1.00
s6 packet_in: 15, packet_out: 15, ratio: 1.00
s7 packet_in: 16, packet_out: 16, ratio: 1.00
s8 packet_in: 50, packet_out: 50, ratio: 1.00
s9 packet_in: 18, packet_out: 15, ratio: 0.83
s10 packet_in: 115, packet_out: 115, ratio: 1.00
s11 packet_in: 39, packet_out: 39, ratio: 1.00
s12 packet_in: 12, packet_out: 12, ratio: 1.00
s13 packet_in: 165, packet_out: 165, ratio: 1.00
s14 packet_in: 42, packet_out: 42, ratio: 1.00
s15 packet_in: 157, packet_out: 157, ratio: 1.00
s16 packet_in: 10, packet_out: 10, ratio: 1.00
s17 packet_in: 143, packet_out: 143, ratio: 1.00
s18 packet_in: 25, packet_out: 25, ratio: 1.00
s19 packet_in: 21, packet_out: 21, ratio: 1.00
s20 packet_in: 408, packet_out: 408, ratio: 1.00
s21 packet_in: 56, packet_out: 56, ratio: 1.00
s22 packet_in: 45, packet_out: 45, ratio: 1.00
s23 packet_in: 55, packet_out: 55, ratio: 1.00
s24 packet_in: 15, packet_out: 15, ratio: 1.00
s25 packet_in: 51, packet_out: 51, ratio: 1.00
s26 packet_in: 118, packet_out: 118, ratio: 1.00
s27 packet_in: 71, packet_out: 71, ratio: 1.00
s28 packet_in: 55, packet_out: 55, ratio: 1.00
s29 packet_in: 127, packet_out: 127, ratio: 1.00
s30 packet_in: 525, packet_out: 525, ratio: 1.00
s31 packet_in: 163, packet_out: 163, ratio: 1.00
s32 packet_in: 18, packet_out: 18, ratio: 1.00
s33 packet_in: 26, packet_out: 26, ratio: 1.00
s34 packet_in: 26, packet_out: 26, ratio: 1.00
s35 packet_in: 27, packet_out: 27, ratio: 1.00
s36 packet_in: 162, packet_out: 162, ratio: 1.00
s37 packet_in: 313, packet_out: 313, ratio: 1.00
s38 packet_in: 470, packet_out: 470, ratio: 1.00
s39 packet_in: 97, packet_out: 97, ratio: 1.00
s40 packet_in: 199, packet_out: 199, ratio: 1.00
s41 packet_in: 332, packet_out: 332, ratio: 1.00
s42 packet_in: 339, packet_out: 339, ratio: 1.00
s43 packet_in: 972, packet_out: 972, ratio: 1.00
s44 packet_in: 1684, packet_out: 1684, ratio: 1.00
s45 packet_in: 441, packet_out: 441, ratio: 1.00
s46 packet_in: 123, packet_out: 123, ratio: 1.00
s47 packet_in: 7, packet_out: 7, ratio: 1.00
s48 packet_in: 12, packet_out: 12, ratio: 1.00
s49 packet_in: 121, packet_out: 121, ratio: 1.00
s50 packet_in: 284, packet_out: 284, ratio: 1.00
s51 packet_in: 38, packet_out: 38, ratio: 1.00
s52 packet_in: 10, packet_out: 10, ratio: 1.00
s53 packet_in: 72, packet_out: 72, ratio: 1.00
s54 packet_in: 76, packet_out: 76, ratio: 1.00
s55 packet_in: 104, packet_out: 104, ratio: 1.00
s56 packet_in: 216, packet_out: 216, ratio: 1.00
s57 packet_in: 49, packet_out: 49, ratio: 1.00
s58 packet_in: 51, packet_out: 51, ratio: 1.00
s59 packet_in: 10, packet_out: 10, ratio: 1.00
s60 packet_in: 168, packet_out: 168, ratio: 1.00
s61 packet_in: 95, packet_out: 95, ratio: 1.00
s62 packet_in: 10, packet_out: 10, ratio: 1.00
s63 packet_in: 90, packet_out: 90, ratio: 1.00
s64 packet_in: 9, packet_out: 9, ratio: 1.00
s65 packet_in: 7, packet_out: 7, ratio: 1.00
s66 packet_in: 247, packet_out: 247, ratio: 1.00
s67 packet_in: 133, packet_out: 133, ratio: 1.00
s68 packet_in: 792, packet_out: 792, ratio: 1.00
s69 packet_in: 95, packet_out: 95, ratio: 1.00
s70 packet_in: 1987, packet_out: 1987, ratio: 1.00
s71 packet_in: 74, packet_out: 74, ratio: 1.00
s72 packet_in: 81, packet_out: 81, ratio: 1.00
s73 packet_in: 52, packet_out: 52, ratio: 1.00
s74 packet_in: 57, packet_out: 57, ratio: 1.00
s75 packet_in: 65, packet_out: 65, ratio: 1.00
s76 packet_in: 103, packet_out: 103, ratio: 1.00
s77 packet_in: 40, packet_out: 40, ratio: 1.00
s78 packet_in: 82, packet_out: 82, ratio: 1.00
s79 packet_in: 234, packet_out: 234, ratio: 1.00
s80 packet_in: 6, packet_out: 6, ratio: 1.00
s81 packet_in: 6, packet_out: 6, ratio: 1.00
s82 packet_in: 4, packet_out: 4, ratio: 1.00
s83 packet_in: 1056, packet_out: 1056, ratio: 1.00
