s1 packet_in: 107, packet_out: 107, ratio: 1.00
s2 packet_in: 10, packet_out: 10, ratio: 1.00
s3 packet_in: 174, packet_out: 174, ratio: 1.00
s4 packet_in: 157, packet_out: 157, ratio: 1.00
s5 packet_in: 23, packet_out: 23, ratio: 1.00
s6 packet_in: 114, packet_out: 114, ratio: 1.00
s7 packet_in: 281, packet_out: 281, ratio: 1.00
s8 packet_in: 67, packet_out: 67, ratio: 1.00
s9 packet_in: 51, packet_out: 51, ratio: 1.00
s10 packet_in: 309, packet_out: 309, ratio: 1.00
s11 packet_in: 561, packet_out: 561, ratio: 1.00
s12 packet_in: 122, packet_out: 122, ratio: 1.00
s13 packet_in: 63, packet_out: 63, ratio: 1.00
s14 packet_in: 110, packet_out: 110, ratio: 1.00
s15 packet_in: 199, packet_out: 199, ratio: 1.00
s16 packet_in: 2018, packet_out: 2018, ratio: 1.00
s17 packet_in: 231, packet_out: 231, ratio: 1.00
s18 packet_in: 23, packet_out: 23, ratio: 1.00
s19 packet_in: 167, packet_out: 167, ratio: 1.00
s20 packet_in: 19, packet_out: 19, ratio: 1.00
s21 packet_in: 63, packet_out: 63, ratio: 1.00
s22 packet_in: 89, packet_out: 89, ratio: 1.00
s23 packet_in: 114, packet_out: 114, ratio: 1.00
s24 packet_in: 41, packet_out: 41, ratio: 1.00
s25 packet_in: 56, packet_out: 56, ratio: 1.00
s26 packet_in: 3278, packet_out: 3278, ratio: 1.00
s27 packet_in: 819, packet_out: 819, ratio: 1.00
s28 packet_in: 483, packet_out: 483, ratio: 1.00
s29 packet_in: 503, packet_out: 503, ratio: 1.00
s30 packet_in: 1302, packet_out: 1302, ratio: 1.00
s31 packet_in: 54, packet_out: 54, ratio: 1.00
s32 packet_in: 135, packet_out: 135, ratio: 1.00
s33 packet_in: 96, packet_out: 96, ratio: 1.00
s34 packet_in: 46, packet_out: 46, ratio: 1.00
s35 packet_in: 47, packet_out: 47, ratio: 1.00
s36 packet_in: 798, packet_out: 798, ratio: 1.00
s37 packet_in: 128, packet_out: 128, ratio: 1.00
s38 packet_in: 267, packet_out: 267, ratio: 1.00
s39 packet_in: 1112, packet_out: 1112, ratio: 1.00
s40 packet_in: 94, packet_out: 94, ratio: 1.00
s41 packet_in: 61, packet_out: 61, ratio: 1.00
s42 packet_in: 55, packet_out: 55, ratio: 1.00
s43 packet_in: 59, packet_out: 59, ratio: 1.00
s44 packet_in: 16, packet_out: 16, ratio: 1.00
s45 packet_in: 108, packet_out: 108, ratio: 1.00
s46 packet_in: 4, packet_out: 4, ratio: 1.00
s47 packet_in: 15, packet_out: 15, ratio: 1.00
s48 packet_in: 17, packet_out: 17, ratio: 1.00
s49 packet_in: 12, packet_out: 12, ratio: 1.00
s50 packet_in: 68, packet_out: 68, ratio: 1.00
s51 packet_in: 4, packet_out: 4, ratio: 1.00
s52 packet_in: 4, packet_out: 4, ratio: 1.00
s53 packet_in: 5, packet_out: 5, ratio: 1.00
s54 packet_in: 6, packet_out: 6, ratio: 1.00
s55 packet_in: 2, packet_out: 2, ratio: 1.00
s56 packet_in: 265, packet_out: 265, ratio: 1.00
s57 packet_in: 482, packet_out: 482, ratio: 1.00
s58 packet_in: 1284, packet_out: 1284, ratio: 1.00
s59 packet_in: 359, packet_out: 359, ratio: 1.00
s60 packet_in: 554, packet_out: 554, ratio: 1.00
s61 packet_in: 814, packet_out: 814, ratio: 1.00
s62 packet_in: 503, packet_out: 503, ratio: 1.00
s63 packet_in: 471, packet_out: 471, ratio: 1.00
s64 packet_in: 1905, packet_out: 1905, ratio: 1.00
s65 packet_in: 754, packet_out: 754, ratio: 1.00
s66 packet_in: 1066, packet_out: 1066, ratio: 1.00
s67 packet_in: 457, packet_out: 457, ratio: 1.00
s68 packet_in: 547, packet_out: 547, ratio: 1.00
s69 packet_in: 196, packet_out: 196, ratio: 1.00
s70 packet_in: 646, packet_out: 646, ratio: 1.00
s71 packet_in: 680, packet_out: 680, ratio: 1.00
s72 packet_in: 855, packet_out: 855, ratio: 1.00
s73 packet_in: 371, packet_out: 371, ratio: 1.00
s74 packet_in: 134, packet_out: 134, ratio: 1.00
s75 packet_in: 716, packet_out: 716, ratio: 1.00
s76 packet_in: 2289, packet_out: 2289, ratio: 1.00
s77 packet_in: 1829, packet_out: 1829, ratio: 1.00
s78 packet_in: 64, packet_out: 64, ratio: 1.00
s79 packet_in: 1513, packet_out: 1513, ratio: 1.00
s80 packet_in: 4, packet_out: 4, ratio: 1.00
s81 packet_in: 195, packet_out: 195, ratio: 1.00
s82 packet_in: 148, packet_out: 148, ratio: 1.00
s83 packet_in: 8, packet_out: 8, ratio: 1.00
s84 packet_in: 432, packet_out: 432, ratio: 1.00
s85 packet_in: 9, packet_out: 9, ratio: 1.00
s86 packet_in: 511, packet_out: 511, ratio: 1.00
s87 packet_in: 2413, packet_out: 2413, ratio: 1.00
s88 packet_in: 2227, packet_out: 2227, ratio: 1.00
s89 packet_in: 419, packet_out: 419, ratio: 1.00
s90 packet_in: 105, packet_out: 105, ratio: 1.00
s91 packet_in: 273, packet_out: 273, ratio: 1.00
s92 packet_in: 913, packet_out: 913, ratio: 1.00
s93 packet_in: 83, packet_out: 83, ratio: 1.00
s94 packet_in: 101, packet_out: 101, ratio: 1.00
s95 packet_in: 34, packet_out: 34, ratio: 1.00
s96 packet_in: 2, packet_out: 2, ratio: 1.00
s97 packet_in: 10, packet_out: 10, ratio: 1.00
s98 packet_in: 16, packet_out: 16, ratio: 1.00
s99 packet_in: 2, packet_out: 2, ratio: 1.00
s100 packet_in: 52, packet_out: 52, ratio: 1.00
s101 packet_in: 0, packet_out: 0, ratio: N/A
s102 packet_in: 12, packet_out: 12, ratio: 1.00
s103 packet_in: 2, packet_out: 2, ratio: 1.00
s104 packet_in: 6, packet_out: 6, ratio: 1.00
s105 packet_in: 8, packet_out: 8, ratio: 1.00
s106 packet_in: 80, packet_out: 80, ratio: 1.00
s107 packet_in: 106, packet_out: 106, ratio: 1.00
s108 packet_in: 13, packet_out: 13, ratio: 1.00
s109 packet_in: 1968, packet_out: 1968, ratio: 1.00
s110 packet_in: 1697, packet_out: 1697, ratio: 1.00
s111 packet_in: 4, packet_out: 4, ratio: 1.00
s112 packet_in: 1191, packet_out: 1191, ratio: 1.00
s113 packet_in: 2512, packet_out: 2512, ratio: 1.00
s114 packet_in: 604, packet_out: 604, ratio: 1.00
s115 packet_in: 10, packet_out: 10, ratio: 1.00
s116 packet_in: 110, packet_out: 110, ratio: 1.00
s117 packet_in: 92, packet_out: 92, ratio: 1.00
s118 packet_in: 118, packet_out: 118, ratio: 1.00
s119 packet_in: 8, packet_out: 8, ratio: 1.00
s120 packet_in: 308, packet_out: 308, ratio: 1.00
s121 packet_in: 220, packet_out: 220, ratio: 1.00
s122 packet_in: 116, packet_out: 116, ratio: 1.00
s123 packet_in: 6, packet_out: 6, ratio: 1.00
s124 packet_in: 84, packet_out: 84, ratio: 1.00
s125 packet_in: 113, packet_out: 113, ratio: 1.00
