experiment,label,SPI,PFSI,TFSI,PPR,PPD
49.0,compromised,0.1982,56.0,68.0,1.01,0.01
50.0,normal,0.212,34.0,34.0,1.0,0.0
50.0,compromised,0.1861,29.0,29.0,1.03,0.03
51.0,normal,0.1243,16.0,30.0,1.0,0.0
51.0,compromised,0.3738,57.5,57.5,1.07,0.07
52.0,normal,0.0594,10.5,24.5,1.0,0.0
52.0,compromised,0.4605,73.33,60.5,1.01,0.01
53.0,normal,0.145,14.0,27.0,1.0,0.0
53.0,compromised,0.7163,55.0,71.0,1.0,0.0
54.0,normal,0.1556,33.0,33.0,1.0,0.0
54.0,compromised,0.1575,21.5,32.5,0.97,0.0
55.0,normal,0.1598,27.5,47.5,1.0,0.0
55.0,compromised,0.1955,29.5,49.5,1.0,0.0
56.0,normal,0.1937,22.0,30.0,1.0,0.0
56.0,compromised,0.2109,46.33,49.67,1.03,0.03
57.0,normal,0.1523,16.0,30.0,1.0,0.0
57.0,compromised,0.4256,54.67,78.33,0.99,0.0
58.0,normal,0.142,30.0,41.0,1.0,0.0
58.0,compromised,0.7183,82.0,98.0,1.04,0.04
59.0,normal,0.1486,13.0,42.0,1.0,0.0
59.0,compromised,0.1703,5.5,38.5,1.03,0.03
60.0,normal,0.1012,0.0,0.0,1.0,0.0
60.0,compromised,0.9729,142.67,162.33,1.07,0.07
61.0,normal,0.1858,35.0,40.0,1.0,0.0
61.0,compromised,0.4297,59.33,59.33,0.98,0.0
62.0,normal,0.1111,47.0,58.0,1.0,0.0
62.0,compromised,0.5947,84.0,100.0,0.99,0.0
63.0,normal,0.0717,20.0,13.0,1.0,0.0
63.0,compromised,0.5174,48.67,48.67,1.0,0.0
64.0,normal,0.1514,27.0,40.0,1.0,0.0
64.0,compromised,0.3643,81.0,108.0,1.02,0.02
65.0,normal,0.0973,33.5,52.5,1.0,0.0
65.0,compromised,0.3876,60.67,89.67,1.02,0.02
66.0,normal,0.1834,8.0,48.0,1.0,0.0
66.0,compromised,0.7724,59.67,76.33,1.0,0.0
67.0,normal,0.1111,35.0,0.0,1.0,0.0
67.0,compromised,0.2436,11.5,55.5,1.1,0.1
68.0,normal,0.073,15.0,29.0,1.0,0.0
68.0,compromised,0.8387,64.67,64.67,1.0,0.0
69.0,normal,0.1484,8.0,32.0,1.0,0.0
69.0,compromised,0.4522,57.67,84.33,1.0,0.0
70.0,normal,0.188,0.0,29.0,1.0,0.0
70.0,compromised,0.2601,38.67,58.67,1.07,0.07
71.0,normal,0.0949,9.5,34.5,1.0,0.0
71.0,compromised,0.0411,12.0,43.0,0.98,0.0
72.0,normal,0.09,22.0,0.0,1.0,0.0
72.0,compromised,0.758,97.67,104.33,1.08,0.08
73.0,normal,0.1631,30.5,32.5,1.0,0.0
73.0,compromised,0.1858,24.5,24.5,1.08,0.08
74.0,normal,0.1556,10.5,39.5,1.0,0.0
74.0,compromised,0.2042,8.0,52.0,1.03,0.03
75.0,normal,0.148,36.0,36.0,1.0,0.0
75.0,compromised,0.6696,80.0,106.0,1.02,0.02
76.0,normal,0.1909,33.5,35.5,1.0,0.0
76.0,compromised,0.2648,47.0,49.0,1.03,0.03
77.0,normal,0.0975,2.0,41.0,1.0,0.0
77.0,compromised,0.4922,54.67,71.67,1.08,0.08
78.0,normal,0.1663,8.5,40.5,1.0,0.0
78.0,compromised,0.7361,117.67,119.67,0.99,0.0
79.0,normal,0.2801,41.5,43.5,1.0,0.0
79.0,compromised,0.6237,50.67,62.67,0.99,0.0
80.0,normal,0.1617,15.0,30.0,1.0,0.0
80.0,compromised,0.4926,47.67,71.33,1.0,0.0
81.0,normal,0.1249,2.5,24.5,1.0,0.0
81.0,compromised,0.0899,6.0,24.0,0.98,0.0
82.0,normal,0.1698,31.0,31.0,1.0,0.0
82.0,compromised,0.6754,81.33,81.33,1.03,0.03
83.0,normal,0.0795,28.0,0.0,1.0,0.0
83.0,compromised,0.1697,11.0,49.0,1.04,0.04
84.0,normal,0.1062,8.0,38.0,1.0,0.0
84.0,compromised,0.2608,64.67,64.67,1.03,0.03
85.0,normal,0.2397,25.0,25.0,1.0,0.0
85.0,compromised,0.265,79.67,87.67,1.05,0.05
86.0,normal,0.17,36.0,27.0,1.0,0.0
86.0,compromised,0.6139,67.0,67.0,1.07,0.07
87.0,normal,0.1432,31.0,44.0,1.0,0.0
87.0,compromised,0.6337,80.67,108.67,1.01,0.01
88.0,normal,0.1895,31.0,0.0,1.0,0.0
88.0,compromised,0.5449,51.67,64.67,1.0,0.0
89.0,normal,0.1894,8.5,43.5,1.0,0.0
89.0,compromised,0.1503,21.0,52.0,1.01,0.01
90.0,normal,0.265,25.5,49.5,1.0,0.0
90.0,compromised,0.7907,45.67,46.67,1.05,0.05
91.0,normal,0.1581,34.0,34.0,1.0,0.0
91.0,compromised,0.0992,34.0,34.0,0.99,0.0
92.0,normal,0.1204,13.0,26.0,1.0,0.0
92.0,compromised,0.303,44.67,57.67,0.99,0.0
93.0,normal,0.048,16.0,29.0,1.0,0.0
93.0,compromised,0.8176,76.33,107.33,1.04,0.04
94.0,normal,0.1609,6.0,45.0,1.0,0.0
94.0,compromised,0.6971,81.0,97.0,1.09,0.09
95.0,normal,0.1224,6.0,37.0,1.0,0.0
95.0,compromised,0.1692,3.0,33.0,0.98,0.0
96.0,normal,0.1,0.0,0.0,0.0,0.0
96.0,compromised,0.4648,91.0,117.0,1.08,0.08
97.0,normal,0.0635,26.0,51.0,1.0,0.0
97.0,compromised,0.3421,43.67,57.67,1.0,0.0
98.0,normal,0.0945,11.5,37.5,1.0,0.0
98.0,compromised,0.2547,89.67,89.67,1.04,0.04
99.0,normal,0.1176,2.0,28.0,1.0,0.0
99.0,compromised,0.5357,75.0,78.0,1.03,0.03
100.0,normal,0.2284,24.0,24.0,1.0,0.0
100.0,compromised,0.5775,61.0,87.0,1.03,0.03
101.0,normal,0.1218,23.5,58.5,1.0,0.0
101.0,compromised,0.1801,63.67,81.67,1.09,0.09
102.0,normal,0.1407,42.0,55.0,1.0,0.0
102.0,compromised,0.7939,91.0,91.0,1.0,0.0
103.0,normal,0.0957,41.0,41.0,1.0,0.0
103.0,compromised,0.986,101.67,119.67,1.01,0.01
104.0,normal,0.186,16.5,27.5,1.0,0.0
104.0,compromised,0.2602,62.33,93.67,0.99,0.0
105.0,normal,0.1238,18.0,31.0,1.0,0.0
105.0,compromised,0.1215,20.0,20.0,1.07,0.07
106.0,normal,0.1324,6.0,30.0,1.0,0.0
106.0,compromised,0.6198,40.33,74.67,1.03,0.03
107.0,normal,0.0625,12.0,30.0,1.0,0.0
107.0,compromised,0.2809,40.33,51.67,0.99,0.0
108.0,normal,0.2087,37.0,37.0,1.0,0.0
108.0,compromised,0.5343,53.67,53.67,1.04,0.04
109.0,normal,0.0887,28.0,54.0,1.0,0.0
109.0,compromised,1.066,156.33,112.67,1.08,0.08
110.0,normal,0.0938,35.0,49.0,1.0,0.0
110.0,compromised,0.0969,30.0,42.0,0.97,0.0
111.0,normal,0.102,14.0,30.0,1.0,0.0
111.0,compromised,0.0949,41.0,24.0,0.98,0.0
112.0,normal,0.1303,38.5,48.5,1.0,0.0
112.0,compromised,0.4569,71.0,91.0,1.07,0.07
113.0,normal,0.1472,3.0,47.0,1.0,0.0
113.0,compromised,0.4209,34.67,46.33,1.0,0.0
114.0,normal,0.1633,12.0,38.0,1.0,0.0
114.0,compromised,0.3008,46.33,71.67,1.0,0.0
115.0,normal,0.1942,5.0,27.0,1.0,0.0
115.0,compromised,0.4054,50.67,56.33,1.0,0.0
116.0,normal,0.142,6.0,42.0,1.0,0.0
116.0,compromised,0.1573,24.5,24.5,1.06,0.06
117.0,normal,0.1337,7.0,57.0,1.0,0.0
117.0,compromised,0.091,12.5,58.5,0.98,0.0
118.0,normal,0.053,13.0,39.0,1.0,0.0
118.0,compromised,0.2473,52.33,78.67,1.02,0.02
119.0,normal,0.1248,35.0,59.0,1.0,0.0
119.0,compromised,0.4481,84.0,109.0,1.02,0.02
120.0,normal,0.0519,38.0,51.0,1.0,0.0
120.0,compromised,0.105,27.0,40.0,0.99,0.0
121.0,normal,0.1008,45.0,45.0,1.0,0.0
121.0,compromised,0.1979,37.0,47.0,1.05,0.05
122.0,normal,0.1202,8.0,34.0,1.0,0.0
122.0,compromised,0.4179,46.67,72.0,0.99,0.0
123.0,normal,0.18,31.5,39.5,1.0,0.0
123.0,compromised,0.2667,19.0,27.0,0.99,0.0
124.0,normal,0.1665,7.0,41.0,1.0,0.0
124.0,compromised,0.1956,74.33,74.33,1.03,0.03
125.0,normal,0.1501,42.0,42.0,1.0,0.0
125.0,compromised,0.0513,33.5,53.5,1.0,0.0
126.0,normal,0.205,41.0,45.0,1.0,0.0
126.0,compromised,0.2199,68.0,70.0,1.0,0.0
127.0,normal,0.0611,30.0,43.0,1.0,0.0
127.0,compromised,0.0907,22.5,42.5,0.96,0.0
128.0,normal,0.1929,7.0,32.0,1.0,0.0
128.0,compromised,0.2386,32.0,52.0,1.02,0.02
129.0,normal,0.1763,34.0,34.0,1.0,0.0
129.0,compromised,0.2255,59.33,59.33,1.0,0.0
130.0,normal,0.0851,17.0,40.0,1.0,0.0
130.0,compromised,0.2472,4.5,32.5,1.04,0.04
131.0,normal,0.3094,10.0,30.0,1.0,0.0
131.0,compromised,0.2102,26.5,31.5,1.05,0.05
