s1 packet_in: 254, packet_out: 254, ratio: 1.00
s2 packet_in: 100, packet_out: 100, ratio: 1.00
s3 packet_in: 232, packet_out: 232, ratio: 1.00
s4 packet_in: 350, packet_out: 350, ratio: 1.00
s5 packet_in: 251, packet_out: 209, ratio: 0.83
s6 packet_in: 38, packet_out: 38, ratio: 1.00
s7 packet_in: 89, packet_out: 89, ratio: 1.00
s8 packet_in: 257, packet_out: 257, ratio: 1.00
s9 packet_in: 313, packet_out: 313, ratio: 1.00
s10 packet_in: 215, packet_out: 215, ratio: 1.00
s11 packet_in: 32, packet_out: 32, ratio: 1.00
s12 packet_in: 57, packet_out: 57, ratio: 1.00
s13 packet_in: 514, packet_out: 514, ratio: 1.00
s14 packet_in: 193, packet_out: 193, ratio: 1.00
s15 packet_in: 131, packet_out: 131, ratio: 1.00
s16 packet_in: 115, packet_out: 115, ratio: 1.00
s17 packet_in: 108, packet_out: 108, ratio: 1.00
s18 packet_in: 135, packet_out: 135, ratio: 1.00
s19 packet_in: 28, packet_out: 28, ratio: 1.00
s20 packet_in: 58, packet_out: 58, ratio: 1.00
s21 packet_in: 31, packet_out: 31, ratio: 1.00
s22 packet_in: 71, packet_out: 71, ratio: 1.00
s23 packet_in: 59, packet_out: 59, ratio: 1.00
s24 packet_in: 299, packet_out: 299, ratio: 1.00
s25 packet_in: 74, packet_out: 74, ratio: 1.00
s26 packet_in: 88, packet_out: 88, ratio: 1.00
s27 packet_in: 137, packet_out: 137, ratio: 1.00
s28 packet_in: 53, packet_out: 53, ratio: 1.00
s29 packet_in: 93, packet_out: 93, ratio: 1.00
s30 packet_in: 8, packet_out: 8, ratio: 1.00
s31 packet_in: 502, packet_out: 502, ratio: 1.00
s32 packet_in: 4, packet_out: 4, ratio: 1.00
s33 packet_in: 66, packet_out: 66, ratio: 1.00
s34 packet_in: 10, packet_out: 10, ratio: 1.00
s35 packet_in: 92, packet_out: 92, ratio: 1.00
s36 packet_in: 72, packet_out: 72, ratio: 1.00
s37 packet_in: 11, packet_out: 11, ratio: 1.00
s38 packet_in: 4, packet_out: 4, ratio: 1.00
s39 packet_in: 43, packet_out: 43, ratio: 1.00
s40 packet_in: 168, packet_out: 168, ratio: 1.00
s41 packet_in: 2, packet_out: 2, ratio: 1.00
s42 packet_in: 7, packet_out: 14, ratio: 2.00
s43 packet_in: 22, packet_out: 22, ratio: 1.00
s44 packet_in: 103, packet_out: 103, ratio: 1.00
s45 packet_in: 50, packet_out: 50, ratio: 1.00
