s1 packet_in: 51, packet_out: 51, ratio: 1.00
s2 packet_in: 540, packet_out: 540, ratio: 1.00
s3 packet_in: 61, packet_out: 61, ratio: 1.00
s4 packet_in: 23, packet_out: 23, ratio: 1.00
s5 packet_in: 55, packet_out: 55, ratio: 1.00
s6 packet_in: 64, packet_out: 64, ratio: 1.00
s7 packet_in: 545, packet_out: 545, ratio: 1.00
s8 packet_in: 15, packet_out: 15, ratio: 1.00
s9 packet_in: 85, packet_out: 85, ratio: 1.00
s10 packet_in: 17, packet_out: 17, ratio: 1.00
s11 packet_in: 349, packet_out: 349, ratio: 1.00
s12 packet_in: 540, packet_out: 540, ratio: 1.00
s13 packet_in: 71, packet_out: 71, ratio: 1.00
s14 packet_in: 549, packet_out: 549, ratio: 1.00
s15 packet_in: 406, packet_out: 406, ratio: 1.00
s16 packet_in: 22, packet_out: 22, ratio: 1.00
s17 packet_in: 553, packet_out: 553, ratio: 1.00
s18 packet_in: 139, packet_out: 139, ratio: 1.00
s19 packet_in: 145, packet_out: 145, ratio: 1.00
s20 packet_in: 51, packet_out: 51, ratio: 1.00
s21 packet_in: 49, packet_out: 49, ratio: 1.00
s22 packet_in: 541, packet_out: 541, ratio: 1.00
s23 packet_in: 49, packet_out: 49, ratio: 1.00
s24 packet_in: 160, packet_out: 160, ratio: 1.00
s25 packet_in: 20, packet_out: 20, ratio: 1.00
s26 packet_in: 562, packet_out: 562, ratio: 1.00
s27 packet_in: 554, packet_out: 554, ratio: 1.00
s28 packet_in: 561, packet_out: 561, ratio: 1.00
s29 packet_in: 565, packet_out: 565, ratio: 1.00
s30 packet_in: 567, packet_out: 567, ratio: 1.00
s31 packet_in: 141, packet_out: 141, ratio: 1.00
s32 packet_in: 568, packet_out: 568, ratio: 1.00
s33 packet_in: 557, packet_out: 557, ratio: 1.00
s34 packet_in: 566, packet_out: 566, ratio: 1.00
s35 packet_in: 48, packet_out: 48, ratio: 1.00
s36 packet_in: 555, packet_out: 555, ratio: 1.00
s37 packet_in: 183, packet_out: 183, ratio: 1.00
s38 packet_in: 46, packet_out: 46, ratio: 1.00
s39 packet_in: 61, packet_out: 61, ratio: 1.00
s40 packet_in: 59, packet_out: 59, ratio: 1.00
s41 packet_in: 552, packet_out: 552, ratio: 1.00
s42 packet_in: 458, packet_out: 458, ratio: 1.00
s43 packet_in: 537, packet_out: 537, ratio: 1.00
s44 packet_in: 548, packet_out: 432, ratio: 0.79
s45 packet_in: 551, packet_out: 551, ratio: 1.00
s46 packet_in: 551, packet_out: 551, ratio: 1.00
s47 packet_in: 553, packet_out: 553, ratio: 1.00
s48 packet_in: 554, packet_out: 554, ratio: 1.00
s49 packet_in: 554, packet_out: 554, ratio: 1.00
s50 packet_in: 544, packet_out: 544, ratio: 1.00
s51 packet_in: 218, packet_out: 218, ratio: 1.00
s52 packet_in: 570, packet_out: 570, ratio: 1.00
s53 packet_in: 170, packet_out: 170, ratio: 1.00
s54 packet_in: 21, packet_out: 21, ratio: 1.00
s55 packet_in: 428, packet_out: 428, ratio: 1.00
s56 packet_in: 559, packet_out: 559, ratio: 1.00
s57 packet_in: 554, packet_out: 554, ratio: 1.00
s58 packet_in: 556, packet_out: 556, ratio: 1.00
s59 packet_in: 556, packet_out: 556, ratio: 1.00
s60 packet_in: 559, packet_out: 1118, ratio: 2.00
s61 packet_in: 560, packet_out: 560, ratio: 1.00
s62 packet_in: 565, packet_out: 565, ratio: 1.00
s63 packet_in: 568, packet_out: 568, ratio: 1.00
s64 packet_in: 559, packet_out: 559, ratio: 1.00
s65 packet_in: 561, packet_out: 561, ratio: 1.00
s66 packet_in: 542, packet_out: 542, ratio: 1.00
s67 packet_in: 551, packet_out: 551, ratio: 1.00
s68 packet_in: 552, packet_out: 552, ratio: 1.00
s69 packet_in: 552, packet_out: 552, ratio: 1.00
s70 packet_in: 556, packet_out: 556, ratio: 1.00
s71 packet_in: 557, packet_out: 557, ratio: 1.00
s72 packet_in: 555, packet_out: 555, ratio: 1.00
