s1 packet_in: 8, packet_out: 8, ratio: 1.00
s2 packet_in: 33, packet_out: 33, ratio: 1.00
s3 packet_in: 73, packet_out: 73, ratio: 1.00
s4 packet_in: 222, packet_out: 222, ratio: 1.00
s5 packet_in: 113, packet_out: 113, ratio: 1.00
s6 packet_in: 10, packet_out: 10, ratio: 1.00
s7 packet_in: 15, packet_out: 15, ratio: 1.00
s8 packet_in: 289, packet_out: 289, ratio: 1.00
s9 packet_in: 617, packet_out: 617, ratio: 1.00
s10 packet_in: 360, packet_out: 360, ratio: 1.00
s11 packet_in: 90, packet_out: 90, ratio: 1.00
s12 packet_in: 339, packet_out: 339, ratio: 1.00
s13 packet_in: 296, packet_out: 296, ratio: 1.00
s14 packet_in: 64, packet_out: 128, ratio: 2.00
s15 packet_in: 9, packet_out: 9, ratio: 1.00
s16 packet_in: 74, packet_out: 74, ratio: 1.00
s17 packet_in: 76, packet_out: 76, ratio: 1.00
s18 packet_in: 62, packet_out: 62, ratio: 1.00
s19 packet_in: 810, packet_out: 810, ratio: 1.00
s20 packet_in: 199, packet_out: 199, ratio: 1.00
s21 packet_in: 51, packet_out: 51, ratio: 1.00
s22 packet_in: 59, packet_out: 59, ratio: 1.00
s23 packet_in: 137, packet_out: 137, ratio: 1.00
s24 packet_in: 14, packet_out: 14, ratio: 1.00
s25 packet_in: 13, packet_out: 13, ratio: 1.00
s26 packet_in: 1002, packet_out: 1002, ratio: 1.00
s27 packet_in: 1012, packet_out: 824, ratio: 0.81
s28 packet_in: 999, packet_out: 999, ratio: 1.00
s29 packet_in: 1003, packet_out: 1003, ratio: 1.00
s30 packet_in: 88, packet_out: 88, ratio: 1.00
s31 packet_in: 67, packet_out: 67, ratio: 1.00
s32 packet_in: 220, packet_out: 220, ratio: 1.00
s33 packet_in: 208, packet_out: 208, ratio: 1.00
s34 packet_in: 201, packet_out: 201, ratio: 1.00
s35 packet_in: 486, packet_out: 486, ratio: 1.00
s36 packet_in: 346, packet_out: 346, ratio: 1.00
s37 packet_in: 52, packet_out: 52, ratio: 1.00
s38 packet_in: 516, packet_out: 516, ratio: 1.00
s39 packet_in: 45, packet_out: 45, ratio: 1.00
s40 packet_in: 112, packet_out: 112, ratio: 1.00
s41 packet_in: 360, packet_out: 360, ratio: 1.00
s42 packet_in: 689, packet_out: 689, ratio: 1.00
s43 packet_in: 727, packet_out: 727, ratio: 1.00
s44 packet_in: 845, packet_out: 845, ratio: 1.00
s45 packet_in: 292, packet_out: 292, ratio: 1.00
s46 packet_in: 1000, packet_out: 1000, ratio: 1.00
s47 packet_in: 997, packet_out: 997, ratio: 1.00
s48 packet_in: 993, packet_out: 993, ratio: 1.00
s49 packet_in: 998, packet_out: 998, ratio: 1.00
s50 packet_in: 998, packet_out: 998, ratio: 1.00
s51 packet_in: 121, packet_out: 121, ratio: 1.00
s52 packet_in: 773, packet_out: 773, ratio: 1.00
s53 packet_in: 244, packet_out: 244, ratio: 1.00
s54 packet_in: 193, packet_out: 193, ratio: 1.00
s55 packet_in: 54, packet_out: 54, ratio: 1.00
s56 packet_in: 36, packet_out: 36, ratio: 1.00
s57 packet_in: 186, packet_out: 186, ratio: 1.00
s58 packet_in: 995, packet_out: 995, ratio: 1.00
s59 packet_in: 39, packet_out: 39, ratio: 1.00
s60 packet_in: 14, packet_out: 14, ratio: 1.00
s61 packet_in: 1000, packet_out: 1000, ratio: 1.00
s62 packet_in: 119, packet_out: 119, ratio: 1.00
s63 packet_in: 995, packet_out: 995, ratio: 1.00
s64 packet_in: 999, packet_out: 999, ratio: 1.00
s65 packet_in: 306, packet_out: 306, ratio: 1.00
s66 packet_in: 111, packet_out: 111, ratio: 1.00
s67 packet_in: 33, packet_out: 33, ratio: 1.00
s68 packet_in: 473, packet_out: 473, ratio: 1.00
s69 packet_in: 954, packet_out: 954, ratio: 1.00
s70 packet_in: 33, packet_out: 33, ratio: 1.00
s71 packet_in: 54, packet_out: 54, ratio: 1.00
s72 packet_in: 997, packet_out: 997, ratio: 1.00
s73 packet_in: 29, packet_out: 29, ratio: 1.00
s74 packet_in: 778, packet_out: 778, ratio: 1.00
s75 packet_in: 692, packet_out: 692, ratio: 1.00
s76 packet_in: 1004, packet_out: 1004, ratio: 1.00
s77 packet_in: 83, packet_out: 83, ratio: 1.00
s78 packet_in: 148, packet_out: 148, ratio: 1.00
s79 packet_in: 1004, packet_out: 1004, ratio: 1.00
s80 packet_in: 6, packet_out: 6, ratio: 1.00
s81 packet_in: 6, packet_out: 6, ratio: 1.00
s82 packet_in: 93, packet_out: 93, ratio: 1.00
s83 packet_in: 6, packet_out: 6, ratio: 1.00
s84 packet_in: 91, packet_out: 91, ratio: 1.00
s85 packet_in: 43, packet_out: 43, ratio: 1.00
s86 packet_in: 0, packet_out: 0, ratio: N/A
s87 packet_in: 5, packet_out: 5, ratio: 1.00
s88 packet_in: 545, packet_out: 545, ratio: 1.00
s89 packet_in: 87, packet_out: 87, ratio: 1.00
s90 packet_in: 77, packet_out: 77, ratio: 1.00
s91 packet_in: 94, packet_out: 94, ratio: 1.00
s92 packet_in: 1005, packet_out: 1005, ratio: 1.00
s93 packet_in: 143, packet_out: 143, ratio: 1.00
s94 packet_in: 4, packet_out: 4, ratio: 1.00
s95 packet_in: 419, packet_out: 419, ratio: 1.00
s96 packet_in: 1001, packet_out: 1001, ratio: 1.00
s97 packet_in: 996, packet_out: 996, ratio: 1.00
s98 packet_in: 1026, packet_out: 1026, ratio: 1.00
s99 packet_in: 6, packet_out: 6, ratio: 1.00
s100 packet_in: 994, packet_out: 994, ratio: 1.00
s101 packet_in: 455, packet_out: 455, ratio: 1.00
s102 packet_in: 101, packet_out: 101, ratio: 1.00
s103 packet_in: 97, packet_out: 97, ratio: 1.00
s104 packet_in: 8, packet_out: 8, ratio: 1.00
s105 packet_in: 8, packet_out: 8, ratio: 1.00
s106 packet_in: 624, packet_out: 624, ratio: 1.00
s107 packet_in: 4, packet_out: 4, ratio: 1.00
s108 packet_in: 5, packet_out: 5, ratio: 1.00
s109 packet_in: 997, packet_out: 997, ratio: 1.00
s110 packet_in: 4, packet_out: 4, ratio: 1.00
s111 packet_in: 96, packet_out: 96, ratio: 1.00
s112 packet_in: 1000, packet_out: 1000, ratio: 1.00
s113 packet_in: 996, packet_out: 996, ratio: 1.00
s114 packet_in: 992, packet_out: 992, ratio: 1.00
s115 packet_in: 134, packet_out: 134, ratio: 1.00
s116 packet_in: 93, packet_out: 93, ratio: 1.00
s117 packet_in: 6, packet_out: 6, ratio: 1.00
s118 packet_in: 83, packet_out: 83, ratio: 1.00
s119 packet_in: 4, packet_out: 4, ratio: 1.00
s120 packet_in: 678, packet_out: 678, ratio: 1.00
s121 packet_in: 8, packet_out: 8, ratio: 1.00
s122 packet_in: 123, packet_out: 123, ratio: 1.00
s123 packet_in: 995, packet_out: 995, ratio: 1.00
s124 packet_in: 5, packet_out: 5, ratio: 1.00
s125 packet_in: 65, packet_out: 65, ratio: 1.00
