s1 packet_in: 62, packet_out: 62, ratio: 1.00
s2 packet_in: 87, packet_out: 87, ratio: 1.00
s3 packet_in: 118, packet_out: 118, ratio: 1.00
s4 packet_in: 17, packet_out: 17, ratio: 1.00
s5 packet_in: 17, packet_out: 17, ratio: 1.00
s6 packet_in: 17, packet_out: 17, ratio: 1.00
s7 packet_in: 92, packet_out: 92, ratio: 1.00
s8 packet_in: 15, packet_out: 15, ratio: 1.00
s9 packet_in: 468, packet_out: 468, ratio: 1.00
s10 packet_in: 68, packet_out: 68, ratio: 1.00
s11 packet_in: 207, packet_out: 207, ratio: 1.00
s12 packet_in: 370, packet_out: 370, ratio: 1.00
s13 packet_in: 58, packet_out: 58, ratio: 1.00
s14 packet_in: 56, packet_out: 56, ratio: 1.00
s15 packet_in: 463, packet_out: 463, ratio: 1.00
s16 packet_in: 53, packet_out: 53, ratio: 1.00
s17 packet_in: 15, packet_out: 15, ratio: 1.00
s18 packet_in: 522, packet_out: 522, ratio: 1.00
s19 packet_in: 11, packet_out: 11, ratio: 1.00
s20 packet_in: 19, packet_out: 19, ratio: 1.00
s21 packet_in: 45, packet_out: 45, ratio: 1.00
s22 packet_in: 15, packet_out: 15, ratio: 1.00
s23 packet_in: 225, packet_out: 225, ratio: 1.00
s24 packet_in: 62, packet_out: 62, ratio: 1.00
s25 packet_in: 48, packet_out: 48, ratio: 1.00
s26 packet_in: 202, packet_out: 202, ratio: 1.00
s27 packet_in: 12, packet_out: 12, ratio: 1.00
s28 packet_in: 55, packet_out: 55, ratio: 1.00
s29 packet_in: 416, packet_out: 416, ratio: 1.00
s30 packet_in: 67, packet_out: 67, ratio: 1.00
s31 packet_in: 1708, packet_out: 1708, ratio: 1.00
s32 packet_in: 414, packet_out: 414, ratio: 1.00
s33 packet_in: 16, packet_out: 16, ratio: 1.00
s34 packet_in: 68, packet_out: 68, ratio: 1.00
s35 packet_in: 130, packet_out: 130, ratio: 1.00
s36 packet_in: 409, packet_out: 409, ratio: 1.00
s37 packet_in: 128, packet_out: 128, ratio: 1.00
s38 packet_in: 888, packet_out: 888, ratio: 1.00
s39 packet_in: 1230, packet_out: 1230, ratio: 1.00
s40 packet_in: 164, packet_out: 164, ratio: 1.00
s41 packet_in: 128, packet_out: 128, ratio: 1.00
s42 packet_in: 976, packet_out: 976, ratio: 1.00
s43 packet_in: 891, packet_out: 891, ratio: 1.00
s44 packet_in: 255, packet_out: 255, ratio: 1.00
s45 packet_in: 253, packet_out: 253, ratio: 1.00
s46 packet_in: 964, packet_out: 964, ratio: 1.00
s47 packet_in: 514, packet_out: 514, ratio: 1.00
s48 packet_in: 736, packet_out: 736, ratio: 1.00
s49 packet_in: 585, packet_out: 585, ratio: 1.00
s50 packet_in: 665, packet_out: 665, ratio: 1.00
s51 packet_in: 1145, packet_out: 1145, ratio: 1.00
s52 packet_in: 1702, packet_out: 1702, ratio: 1.00
s53 packet_in: 1138, packet_out: 1138, ratio: 1.00
s54 packet_in: 1338, packet_out: 1338, ratio: 1.00
s55 packet_in: 1702, packet_out: 1702, ratio: 1.00
s56 packet_in: 63, packet_out: 63, ratio: 1.00
s57 packet_in: 787, packet_out: 787, ratio: 1.00
s58 packet_in: 1697, packet_out: 1697, ratio: 1.00
s59 packet_in: 399, packet_out: 399, ratio: 1.00
s60 packet_in: 705, packet_out: 705, ratio: 1.00
s61 packet_in: 14, packet_out: 14, ratio: 1.00
s62 packet_in: 54, packet_out: 54, ratio: 1.00
s63 packet_in: 40, packet_out: 40, ratio: 1.00
s64 packet_in: 20, packet_out: 20, ratio: 1.00
s65 packet_in: 47, packet_out: 47, ratio: 1.00
s66 packet_in: 50, packet_out: 50, ratio: 1.00
s67 packet_in: 98, packet_out: 98, ratio: 1.00
