s1 packet_in: 505, packet_out: 505, ratio: 1.00
s2 packet_in: 73, packet_out: 73, ratio: 1.00
s3 packet_in: 82, packet_out: 82, ratio: 1.00
s4 packet_in: 54, packet_out: 54, ratio: 1.00
s5 packet_in: 45, packet_out: 45, ratio: 1.00
s6 packet_in: 42, packet_out: 42, ratio: 1.00
s7 packet_in: 139, packet_out: 139, ratio: 1.00
s8 packet_in: 768, packet_out: 768, ratio: 1.00
s9 packet_in: 59, packet_out: 59, ratio: 1.00
s10 packet_in: 447, packet_out: 447, ratio: 1.00
s11 packet_in: 70, packet_out: 70, ratio: 1.00
s12 packet_in: 51, packet_out: 51, ratio: 1.00
s13 packet_in: 72, packet_out: 72, ratio: 1.00
s14 packet_in: 626, packet_out: 626, ratio: 1.00
s15 packet_in: 163, packet_out: 163, ratio: 1.00
s16 packet_in: 883, packet_out: 883, ratio: 1.00
s17 packet_in: 7, packet_out: 7, ratio: 1.00
s18 packet_in: 11, packet_out: 11, ratio: 1.00
s19 packet_in: 18, packet_out: 18, ratio: 1.00
s20 packet_in: 231, packet_out: 231, ratio: 1.00
s21 packet_in: 599, packet_out: 599, ratio: 1.00
s22 packet_in: 12, packet_out: 12, ratio: 1.00
s23 packet_in: 49, packet_out: 49, ratio: 1.00
s24 packet_in: 263, packet_out: 263, ratio: 1.00
s25 packet_in: 136, packet_out: 136, ratio: 1.00
s26 packet_in: 470, packet_out: 470, ratio: 1.00
s27 packet_in: 432, packet_out: 432, ratio: 1.00
s28 packet_in: 434, packet_out: 434, ratio: 1.00
s29 packet_in: 896, packet_out: 896, ratio: 1.00
s30 packet_in: 890, packet_out: 890, ratio: 1.00
s31 packet_in: 890, packet_out: 890, ratio: 1.00
s32 packet_in: 386, packet_out: 386, ratio: 1.00
s33 packet_in: 37, packet_out: 37, ratio: 1.00
s34 packet_in: 169, packet_out: 169, ratio: 1.00
s35 packet_in: 43, packet_out: 43, ratio: 1.00
s36 packet_in: 90, packet_out: 90, ratio: 1.00
s37 packet_in: 309, packet_out: 309, ratio: 1.00
s38 packet_in: 890, packet_out: 890, ratio: 1.00
s39 packet_in: 793, packet_out: 793, ratio: 1.00
s40 packet_in: 888, packet_out: 888, ratio: 1.00
s41 packet_in: 9, packet_out: 9, ratio: 1.00
s42 packet_in: 55, packet_out: 55, ratio: 1.00
s43 packet_in: 6, packet_out: 6, ratio: 1.00
s44 packet_in: 44, packet_out: 44, ratio: 1.00
