s1 packet_in: 375, packet_out: 375, ratio: 1.00
s2 packet_in: 35, packet_out: 35, ratio: 1.00
s3 packet_in: 190, packet_out: 190, ratio: 1.00
s4 packet_in: 232, packet_out: 232, ratio: 1.00
s5 packet_in: 62, packet_out: 62, ratio: 1.00
s6 packet_in: 74, packet_out: 74, ratio: 1.00
s7 packet_in: 73, packet_out: 73, ratio: 1.00
s8 packet_in: 33, packet_out: 33, ratio: 1.00
s9 packet_in: 301, packet_out: 301, ratio: 1.00
s10 packet_in: 78, packet_out: 78, ratio: 1.00
s11 packet_in: 82, packet_out: 82, ratio: 1.00
s12 packet_in: 36, packet_out: 36, ratio: 1.00
s13 packet_in: 69, packet_out: 69, ratio: 1.00
s14 packet_in: 16, packet_out: 16, ratio: 1.00
s15 packet_in: 48, packet_out: 48, ratio: 1.00
s16 packet_in: 94, packet_out: 94, ratio: 1.00
s17 packet_in: 15, packet_out: 15, ratio: 1.00
s18 packet_in: 23, packet_out: 23, ratio: 1.00
s19 packet_in: 24, packet_out: 24, ratio: 1.00
s20 packet_in: 60, packet_out: 60, ratio: 1.00
s21 packet_in: 228, packet_out: 228, ratio: 1.00
s22 packet_in: 122, packet_out: 122, ratio: 1.00
s23 packet_in: 54, packet_out: 54, ratio: 1.00
s24 packet_in: 60, packet_out: 60, ratio: 1.00
s25 packet_in: 47, packet_out: 47, ratio: 1.00
s26 packet_in: 31, packet_out: 31, ratio: 1.00
s27 packet_in: 296, packet_out: 296, ratio: 1.00
s28 packet_in: 80, packet_out: 80, ratio: 1.00
s29 packet_in: 48, packet_out: 48, ratio: 1.00
s30 packet_in: 10, packet_out: 10, ratio: 1.00
s31 packet_in: 81, packet_out: 81, ratio: 1.00
s32 packet_in: 2, packet_out: 2, ratio: 1.00
s33 packet_in: 4, packet_out: 4, ratio: 1.00
s34 packet_in: 73, packet_out: 73, ratio: 1.00
s35 packet_in: 23, packet_out: 23, ratio: 1.00
s36 packet_in: 8, packet_out: 8, ratio: 1.00
s37 packet_in: 15, packet_out: 30, ratio: 2.00
s38 packet_in: 59, packet_out: 59, ratio: 1.00
s39 packet_in: 118, packet_out: 118, ratio: 1.00
s40 packet_in: 4, packet_out: 4, ratio: 1.00
s41 packet_in: 50, packet_out: 50, ratio: 1.00
s42 packet_in: 42, packet_out: 42, ratio: 1.00
s43 packet_in: 5, packet_out: 5, ratio: 1.00
s44 packet_in: 6, packet_out: 6, ratio: 1.00
s45 packet_in: 103, packet_out: 103, ratio: 1.00
