s1 packet_in: 10, packet_out: 10, ratio: 1.00
s2 packet_in: 61, packet_out: 61, ratio: 1.00
s3 packet_in: 11, packet_out: 11, ratio: 1.00
s4 packet_in: 56, packet_out: 56, ratio: 1.00
s5 packet_in: 9, packet_out: 9, ratio: 1.00
s6 packet_in: 7, packet_out: 7, ratio: 1.00
s7 packet_in: 10, packet_out: 10, ratio: 1.00
s8 packet_in: 9, packet_out: 9, ratio: 1.00
s9 packet_in: 279, packet_out: 279, ratio: 1.00
s10 packet_in: 21, packet_out: 21, ratio: 1.00
s11 packet_in: 78, packet_out: 78, ratio: 1.00
s12 packet_in: 92, packet_out: 92, ratio: 1.00
s13 packet_in: 94, packet_out: 94, ratio: 1.00
s14 packet_in: 17, packet_out: 17, ratio: 1.00
s15 packet_in: 7, packet_out: 7, ratio: 1.00
s16 packet_in: 101, packet_out: 101, ratio: 1.00
s17 packet_in: 63, packet_out: 63, ratio: 1.00
s18 packet_in: 61, packet_out: 61, ratio: 1.00
s19 packet_in: 22, packet_out: 22, ratio: 1.00
s20 packet_in: 13, packet_out: 13, ratio: 1.00
s21 packet_in: 115, packet_out: 115, ratio: 1.00
s22 packet_in: 229, packet_out: 229, ratio: 1.00
s23 packet_in: 56, packet_out: 56, ratio: 1.00
s24 packet_in: 9, packet_out: 9, ratio: 1.00
s25 packet_in: 8, packet_out: 8, ratio: 1.00
s26 packet_in: 512, packet_out: 512, ratio: 1.00
s27 packet_in: 482, packet_out: 482, ratio: 1.00
s28 packet_in: 986, packet_out: 986, ratio: 1.00
s29 packet_in: 99, packet_out: 99, ratio: 1.00
s30 packet_in: 242, packet_out: 242, ratio: 1.00
s31 packet_in: 7, packet_out: 7, ratio: 1.00
s32 packet_in: 11, packet_out: 11, ratio: 1.00
s33 packet_in: 51, packet_out: 51, ratio: 1.00
s34 packet_in: 49, packet_out: 49, ratio: 1.00
s35 packet_in: 36, packet_out: 36, ratio: 1.00
s36 packet_in: 72, packet_out: 72, ratio: 1.00
s37 packet_in: 357, packet_out: 357, ratio: 1.00
s38 packet_in: 40, packet_out: 40, ratio: 1.00
s39 packet_in: 122, packet_out: 122, ratio: 1.00
s40 packet_in: 25, packet_out: 25, ratio: 1.00
s41 packet_in: 42, packet_out: 42, ratio: 1.00
s42 packet_in: 57, packet_out: 57, ratio: 1.00
s43 packet_in: 34, packet_out: 34, ratio: 1.00
s44 packet_in: 34, packet_out: 34, ratio: 1.00
s45 packet_in: 151, packet_out: 151, ratio: 1.00
s46 packet_in: 692, packet_out: 692, ratio: 1.00
s47 packet_in: 124, packet_out: 124, ratio: 1.00
s48 packet_in: 334, packet_out: 334, ratio: 1.00
s49 packet_in: 659, packet_out: 659, ratio: 1.00
s50 packet_in: 290, packet_out: 290, ratio: 1.00
s51 packet_in: 53, packet_out: 53, ratio: 1.00
