experiment,label,SPI,PFSI,TFSI,PPR,PPD
49.0,compromised,0.6978,156.0,262.0,1.0,0.0
50.0,normal,0.2202,26.0,251.0,1.0,0.0
50.0,compromised,0.4708,0.5,277.5,1.0,0.0
51.0,normal,0.1418,93.0,298.0,1.0,0.0
51.0,compromised,0.7844,136.5,391.5,1.01,0.01
52.0,normal,0.1445,106.0,247.0,1.0,0.0
52.0,compromised,0.9121,35.0,251.0,1.0,0.0
53.0,normal,0.1525,97.0,275.0,1.0,0.0
53.0,compromised,0.3351,142.5,300.5,1.0,0.0
54.0,normal,0.2636,61.0,191.0,1.0,0.0
54.0,compromised,0.3745,9.0,227.0,1.0,0.0
55.0,normal,0.1049,0.0,264.0,1.0,0.0
55.0,compromised,0.6099,5.0,358.0,1.0,0.0
56.0,normal,0.1252,18.0,273.0,1.0,0.0
56.0,compromised,0.3432,60.5,313.5,1.0,0.0
57.0,normal,0.1706,96.0,284.0,1.0,0.0
57.0,compromised,0.3953,30.0,309.0,1.0,0.0
58.0,normal,0.2651,19.0,216.0,1.0,0.0
58.0,compromised,0.5492,77.0,316.0,1.0,0.0
59.0,normal,0.1236,14.0,289.0,1.0,0.0
59.0,compromised,0.2949,145.0,264.0,1.0,0.0
60.0,normal,0.1563,168.5,282.5,1.0,0.0
60.0,compromised,0.1687,7.5,272.5,1.0,0.0
61.0,normal,0.1185,54.0,283.0,1.0,0.0
61.0,compromised,0.7179,17.0,255.0,1.05,0.05
62.0,normal,0.1435,74.0,256.0,1.0,0.0
62.0,compromised,0.2039,11.5,272.5,1.12,0.12
63.0,normal,0.1916,126.0,318.0,1.0,0.0
63.0,compromised,0.3461,277.67,414.33,1.02,0.02
64.0,normal,0.1402,139.0,211.0,1.0,0.0
64.0,compromised,0.3976,42.0,273.0,1.0,0.0
65.0,normal,0.1649,79.0,265.0,1.0,0.0
65.0,compromised,0.1546,61.5,273.5,1.0,0.0
66.0,normal,0.2664,158.0,213.0,1.0,0.0
66.0,compromised,0.2559,79.5,259.5,1.0,0.0
67.0,normal,0.1774,10.0,285.0,1.0,0.0
67.0,compromised,0.1752,87.5,304.5,1.0,0.0
68.0,normal,0.1833,58.5,205.5,1.0,0.0
68.0,compromised,0.4658,67.5,252.5,1.01,0.01
69.0,normal,0.2025,68.0,236.0,1.0,0.0
69.0,compromised,0.4345,116.5,312.5,1.0,0.0
70.0,normal,0.1777,47.0,343.0,1.0,0.0
70.0,compromised,0.8129,172.0,357.0,1.0,0.0
71.0,normal,0.1485,26.0,311.0,1.0,0.0
71.0,compromised,0.4509,259.33,401.67,1.01,0.01
72.0,normal,0.2057,114.0,295.0,1.0,0.0
72.0,compromised,0.355,2.5,264.5,1.0,0.0
73.0,normal,0.1934,48.0,240.0,1.0,0.0
73.0,compromised,0.1375,28.0,275.0,0.99,0.0
74.0,normal,0.354,206.0,215.0,1.0,0.0
74.0,compromised,0.8346,291.0,472.0,1.0,0.0
75.0,normal,0.1556,96.0,225.0,1.0,0.0
75.0,compromised,0.5796,9.5,236.5,1.0,0.0
76.0,normal,0.1003,110.0,293.0,1.0,0.0
76.0,compromised,0.1059,54.5,263.5,1.0,0.0
77.0,normal,0.1418,28.5,307.5,1.0,0.0
77.0,compromised,0.1738,139.0,270.0,1.0,0.0
