experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
46.0,compromised,0.2727,64.0,78.5,0.01,0.0
47.0,normal,0.2825,13.0,47.0,0.0,0.0
47.0,compromised,0.8582000000000001,19.0,47.0,0.03,0.03
48.0,normal,0.1712,42.5,58.0,0.0,0.0
48.0,compromised,0.2402,30.0,57.0,0.01,0.01
49.0,normal,0.3257,16.5,50.5,0.0,0.0
49.0,compromised,1.1207,16.5,53.5,0.04,0.0
50.0,normal,0.4173,23.5,59.5,0.0,0.0
50.0,compromised,0.8298,33.0,68.0,0.1200000000000001,0.08
51.0,normal,0.122,21.0,74.0,0.0,0.0
51.0,compromised,1.1752,26.0,134.0,0.05,0.05
52.0,normal,0.1723,54.5,58.5,0.0,0.0
52.0,compromised,1.4629,21.0,80.0,0.0,0.0
53.0,normal,0.1225999999999999,61.5,65.5,0.0,0.0
53.0,compromised,0.4358999999999999,66.0,70.0,0.03,0.0
54.0,normal,0.3217,16.5,43.0,0.0,0.0
54.0,compromised,1.1855,30.5,46.0,0.06,0.0
55.0,normal,0.1489,25.5,52.5,0.0,0.0
55.0,compromised,0.8619,33.0,96.0,0.07,0.02
56.0,normal,0.2345,21.0,49.5,0.0,0.0
56.0,compromised,0.375,54.0,75.5,0.1,0.09
57.0,normal,0.2473999999999999,60.0,71.5,0.0,0.0
57.0,compromised,0.9865,24.5,58.5,0.1499999999999999,0.15
58.0,normal,0.2482999999999999,25.5,55.5,0.0,0.0
58.0,compromised,0.6598999999999999,22.0,73.5,0.1999999999999999,0.19
59.0,normal,0.1961,36.0,65.0,0.0,0.0
59.0,compromised,0.6469,25.0,57.5,0.06,0.03
60.0,normal,0.154,73.5,77.5,0.0,0.0
60.0,compromised,0.1987,24.5,60.5,0.06,0.06
61.0,normal,0.4245,49.5,67.5,0.0,0.0
61.0,compromised,1.1886,32.5,75.5,0.1999999999999999,0.2
62.0,normal,0.1327999999999999,15.5,46.5,0.0,0.0
62.0,compromised,1.0648,29.0,52.5,0.76,0.76
63.0,normal,0.3598,70.0,89.0,0.0,0.0
63.0,compromised,0.7328,36.67,65.0,0.2099999999999999,0.21
64.0,normal,0.3003,17.0,44.0,0.0,0.0
64.0,compromised,1.3027,44.0,55.0,0.0,0.0
65.0,normal,0.1411,53.0,61.5,0.0,0.0
65.0,compromised,0.1656,44.5,73.5,0.0,0.0
66.0,normal,0.3661999999999999,28.5,42.5,0.0,0.0
66.0,compromised,0.844,30.5,48.5,0.0,0.0
67.0,normal,0.5839000000000001,32.5,61.5,0.0,0.0
67.0,compromised,0.6446000000000001,60.5,68.0,0.09,0.09
68.0,normal,0.4768,38.0,57.0,0.0,0.0
68.0,compromised,1.1519,46.5,48.5,0.03,0.03
69.0,normal,0.374,48.5,57.5,0.0,0.0
69.0,compromised,1.1095000000000002,71.5,77.5,0.06,0.0
70.0,normal,0.2291,47.0,94.0,0.0,0.0
70.0,compromised,1.1553,95.0,121.5,0.05,0.0
71.0,normal,0.2604999999999999,45.5,82.5,0.0,0.0
71.0,compromised,0.8532,59.0,92.0,0.1,0.1
72.0,normal,0.3112,71.0,84.0,0.0,0.0
72.0,compromised,1.5991,26.0,67.0,0.04,0.04
73.0,normal,0.1674,18.0,43.5,0.0,0.0
73.0,compromised,0.2229,24.0,53.5,0.04,0.0
74.0,normal,0.386,24.0,33.0,0.0,0.0
74.0,compromised,1.506,34.17,86.0,0.1300000000000001,0.1
75.0,normal,0.3024,21.5,37.5,0.0,0.0
75.0,compromised,0.8461,20.5,46.0,0.02,0.0
76.0,normal,0.1606,62.0,64.5,0.0,0.0
76.0,compromised,0.1754,40.0,54.5,0.01,0.0
77.0,normal,0.1531,29.0,65.0,0.0,0.0
77.0,compromised,0.2118999999999999,17.5,58.0,0.1100000000000001,0.11
78.0,normal,0.2235,100.5,92.0,0.0,0.0
78.0,compromised,0.8697,88.0,59.5,0.2199999999999999,0.16
79.0,normal,0.2333,29.0,58.0,0.0,0.0
79.0,compromised,0.8675,27.0,50.5,0.0,0.0
80.0,normal,0.1814,16.0,52.0,0.0,0.0
80.0,compromised,1.2934,95.5,128.5,0.06,0.02
81.0,normal,0.1385,80.0,67.0,0.0,0.0
81.0,compromised,1.4543,111.5,108.0,0.24,0.22
82.0,normal,0.2757,18.5,65.5,0.0,0.0
82.0,compromised,1.2493,61.0,94.0,0.0,0.0
83.0,normal,0.1868,38.0,69.0,0.0,0.0
83.0,compromised,0.1943,54.5,89.5,0.05,0.0
84.0,normal,0.4921,36.5,56.5,0.0,0.0
84.0,compromised,0.6329,35.0,51.0,0.1,0.07
85.0,normal,0.1072999999999999,123.5,99.5,0.0,0.0
85.0,compromised,0.4342,113.0,106.0,0.04,0.04
86.0,normal,0.0865,26.0,53.5,0.0,0.0
86.0,compromised,1.1636,53.5,86.5,0.02,0.02
87.0,normal,0.3259,28.5,42.5,0.0,0.0
87.0,compromised,0.7172000000000001,29.0,54.0,0.02,0.0
88.0,normal,0.2014999999999999,14.0,50.5,0.0,0.0
88.0,compromised,0.8672000000000001,78.83,95.83,0.05,0.0
89.0,normal,0.2262,39.5,52.5,0.0,0.0
89.0,compromised,0.8562000000000001,45.33,66.0,0.03,0.03
90.0,normal,0.1962999999999999,17.0,56.0,0.0,0.0
90.0,compromised,0.6041,42.5,59.5,0.2899999999999999,0.19
91.0,normal,0.1644999999999999,20.0,43.5,0.0,0.0
91.0,compromised,1.4847,57.0,54.5,0.0,0.0
92.0,normal,0.1294999999999999,27.0,67.0,0.0,0.0
92.0,compromised,0.8729,101.0,112.0,0.02,0.01
93.0,normal,0.1182,72.0,95.0,0.0,0.0
93.0,compromised,1.2156,36.67,54.5,0.01,0.0
94.0,normal,0.1523,73.0,70.0,0.0,0.0
94.0,compromised,1.1504,79.0,79.0,0.08,0.08
95.0,normal,0.285,40.0,48.5,0.0,0.0
95.0,compromised,0.4114,68.5,80.33,0.26,0.26
96.0,normal,0.255,24.0,53.0,0.0,0.0
96.0,compromised,0.7217,34.0,56.0,0.09,0.04
97.0,normal,0.1629999999999999,29.5,47.5,0.0,0.0
97.0,compromised,0.3978,28.5,43.5,0.04,0.0
98.0,normal,0.129,64.5,81.5,0.0,0.0
98.0,compromised,0.9613,54.0,67.0,0.02,0.0
99.0,normal,0.3889,13.0,44.0,0.0,0.0
99.0,compromised,1.1139,48.0,51.0,0.07,0.04
100.0,normal,0.1888,16.5,67.5,0.0,0.0
100.0,compromised,0.2008,16.0,62.5,0.06,0.0
101.0,normal,0.3586999999999999,14.0,44.0,0.0,0.0
