s1 packet_in: 216, packet_out: 216, ratio: 1.00
s2 packet_in: 18, packet_out: 18, ratio: 1.00
s3 packet_in: 310, packet_out: 310, ratio: 1.00
s4 packet_in: 14, packet_out: 14, ratio: 1.00
s5 packet_in: 18, packet_out: 18, ratio: 1.00
s6 packet_in: 107, packet_out: 107, ratio: 1.00
s7 packet_in: 30, packet_out: 30, ratio: 1.00
s8 packet_in: 8, packet_out: 8, ratio: 1.00
s9 packet_in: 19, packet_out: 19, ratio: 1.00
s10 packet_in: 378, packet_out: 378, ratio: 1.00
s11 packet_in: 53, packet_out: 53, ratio: 1.00
s12 packet_in: 46, packet_out: 46, ratio: 1.00
s13 packet_in: 213, packet_out: 213, ratio: 1.00
s14 packet_in: 46, packet_out: 46, ratio: 1.00
s15 packet_in: 187, packet_out: 187, ratio: 1.00
s16 packet_in: 14, packet_out: 14, ratio: 1.00
s17 packet_in: 36, packet_out: 36, ratio: 1.00
s18 packet_in: 103, packet_out: 103, ratio: 1.00
s19 packet_in: 88, packet_out: 88, ratio: 1.00
s20 packet_in: 619, packet_out: 619, ratio: 1.00
s21 packet_in: 21, packet_out: 21, ratio: 1.00
s22 packet_in: 82, packet_out: 82, ratio: 1.00
s23 packet_in: 27, packet_out: 27, ratio: 1.00
s24 packet_in: 100, packet_out: 100, ratio: 1.00
s25 packet_in: 143, packet_out: 143, ratio: 1.00
s26 packet_in: 212, packet_out: 212, ratio: 1.00
s27 packet_in: 452, packet_out: 452, ratio: 1.00
s28 packet_in: 60, packet_out: 60, ratio: 1.00
s29 packet_in: 1716, packet_out: 1716, ratio: 1.00
s30 packet_in: 301, packet_out: 301, ratio: 1.00
s31 packet_in: 174, packet_out: 174, ratio: 1.00
s32 packet_in: 56, packet_out: 56, ratio: 1.00
s33 packet_in: 90, packet_out: 90, ratio: 1.00
s34 packet_in: 51, packet_out: 51, ratio: 1.00
s35 packet_in: 59, packet_out: 59, ratio: 1.00
s36 packet_in: 331, packet_out: 331, ratio: 1.00
