s1 packet_in: 15, packet_out: 15, ratio: 1.00
s2 packet_in: 25, packet_out: 25, ratio: 1.00
s3 packet_in: 73, packet_out: 73, ratio: 1.00
s4 packet_in: 49, packet_out: 49, ratio: 1.00
s5 packet_in: 18, packet_out: 18, ratio: 1.00
s6 packet_in: 65, packet_out: 65, ratio: 1.00
s7 packet_in: 67, packet_out: 67, ratio: 1.00
s8 packet_in: 12, packet_out: 12, ratio: 1.00
s9 packet_in: 31, packet_out: 31, ratio: 1.00
s10 packet_in: 36, packet_out: 36, ratio: 1.00
s11 packet_in: 18, packet_out: 18, ratio: 1.00
s12 packet_in: 86, packet_out: 86, ratio: 1.00
s13 packet_in: 41, packet_out: 41, ratio: 1.00
s14 packet_in: 38, packet_out: 38, ratio: 1.00
s15 packet_in: 33, packet_out: 33, ratio: 1.00
s16 packet_in: 5, packet_out: 5, ratio: 1.00
s17 packet_in: 2, packet_out: 2, ratio: 1.00
s18 packet_in: 5, packet_out: 5, ratio: 1.00
s19 packet_in: 6, packet_out: 6, ratio: 1.00
s20 packet_in: 5, packet_out: 5, ratio: 1.00
s21 packet_in: 5, packet_out: 5, ratio: 1.00
s22 packet_in: 5, packet_out: 5, ratio: 1.00
s23 packet_in: 5, packet_out: 5, ratio: 1.00
s24 packet_in: 4, packet_out: 4, ratio: 1.00
s25 packet_in: 153, packet_out: 153, ratio: 1.00
s26 packet_in: 61, packet_out: 61, ratio: 1.00
s27 packet_in: 128, packet_out: 128, ratio: 1.00
s28 packet_in: 91, packet_out: 91, ratio: 1.00
s29 packet_in: 9, packet_out: 9, ratio: 1.00
s30 packet_in: 4, packet_out: 4, ratio: 1.00
s31 packet_in: 33, packet_out: 33, ratio: 1.00
s32 packet_in: 22, packet_out: 22, ratio: 1.00
s33 packet_in: 6, packet_out: 6, ratio: 1.00
s34 packet_in: 4, packet_out: 4, ratio: 1.00
s35 packet_in: 4, packet_out: 4, ratio: 1.00
s36 packet_in: 4, packet_out: 4, ratio: 1.00
s37 packet_in: 13, packet_out: 13, ratio: 1.00
s38 packet_in: 2, packet_out: 2, ratio: 1.00
s39 packet_in: 11, packet_out: 11, ratio: 1.00
s40 packet_in: 11, packet_out: 11, ratio: 1.00
s41 packet_in: 4, packet_out: 4, ratio: 1.00
s42 packet_in: 8, packet_out: 8, ratio: 1.00
s43 packet_in: 322, packet_out: 322, ratio: 1.00
s44 packet_in: 29, packet_out: 29, ratio: 1.00
s45 packet_in: 83, packet_out: 83, ratio: 1.00
