s1 packet_in: 530, packet_out: 530, ratio: 1.00
s2 packet_in: 86, packet_out: 86, ratio: 1.00
s3 packet_in: 54, packet_out: 54, ratio: 1.00
s4 packet_in: 15, packet_out: 15, ratio: 1.00
s5 packet_in: 56, packet_out: 56, ratio: 1.00
s6 packet_in: 26, packet_out: 26, ratio: 1.00
s7 packet_in: 48, packet_out: 48, ratio: 1.00
s8 packet_in: 98, packet_out: 98, ratio: 1.00
s9 packet_in: 65, packet_out: 65, ratio: 1.00
s10 packet_in: 33, packet_out: 33, ratio: 1.00
s11 packet_in: 224, packet_out: 224, ratio: 1.00
s12 packet_in: 90, packet_out: 90, ratio: 1.00
s13 packet_in: 10, packet_out: 10, ratio: 1.00
s14 packet_in: 10, packet_out: 10, ratio: 1.00
s15 packet_in: 60, packet_out: 60, ratio: 1.00
s16 packet_in: 7, packet_out: 7, ratio: 1.00
s17 packet_in: 12, packet_out: 12, ratio: 1.00
s18 packet_in: 21, packet_out: 21, ratio: 1.00
s19 packet_in: 40, packet_out: 40, ratio: 1.00
s20 packet_in: 33, packet_out: 33, ratio: 1.00
s21 packet_in: 33, packet_out: 33, ratio: 1.00
s22 packet_in: 39, packet_out: 39, ratio: 1.00
s23 packet_in: 24, packet_out: 24, ratio: 1.00
s24 packet_in: 75, packet_out: 75, ratio: 1.00
s25 packet_in: 947, packet_out: 947, ratio: 1.00
s26 packet_in: 111, packet_out: 111, ratio: 1.00
s27 packet_in: 2475, packet_out: 2475, ratio: 1.00
s28 packet_in: 588, packet_out: 588, ratio: 1.00
s29 packet_in: 100, packet_out: 100, ratio: 1.00
s30 packet_in: 76, packet_out: 76, ratio: 1.00
s31 packet_in: 85, packet_out: 85, ratio: 1.00
s32 packet_in: 150, packet_out: 150, ratio: 1.00
s33 packet_in: 403, packet_out: 403, ratio: 1.00
s34 packet_in: 386, packet_out: 386, ratio: 1.00
s35 packet_in: 374, packet_out: 374, ratio: 1.00
s36 packet_in: 534, packet_out: 534, ratio: 1.00
s37 packet_in: 160, packet_out: 160, ratio: 1.00
s38 packet_in: 622, packet_out: 622, ratio: 1.00
s39 packet_in: 971, packet_out: 971, ratio: 1.00
s40 packet_in: 84, packet_out: 84, ratio: 1.00
s41 packet_in: 5, packet_out: 5, ratio: 1.00
s42 packet_in: 5, packet_out: 5, ratio: 1.00
s43 packet_in: 2, packet_out: 2, ratio: 1.00
s44 packet_in: 8, packet_out: 8, ratio: 1.00
s45 packet_in: 23, packet_out: 23, ratio: 1.00
s46 packet_in: 25, packet_out: 25, ratio: 1.00
s47 packet_in: 62, packet_out: 62, ratio: 1.00
s48 packet_in: 11, packet_out: 11, ratio: 1.00
s49 packet_in: 4, packet_out: 4, ratio: 1.00
s50 packet_in: 2, packet_out: 2, ratio: 1.00
s51 packet_in: 2, packet_out: 2, ratio: 1.00
s52 packet_in: 51, packet_out: 51, ratio: 1.00
s53 packet_in: 9, packet_out: 9, ratio: 1.00
s54 packet_in: 484, packet_out: 484, ratio: 1.00
s55 packet_in: 89, packet_out: 89, ratio: 1.00
s56 packet_in: 8, packet_out: 8, ratio: 1.00
s57 packet_in: 1414, packet_out: 1414, ratio: 1.00
s58 packet_in: 161, packet_out: 161, ratio: 1.00
s59 packet_in: 407, packet_out: 407, ratio: 1.00
s60 packet_in: 400, packet_out: 400, ratio: 1.00
s61 packet_in: 12, packet_out: 12, ratio: 1.00
s62 packet_in: 10, packet_out: 10, ratio: 1.00
s63 packet_in: 75, packet_out: 75, ratio: 1.00
s64 packet_in: 97, packet_out: 97, ratio: 1.00
s65 packet_in: 387, packet_out: 387, ratio: 1.00
s66 packet_in: 829, packet_out: 829, ratio: 1.00
s67 packet_in: 245, packet_out: 245, ratio: 1.00
s68 packet_in: 220, packet_out: 220, ratio: 1.00
s69 packet_in: 908, packet_out: 908, ratio: 1.00
s70 packet_in: 1666, packet_out: 1666, ratio: 1.00
s71 packet_in: 63, packet_out: 63, ratio: 1.00
s72 packet_in: 613, packet_out: 613, ratio: 1.00
s73 packet_in: 4, packet_out: 4, ratio: 1.00
s74 packet_in: 14, packet_out: 14, ratio: 1.00
s75 packet_in: 10, packet_out: 10, ratio: 1.00
s76 packet_in: 85, packet_out: 85, ratio: 1.00
s77 packet_in: 7, packet_out: 7, ratio: 1.00
s78 packet_in: 94, packet_out: 94, ratio: 1.00
s79 packet_in: 36, packet_out: 36, ratio: 1.00
s80 packet_in: 51, packet_out: 51, ratio: 1.00
