s1 packet_in: 185, packet_out: 185, ratio: 1.00
s2 packet_in: 13, packet_out: 13, ratio: 1.00
s3 packet_in: 10, packet_out: 10, ratio: 1.00
s4 packet_in: 19, packet_out: 19, ratio: 1.00
s5 packet_in: 18, packet_out: 18, ratio: 1.00
s6 packet_in: 61, packet_out: 61, ratio: 1.00
s7 packet_in: 720, packet_out: 720, ratio: 1.00
s8 packet_in: 75, packet_out: 75, ratio: 1.00
s9 packet_in: 74, packet_out: 74, ratio: 1.00
s10 packet_in: 33, packet_out: 33, ratio: 1.00
s11 packet_in: 169, packet_out: 169, ratio: 1.00
s12 packet_in: 17, packet_out: 17, ratio: 1.00
s13 packet_in: 95, packet_out: 95, ratio: 1.00
s14 packet_in: 220, packet_out: 220, ratio: 1.00
s15 packet_in: 518, packet_out: 518, ratio: 1.00
s16 packet_in: 743, packet_out: 743, ratio: 1.00
s17 packet_in: 532, packet_out: 532, ratio: 1.00
s18 packet_in: 59, packet_out: 59, ratio: 1.00
s19 packet_in: 81, packet_out: 81, ratio: 1.00
s20 packet_in: 31, packet_out: 31, ratio: 1.00
s21 packet_in: 470, packet_out: 376, ratio: 0.80
s22 packet_in: 428, packet_out: 428, ratio: 1.00
s23 packet_in: 120, packet_out: 120, ratio: 1.00
s24 packet_in: 74, packet_out: 74, ratio: 1.00
s25 packet_in: 18, packet_out: 18, ratio: 1.00
s26 packet_in: 872, packet_out: 872, ratio: 1.00
s27 packet_in: 429, packet_out: 429, ratio: 1.00
s28 packet_in: 881, packet_out: 881, ratio: 1.00
s29 packet_in: 660, packet_out: 660, ratio: 1.00
s30 packet_in: 848, packet_out: 848, ratio: 1.00
s31 packet_in: 58, packet_out: 58, ratio: 1.00
s32 packet_in: 158, packet_out: 158, ratio: 1.00
s33 packet_in: 708, packet_out: 708, ratio: 1.00
s34 packet_in: 72, packet_out: 72, ratio: 1.00
s35 packet_in: 470, packet_out: 470, ratio: 1.00
