s1 packet_in: 16, packet_out: 16, ratio: 1.00
s2 packet_in: 10, packet_out: 10, ratio: 1.00
s3 packet_in: 6, packet_out: 6, ratio: 1.00
s4 packet_in: 5, packet_out: 5, ratio: 1.00
s5 packet_in: 2, packet_out: 2, ratio: 1.00
s6 packet_in: 44, packet_out: 44, ratio: 1.00
s7 packet_in: 174, packet_out: 174, ratio: 1.00
s8 packet_in: 112, packet_out: 112, ratio: 1.00
s9 packet_in: 9, packet_out: 9, ratio: 1.00
s10 packet_in: 22, packet_out: 22, ratio: 1.00
s11 packet_in: 27, packet_out: 27, ratio: 1.00
s12 packet_in: 6, packet_out: 6, ratio: 1.00
s13 packet_in: 78, packet_out: 78, ratio: 1.00
s14 packet_in: 7, packet_out: 7, ratio: 1.00
s15 packet_in: 9, packet_out: 9, ratio: 1.00
s16 packet_in: 10, packet_out: 10, ratio: 1.00
s17 packet_in: 113, packet_out: 113, ratio: 1.00
s18 packet_in: 132, packet_out: 132, ratio: 1.00
s19 packet_in: 25, packet_out: 25, ratio: 1.00
s20 packet_in: 129, packet_out: 129, ratio: 1.00
s21 packet_in: 10, packet_out: 10, ratio: 1.00
s22 packet_in: 11, packet_out: 11, ratio: 1.00
s23 packet_in: 73, packet_out: 73, ratio: 1.00
s24 packet_in: 71, packet_out: 71, ratio: 1.00
s25 packet_in: 53, packet_out: 53, ratio: 1.00
s26 packet_in: 56, packet_out: 56, ratio: 1.00
s27 packet_in: 10, packet_out: 10, ratio: 1.00
s28 packet_in: 47, packet_out: 47, ratio: 1.00
s29 packet_in: 27, packet_out: 27, ratio: 1.00
s30 packet_in: 6, packet_out: 6, ratio: 1.00
s31 packet_in: 771, packet_out: 771, ratio: 1.00
s32 packet_in: 620, packet_out: 620, ratio: 1.00
s33 packet_in: 264, packet_out: 264, ratio: 1.00
s34 packet_in: 176, packet_out: 176, ratio: 1.00
s35 packet_in: 320, packet_out: 320, ratio: 1.00
s36 packet_in: 259, packet_out: 259, ratio: 1.00
s37 packet_in: 469, packet_out: 469, ratio: 1.00
s38 packet_in: 337, packet_out: 337, ratio: 1.00
s39 packet_in: 114, packet_out: 114, ratio: 1.00
s40 packet_in: 410, packet_out: 410, ratio: 1.00
s41 packet_in: 563, packet_out: 563, ratio: 1.00
s42 packet_in: 347, packet_out: 347, ratio: 1.00
s43 packet_in: 154, packet_out: 154, ratio: 1.00
s44 packet_in: 55, packet_out: 55, ratio: 1.00
s45 packet_in: 948, packet_out: 948, ratio: 1.00
s46 packet_in: 4, packet_out: 4, ratio: 1.00
s47 packet_in: 6, packet_out: 6, ratio: 1.00
s48 packet_in: 39, packet_out: 39, ratio: 1.00
s49 packet_in: 4, packet_out: 4, ratio: 1.00
s50 packet_in: 73, packet_out: 73, ratio: 1.00
s51 packet_in: 46, packet_out: 46, ratio: 1.00
s52 packet_in: 780, packet_out: 780, ratio: 1.00
s53 packet_in: 177, packet_out: 177, ratio: 1.00
s54 packet_in: 806, packet_out: 806, ratio: 1.00
s55 packet_in: 2452, packet_out: 2452, ratio: 1.00
s56 packet_in: 90, packet_out: 90, ratio: 1.00
s57 packet_in: 96, packet_out: 96, ratio: 1.00
s58 packet_in: 123, packet_out: 123, ratio: 1.00
s59 packet_in: 1490, packet_out: 1490, ratio: 1.00
s60 packet_in: 985, packet_out: 985, ratio: 1.00
s61 packet_in: 7, packet_out: 7, ratio: 1.00
s62 packet_in: 49, packet_out: 49, ratio: 1.00
s63 packet_in: 50, packet_out: 50, ratio: 1.00
s64 packet_in: 7, packet_out: 7, ratio: 1.00
s65 packet_in: 36, packet_out: 36, ratio: 1.00
s66 packet_in: 161, packet_out: 161, ratio: 1.00
s67 packet_in: 12, packet_out: 12, ratio: 1.00
s68 packet_in: 31, packet_out: 31, ratio: 1.00
s69 packet_in: 18, packet_out: 18, ratio: 1.00
s70 packet_in: 40, packet_out: 40, ratio: 1.00
s71 packet_in: 16, packet_out: 16, ratio: 1.00
s72 packet_in: 52, packet_out: 52, ratio: 1.00
s73 packet_in: 38, packet_out: 38, ratio: 1.00
s74 packet_in: 64, packet_out: 64, ratio: 1.00
s75 packet_in: 60, packet_out: 60, ratio: 1.00
s76 packet_in: 90, packet_out: 90, ratio: 1.00
s77 packet_in: 4, packet_out: 4, ratio: 1.00
s78 packet_in: 5, packet_out: 5, ratio: 1.00
s79 packet_in: 2, packet_out: 2, ratio: 1.00
s80 packet_in: 6, packet_out: 6, ratio: 1.00
s81 packet_in: 6, packet_out: 6, ratio: 1.00
s82 packet_in: 1891, packet_out: 1891, ratio: 1.00
s83 packet_in: 2327, packet_out: 2327, ratio: 1.00
s84 packet_in: 2060, packet_out: 2060, ratio: 1.00
s85 packet_in: 186, packet_out: 186, ratio: 1.00
s86 packet_in: 1814, packet_out: 1814, ratio: 1.00
s87 packet_in: 91, packet_out: 91, ratio: 1.00
s88 packet_in: 153, packet_out: 153, ratio: 1.00
s89 packet_in: 96, packet_out: 96, ratio: 1.00
s90 packet_in: 34, packet_out: 34, ratio: 1.00
s91 packet_in: 4, packet_out: 4, ratio: 1.00
s92 packet_in: 513, packet_out: 513, ratio: 1.00
s93 packet_in: 93, packet_out: 93, ratio: 1.00
s94 packet_in: 686, packet_out: 686, ratio: 1.00
s95 packet_in: 610, packet_out: 610, ratio: 1.00
s96 packet_in: 6, packet_out: 6, ratio: 1.00
s97 packet_in: 90, packet_out: 90, ratio: 1.00
s98 packet_in: 814, packet_out: 814, ratio: 1.00
