s1 packet_in: 814, packet_out: 814, ratio: 1.00
s2 packet_in: 15, packet_out: 15, ratio: 1.00
s3 packet_in: 985, packet_out: 985, ratio: 1.00
s4 packet_in: 56, packet_out: 56, ratio: 1.00
s5 packet_in: 218, packet_out: 218, ratio: 1.00
s6 packet_in: 80, packet_out: 80, ratio: 1.00
s7 packet_in: 58, packet_out: 58, ratio: 1.00
s8 packet_in: 213, packet_out: 213, ratio: 1.00
s9 packet_in: 16, packet_out: 16, ratio: 1.00
s10 packet_in: 86, packet_out: 86, ratio: 1.00
s11 packet_in: 20, packet_out: 20, ratio: 1.00
s12 packet_in: 8, packet_out: 8, ratio: 1.00
s13 packet_in: 611, packet_out: 611, ratio: 1.00
s14 packet_in: 192, packet_out: 192, ratio: 1.00
s15 packet_in: 90, packet_out: 90, ratio: 1.00
s16 packet_in: 346, packet_out: 346, ratio: 1.00
s17 packet_in: 22, packet_out: 22, ratio: 1.00
s18 packet_in: 709, packet_out: 709, ratio: 1.00
s19 packet_in: 167, packet_out: 334, ratio: 2.00
s20 packet_in: 214, packet_out: 214, ratio: 1.00
s21 packet_in: 15, packet_out: 15, ratio: 1.00
s22 packet_in: 41, packet_out: 41, ratio: 1.00
s23 packet_in: 749, packet_out: 749, ratio: 1.00
s24 packet_in: 772, packet_out: 772, ratio: 1.00
s25 packet_in: 62, packet_out: 62, ratio: 1.00
s26 packet_in: 652, packet_out: 652, ratio: 1.00
s27 packet_in: 702, packet_out: 702, ratio: 1.00
s28 packet_in: 986, packet_out: 986, ratio: 1.00
s29 packet_in: 450, packet_out: 450, ratio: 1.00
s30 packet_in: 92, packet_out: 92, ratio: 1.00
s31 packet_in: 52, packet_out: 52, ratio: 1.00
s32 packet_in: 76, packet_out: 76, ratio: 1.00
s33 packet_in: 73, packet_out: 73, ratio: 1.00
s34 packet_in: 685, packet_out: 685, ratio: 1.00
s35 packet_in: 201, packet_out: 201, ratio: 1.00
s36 packet_in: 986, packet_out: 986, ratio: 1.00
s37 packet_in: 990, packet_out: 990, ratio: 1.00
s38 packet_in: 986, packet_out: 986, ratio: 1.00
s39 packet_in: 387, packet_out: 387, ratio: 1.00
s40 packet_in: 73, packet_out: 73, ratio: 1.00
s41 packet_in: 122, packet_out: 122, ratio: 1.00
s42 packet_in: 34, packet_out: 34, ratio: 1.00
s43 packet_in: 85, packet_out: 85, ratio: 1.00
s44 packet_in: 302, packet_out: 302, ratio: 1.00
s45 packet_in: 470, packet_out: 470, ratio: 1.00
s46 packet_in: 43, packet_out: 43, ratio: 1.00
s47 packet_in: 194, packet_out: 194, ratio: 1.00
s48 packet_in: 217, packet_out: 217, ratio: 1.00
s49 packet_in: 14, packet_out: 14, ratio: 1.00
s50 packet_in: 11, packet_out: 11, ratio: 1.00
s51 packet_in: 64, packet_out: 64, ratio: 1.00
s52 packet_in: 986, packet_out: 986, ratio: 1.00
s53 packet_in: 987, packet_out: 987, ratio: 1.00
s54 packet_in: 986, packet_out: 986, ratio: 1.00
s55 packet_in: 985, packet_out: 985, ratio: 1.00
s56 packet_in: 987, packet_out: 987, ratio: 1.00
s57 packet_in: 988, packet_out: 988, ratio: 1.00
s58 packet_in: 986, packet_out: 986, ratio: 1.00
s59 packet_in: 984, packet_out: 984, ratio: 1.00
s60 packet_in: 985, packet_out: 985, ratio: 1.00
s61 packet_in: 210, packet_out: 210, ratio: 1.00
s62 packet_in: 274, packet_out: 274, ratio: 1.00
s63 packet_in: 44, packet_out: 44, ratio: 1.00
s64 packet_in: 47, packet_out: 47, ratio: 1.00
s65 packet_in: 60, packet_out: 60, ratio: 1.00
s66 packet_in: 326, packet_out: 326, ratio: 1.00
s67 packet_in: 292, packet_out: 292, ratio: 1.00
s68 packet_in: 53, packet_out: 53, ratio: 1.00
s69 packet_in: 351, packet_out: 351, ratio: 1.00
s70 packet_in: 377, packet_out: 377, ratio: 1.00
s71 packet_in: 748, packet_out: 748, ratio: 1.00
s72 packet_in: 58, packet_out: 58, ratio: 1.00
s73 packet_in: 982, packet_out: 982, ratio: 1.00
s74 packet_in: 798, packet_out: 798, ratio: 1.00
s75 packet_in: 68, packet_out: 68, ratio: 1.00
s76 packet_in: 6, packet_out: 6, ratio: 1.00
s77 packet_in: 992, packet_out: 992, ratio: 1.00
s78 packet_in: 1020, packet_out: 1020, ratio: 1.00
s79 packet_in: 13, packet_out: 13, ratio: 1.00
s80 packet_in: 10, packet_out: 10, ratio: 1.00
s81 packet_in: 2, packet_out: 2, ratio: 1.00
s82 packet_in: 9, packet_out: 9, ratio: 1.00
s83 packet_in: 995, packet_out: 995, ratio: 1.00
s84 packet_in: 14, packet_out: 14, ratio: 1.00
s85 packet_in: 126, packet_out: 126, ratio: 1.00
s86 packet_in: 6, packet_out: 6, ratio: 1.00
s87 packet_in: 28, packet_out: 28, ratio: 1.00
s88 packet_in: 145, packet_out: 145, ratio: 1.00
s89 packet_in: 953, packet_out: 953, ratio: 1.00
s90 packet_in: 993, packet_out: 993, ratio: 1.00
s91 packet_in: 124, packet_out: 124, ratio: 1.00
s92 packet_in: 6, packet_out: 6, ratio: 1.00
s93 packet_in: 31, packet_out: 31, ratio: 1.00
s94 packet_in: 6, packet_out: 6, ratio: 1.00
s95 packet_in: 4, packet_out: 4, ratio: 1.00
s96 packet_in: 81, packet_out: 81, ratio: 1.00
s97 packet_in: 2, packet_out: 2, ratio: 1.00
s98 packet_in: 86, packet_out: 86, ratio: 1.00
s99 packet_in: 245, packet_out: 245, ratio: 1.00
s100 packet_in: 6, packet_out: 6, ratio: 1.00
s101 packet_in: 8, packet_out: 8, ratio: 1.00
s102 packet_in: 995, packet_out: 995, ratio: 1.00
s103 packet_in: 173, packet_out: 173, ratio: 1.00
s104 packet_in: 86, packet_out: 86, ratio: 1.00
s105 packet_in: 377, packet_out: 377, ratio: 1.00
s106 packet_in: 180, packet_out: 180, ratio: 1.00
s107 packet_in: 984, packet_out: 984, ratio: 1.00
s108 packet_in: 995, packet_out: 995, ratio: 1.00
s109 packet_in: 973, packet_out: 973, ratio: 1.00
s110 packet_in: 125, packet_out: 125, ratio: 1.00
s111 packet_in: 1010, packet_out: 1010, ratio: 1.00
s112 packet_in: 12, packet_out: 12, ratio: 1.00
s113 packet_in: 126, packet_out: 126, ratio: 1.00
s114 packet_in: 14, packet_out: 14, ratio: 1.00
s115 packet_in: 380, packet_out: 380, ratio: 1.00
s116 packet_in: 79, packet_out: 79, ratio: 1.00
s117 packet_in: 0, packet_out: 0, ratio: N/A
s118 packet_in: 83, packet_out: 83, ratio: 1.00
s119 packet_in: 992, packet_out: 992, ratio: 1.00
s120 packet_in: 988, packet_out: 988, ratio: 1.00
s121 packet_in: 127, packet_out: 127, ratio: 1.00
s122 packet_in: 995, packet_out: 995, ratio: 1.00
s123 packet_in: 103, packet_out: 103, ratio: 1.00
s124 packet_in: 65, packet_out: 65, ratio: 1.00
s125 packet_in: 7, packet_out: 7, ratio: 1.00
