s1 packet_in: 17, packet_out: 17, ratio: 1.00
s2 packet_in: 103, packet_out: 103, ratio: 1.00
s3 packet_in: 78, packet_out: 78, ratio: 1.00
s4 packet_in: 12, packet_out: 12, ratio: 1.00
s5 packet_in: 45, packet_out: 45, ratio: 1.00
s6 packet_in: 37, packet_out: 37, ratio: 1.00
s7 packet_in: 255, packet_out: 255, ratio: 1.00
s8 packet_in: 92, packet_out: 92, ratio: 1.00
s9 packet_in: 397, packet_out: 397, ratio: 1.00
s10 packet_in: 9, packet_out: 9, ratio: 1.00
s11 packet_in: 231, packet_out: 231, ratio: 1.00
s12 packet_in: 10, packet_out: 10, ratio: 1.00
s13 packet_in: 13, packet_out: 13, ratio: 1.00
s14 packet_in: 147, packet_out: 147, ratio: 1.00
s15 packet_in: 27, packet_out: 27, ratio: 1.00
s16 packet_in: 50, packet_out: 50, ratio: 1.00
s17 packet_in: 48, packet_out: 48, ratio: 1.00
s18 packet_in: 22, packet_out: 22, ratio: 1.00
s19 packet_in: 9, packet_out: 9, ratio: 1.00
s20 packet_in: 96, packet_out: 96, ratio: 1.00
s21 packet_in: 99, packet_out: 99, ratio: 1.00
s22 packet_in: 14, packet_out: 14, ratio: 1.00
s23 packet_in: 29, packet_out: 29, ratio: 1.00
s24 packet_in: 48, packet_out: 48, ratio: 1.00
s25 packet_in: 17, packet_out: 17, ratio: 1.00
s26 packet_in: 30, packet_out: 30, ratio: 1.00
s27 packet_in: 41, packet_out: 41, ratio: 1.00
s28 packet_in: 1936, packet_out: 1936, ratio: 1.00
s29 packet_in: 405, packet_out: 405, ratio: 1.00
s30 packet_in: 141, packet_out: 141, ratio: 1.00
s31 packet_in: 623, packet_out: 623, ratio: 1.00
s32 packet_in: 220, packet_out: 220, ratio: 1.00
s33 packet_in: 344, packet_out: 344, ratio: 1.00
s34 packet_in: 538, packet_out: 538, ratio: 1.00
s35 packet_in: 2045, packet_out: 2045, ratio: 1.00
s36 packet_in: 1203, packet_out: 1203, ratio: 1.00
s37 packet_in: 850, packet_out: 850, ratio: 1.00
s38 packet_in: 1092, packet_out: 1092, ratio: 1.00
s39 packet_in: 1561, packet_out: 1561, ratio: 1.00
s40 packet_in: 2438, packet_out: 2438, ratio: 1.00
s41 packet_in: 136, packet_out: 136, ratio: 1.00
s42 packet_in: 17, packet_out: 17, ratio: 1.00
s43 packet_in: 65, packet_out: 65, ratio: 1.00
s44 packet_in: 391, packet_out: 391, ratio: 1.00
s45 packet_in: 596, packet_out: 596, ratio: 1.00
s46 packet_in: 537, packet_out: 537, ratio: 1.00
s47 packet_in: 1854, packet_out: 1854, ratio: 1.00
s48 packet_in: 335, packet_out: 335, ratio: 1.00
s49 packet_in: 218, packet_out: 218, ratio: 1.00
s50 packet_in: 872, packet_out: 872, ratio: 1.00
s51 packet_in: 17, packet_out: 17, ratio: 1.00
s52 packet_in: 76, packet_out: 76, ratio: 1.00
s53 packet_in: 12, packet_out: 12, ratio: 1.00
s54 packet_in: 8, packet_out: 8, ratio: 1.00
s55 packet_in: 7, packet_out: 7, ratio: 1.00
s56 packet_in: 3, packet_out: 3, ratio: 1.00
s57 packet_in: 1, packet_out: 1, ratio: 1.00
s58 packet_in: 4, packet_out: 4, ratio: 1.00
s59 packet_in: 4, packet_out: 4, ratio: 1.00
s60 packet_in: 9, packet_out: 9, ratio: 1.00
s61 packet_in: 132, packet_out: 132, ratio: 1.00
s62 packet_in: 627, packet_out: 627, ratio: 1.00
s63 packet_in: 613, packet_out: 613, ratio: 1.00
s64 packet_in: 105, packet_out: 105, ratio: 1.00
s65 packet_in: 348, packet_out: 348, ratio: 1.00
s66 packet_in: 136, packet_out: 136, ratio: 1.00
s67 packet_in: 58, packet_out: 58, ratio: 1.00
s68 packet_in: 37, packet_out: 37, ratio: 1.00
s69 packet_in: 246, packet_out: 246, ratio: 1.00
s70 packet_in: 224, packet_out: 224, ratio: 1.00
s71 packet_in: 25, packet_out: 25, ratio: 1.00
s72 packet_in: 24, packet_out: 24, ratio: 1.00
s73 packet_in: 98, packet_out: 98, ratio: 1.00
s74 packet_in: 113, packet_out: 113, ratio: 1.00
