s1 packet_in: 244, packet_out: 244, ratio: 1.00
s2 packet_in: 17, packet_out: 17, ratio: 1.00
s3 packet_in: 7, packet_out: 7, ratio: 1.00
s4 packet_in: 258, packet_out: 258, ratio: 1.00
s5 packet_in: 11, packet_out: 11, ratio: 1.00
s6 packet_in: 176, packet_out: 176, ratio: 1.00
s7 packet_in: 35, packet_out: 35, ratio: 1.00
s8 packet_in: 14, packet_out: 14, ratio: 1.00
s9 packet_in: 13, packet_out: 13, ratio: 1.00
s10 packet_in: 159, packet_out: 159, ratio: 1.00
s11 packet_in: 86, packet_out: 86, ratio: 1.00
s12 packet_in: 18, packet_out: 18, ratio: 1.00
s13 packet_in: 480, packet_out: 480, ratio: 1.00
s14 packet_in: 250, packet_out: 250, ratio: 1.00
s15 packet_in: 10, packet_out: 10, ratio: 1.00
s16 packet_in: 122, packet_out: 122, ratio: 1.00
s17 packet_in: 10, packet_out: 10, ratio: 1.00
s18 packet_in: 44, packet_out: 44, ratio: 1.00
s19 packet_in: 49, packet_out: 49, ratio: 1.00
s20 packet_in: 39, packet_out: 39, ratio: 1.00
s21 packet_in: 50, packet_out: 50, ratio: 1.00
s22 packet_in: 35, packet_out: 35, ratio: 1.00
s23 packet_in: 7, packet_out: 7, ratio: 1.00
s24 packet_in: 10, packet_out: 10, ratio: 1.00
s25 packet_in: 14, packet_out: 14, ratio: 1.00
s26 packet_in: 326, packet_out: 326, ratio: 1.00
s27 packet_in: 22, packet_out: 22, ratio: 1.00
s28 packet_in: 68, packet_out: 68, ratio: 1.00
s29 packet_in: 263, packet_out: 263, ratio: 1.00
s30 packet_in: 282, packet_out: 282, ratio: 1.00
s31 packet_in: 5, packet_out: 5, ratio: 1.00
s32 packet_in: 10, packet_out: 10, ratio: 1.00
s33 packet_in: 59, packet_out: 59, ratio: 1.00
s34 packet_in: 40, packet_out: 40, ratio: 1.00
s35 packet_in: 39, packet_out: 39, ratio: 1.00
s36 packet_in: 544, packet_out: 544, ratio: 1.00
s37 packet_in: 532, packet_out: 532, ratio: 1.00
s38 packet_in: 74, packet_out: 74, ratio: 1.00
s39 packet_in: 2243, packet_out: 2243, ratio: 1.00
s40 packet_in: 205, packet_out: 205, ratio: 1.00
s41 packet_in: 52, packet_out: 52, ratio: 1.00
s42 packet_in: 59, packet_out: 59, ratio: 1.00
s43 packet_in: 6, packet_out: 12, ratio: 2.00
s44 packet_in: 41, packet_out: 41, ratio: 1.00
s45 packet_in: 34, packet_out: 34, ratio: 1.00
s46 packet_in: 41, packet_out: 41, ratio: 1.00
s47 packet_in: 5, packet_out: 5, ratio: 1.00
s48 packet_in: 41, packet_out: 41, ratio: 1.00
s49 packet_in: 59, packet_out: 59, ratio: 1.00
s50 packet_in: 49, packet_out: 49, ratio: 1.00
s51 packet_in: 301, packet_out: 301, ratio: 1.00
s52 packet_in: 81, packet_out: 81, ratio: 1.00
s53 packet_in: 416, packet_out: 416, ratio: 1.00
s54 packet_in: 249, packet_out: 249, ratio: 1.00
s55 packet_in: 146, packet_out: 146, ratio: 1.00
s56 packet_in: 483, packet_out: 483, ratio: 1.00
s57 packet_in: 55, packet_out: 55, ratio: 1.00
s58 packet_in: 43, packet_out: 43, ratio: 1.00
s59 packet_in: 26, packet_out: 26, ratio: 1.00
s60 packet_in: 125, packet_out: 125, ratio: 1.00
s61 packet_in: 1023, packet_out: 1023, ratio: 1.00
s62 packet_in: 822, packet_out: 822, ratio: 1.00
s63 packet_in: 229, packet_out: 229, ratio: 1.00
s64 packet_in: 64, packet_out: 64, ratio: 1.00
s65 packet_in: 186, packet_out: 186, ratio: 1.00
s66 packet_in: 211, packet_out: 211, ratio: 1.00
s67 packet_in: 39, packet_out: 39, ratio: 1.00
s68 packet_in: 85, packet_out: 85, ratio: 1.00
s69 packet_in: 289, packet_out: 289, ratio: 1.00
s70 packet_in: 6, packet_out: 6, ratio: 1.00
s71 packet_in: 834, packet_out: 834, ratio: 1.00
s72 packet_in: 239, packet_out: 239, ratio: 1.00
s73 packet_in: 458, packet_out: 458, ratio: 1.00
s74 packet_in: 92, packet_out: 92, ratio: 1.00
s75 packet_in: 175, packet_out: 175, ratio: 1.00
s76 packet_in: 88, packet_out: 88, ratio: 1.00
s77 packet_in: 117, packet_out: 117, ratio: 1.00
s78 packet_in: 211, packet_out: 211, ratio: 1.00
s79 packet_in: 1007, packet_out: 1007, ratio: 1.00
s80 packet_in: 133, packet_out: 133, ratio: 1.00
s81 packet_in: 4, packet_out: 4, ratio: 1.00
s82 packet_in: 207, packet_out: 207, ratio: 1.00
s83 packet_in: 84, packet_out: 84, ratio: 1.00
s84 packet_in: 8, packet_out: 8, ratio: 1.00
s85 packet_in: 9, packet_out: 9, ratio: 1.00
s86 packet_in: 0, packet_out: 0, ratio: N/A
s87 packet_in: 8, packet_out: 8, ratio: 1.00
s88 packet_in: 4, packet_out: 4, ratio: 1.00
s89 packet_in: 53, packet_out: 53, ratio: 1.00
s90 packet_in: 424, packet_out: 424, ratio: 1.00
s91 packet_in: 9, packet_out: 9, ratio: 1.00
s92 packet_in: 19, packet_out: 19, ratio: 1.00
s93 packet_in: 5, packet_out: 5, ratio: 1.00
s94 packet_in: 7, packet_out: 7, ratio: 1.00
s95 packet_in: 113, packet_out: 113, ratio: 1.00
s96 packet_in: 111, packet_out: 111, ratio: 1.00
s97 packet_in: 928, packet_out: 928, ratio: 1.00
