s1 packet_in: 46, packet_out: 46, ratio: 1.00
s2 packet_in: 111, packet_out: 111, ratio: 1.00
s3 packet_in: 102, packet_out: 102, ratio: 1.00
s4 packet_in: 48, packet_out: 48, ratio: 1.00
s5 packet_in: 749, packet_out: 749, ratio: 1.00
s6 packet_in: 188, packet_out: 188, ratio: 1.00
s7 packet_in: 216, packet_out: 216, ratio: 1.00
s8 packet_in: 742, packet_out: 742, ratio: 1.00
s9 packet_in: 155, packet_out: 155, ratio: 1.00
s10 packet_in: 120, packet_out: 120, ratio: 1.00
s11 packet_in: 21, packet_out: 21, ratio: 1.00
s12 packet_in: 47, packet_out: 47, ratio: 1.00
s13 packet_in: 52, packet_out: 52, ratio: 1.00
s14 packet_in: 66, packet_out: 66, ratio: 1.00
s15 packet_in: 740, packet_out: 740, ratio: 1.00
s16 packet_in: 16, packet_out: 16, ratio: 1.00
s17 packet_in: 548, packet_out: 548, ratio: 1.00
s18 packet_in: 747, packet_out: 1494, ratio: 2.00
s19 packet_in: 228, packet_out: 228, ratio: 1.00
s20 packet_in: 473, packet_out: 473, ratio: 1.00
s21 packet_in: 15, packet_out: 15, ratio: 1.00
s22 packet_in: 374, packet_out: 374, ratio: 1.00
s23 packet_in: 751, packet_out: 751, ratio: 1.00
s24 packet_in: 51, packet_out: 51, ratio: 1.00
s25 packet_in: 71, packet_out: 71, ratio: 1.00
s26 packet_in: 101, packet_out: 101, ratio: 1.00
s27 packet_in: 14, packet_out: 14, ratio: 1.00
s28 packet_in: 4, packet_out: 4, ratio: 1.00
s29 packet_in: 7, packet_out: 6, ratio: 0.86
s30 packet_in: 6, packet_out: 6, ratio: 1.00
s31 packet_in: 746, packet_out: 746, ratio: 1.00
s32 packet_in: 749, packet_out: 749, ratio: 1.00
s33 packet_in: 752, packet_out: 752, ratio: 1.00
s34 packet_in: 749, packet_out: 749, ratio: 1.00
s35 packet_in: 751, packet_out: 751, ratio: 1.00
s36 packet_in: 749, packet_out: 749, ratio: 1.00
s37 packet_in: 752, packet_out: 752, ratio: 1.00
s38 packet_in: 753, packet_out: 753, ratio: 1.00
s39 packet_in: 753, packet_out: 753, ratio: 1.00
s40 packet_in: 759, packet_out: 759, ratio: 1.00
s41 packet_in: 537, packet_out: 537, ratio: 1.00
s42 packet_in: 748, packet_out: 748, ratio: 1.00
s43 packet_in: 749, packet_out: 749, ratio: 1.00
s44 packet_in: 751, packet_out: 751, ratio: 1.00
s45 packet_in: 750, packet_out: 750, ratio: 1.00
s46 packet_in: 756, packet_out: 756, ratio: 1.00
s47 packet_in: 293, packet_out: 293, ratio: 1.00
s48 packet_in: 313, packet_out: 313, ratio: 1.00
s49 packet_in: 245, packet_out: 245, ratio: 1.00
s50 packet_in: 757, packet_out: 757, ratio: 1.00
