s1 packet_in: 160, packet_out: 160, ratio: 1.00
s2 packet_in: 18, packet_out: 18, ratio: 1.00
s3 packet_in: 48, packet_out: 48, ratio: 1.00
s4 packet_in: 16, packet_out: 16, ratio: 1.00
s5 packet_in: 16, packet_out: 16, ratio: 1.00
s6 packet_in: 41, packet_out: 41, ratio: 1.00
s7 packet_in: 378, packet_out: 378, ratio: 1.00
s8 packet_in: 107, packet_out: 107, ratio: 1.00
s9 packet_in: 68, packet_out: 68, ratio: 1.00
s10 packet_in: 9, packet_out: 9, ratio: 1.00
s11 packet_in: 9, packet_out: 9, ratio: 1.00
s12 packet_in: 13, packet_out: 13, ratio: 1.00
s13 packet_in: 11, packet_out: 11, ratio: 1.00
s14 packet_in: 96, packet_out: 96, ratio: 1.00
s15 packet_in: 40, packet_out: 40, ratio: 1.00
s16 packet_in: 75, packet_out: 75, ratio: 1.00
s17 packet_in: 69, packet_out: 69, ratio: 1.00
s18 packet_in: 505, packet_out: 505, ratio: 1.00
s19 packet_in: 41, packet_out: 41, ratio: 1.00
s20 packet_in: 16, packet_out: 16, ratio: 1.00
s21 packet_in: 297, packet_out: 297, ratio: 1.00
s22 packet_in: 195, packet_out: 195, ratio: 1.00
s23 packet_in: 9, packet_out: 9, ratio: 1.00
s24 packet_in: 92, packet_out: 92, ratio: 1.00
s25 packet_in: 10, packet_out: 10, ratio: 1.00
s26 packet_in: 7, packet_out: 7, ratio: 1.00
s27 packet_in: 44, packet_out: 44, ratio: 1.00
s28 packet_in: 33, packet_out: 33, ratio: 1.00
s29 packet_in: 48, packet_out: 48, ratio: 1.00
s30 packet_in: 60, packet_out: 60, ratio: 1.00
s31 packet_in: 40, packet_out: 40, ratio: 1.00
s32 packet_in: 334, packet_out: 334, ratio: 1.00
s33 packet_in: 33, packet_out: 33, ratio: 1.00
s34 packet_in: 283, packet_out: 283, ratio: 1.00
s35 packet_in: 122, packet_out: 122, ratio: 1.00
s36 packet_in: 68, packet_out: 68, ratio: 1.00
s37 packet_in: 532, packet_out: 532, ratio: 1.00
s38 packet_in: 163, packet_out: 163, ratio: 1.00
s39 packet_in: 61, packet_out: 61, ratio: 1.00
s40 packet_in: 583, packet_out: 583, ratio: 1.00
s41 packet_in: 14, packet_out: 14, ratio: 1.00
s42 packet_in: 1945, packet_out: 1945, ratio: 1.00
s43 packet_in: 7, packet_out: 7, ratio: 1.00
s44 packet_in: 188, packet_out: 188, ratio: 1.00
s45 packet_in: 109, packet_out: 109, ratio: 1.00
s46 packet_in: 22, packet_out: 22, ratio: 1.00
s47 packet_in: 7, packet_out: 7, ratio: 1.00
s48 packet_in: 70, packet_out: 70, ratio: 1.00
s49 packet_in: 196, packet_out: 196, ratio: 1.00
s50 packet_in: 38, packet_out: 38, ratio: 1.00
s51 packet_in: 9, packet_out: 9, ratio: 1.00
s52 packet_in: 12, packet_out: 12, ratio: 1.00
s53 packet_in: 10, packet_out: 10, ratio: 1.00
s54 packet_in: 12, packet_out: 12, ratio: 1.00
s55 packet_in: 63, packet_out: 63, ratio: 1.00
s56 packet_in: 107, packet_out: 107, ratio: 1.00
s57 packet_in: 8, packet_out: 8, ratio: 1.00
s58 packet_in: 7, packet_out: 7, ratio: 1.00
s59 packet_in: 8, packet_out: 8, ratio: 1.00
s60 packet_in: 9, packet_out: 9, ratio: 1.00
s61 packet_in: 115, packet_out: 115, ratio: 1.00
s62 packet_in: 59, packet_out: 59, ratio: 1.00
s63 packet_in: 275, packet_out: 275, ratio: 1.00
s64 packet_in: 584, packet_out: 584, ratio: 1.00
s65 packet_in: 171, packet_out: 171, ratio: 1.00
s66 packet_in: 121, packet_out: 121, ratio: 1.00
s67 packet_in: 97, packet_out: 97, ratio: 1.00
s68 packet_in: 1846, packet_out: 1846, ratio: 1.00
s69 packet_in: 36, packet_out: 36, ratio: 1.00
s70 packet_in: 83, packet_out: 83, ratio: 1.00
s71 packet_in: 270, packet_out: 270, ratio: 1.00
s72 packet_in: 250, packet_out: 250, ratio: 1.00
s73 packet_in: 108, packet_out: 108, ratio: 1.00
s74 packet_in: 45, packet_out: 45, ratio: 1.00
s75 packet_in: 233, packet_out: 233, ratio: 1.00
s76 packet_in: 159, packet_out: 159, ratio: 1.00
s77 packet_in: 2, packet_out: 2, ratio: 1.00
s78 packet_in: 87, packet_out: 87, ratio: 1.00
s79 packet_in: 4, packet_out: 4, ratio: 1.00
s80 packet_in: 6, packet_out: 6, ratio: 1.00
s81 packet_in: 9, packet_out: 9, ratio: 1.00
s82 packet_in: 12, packet_out: 12, ratio: 1.00
s83 packet_in: 175, packet_out: 175, ratio: 1.00
s84 packet_in: 97, packet_out: 97, ratio: 1.00
s85 packet_in: 10, packet_out: 10, ratio: 1.00
s86 packet_in: 90, packet_out: 90, ratio: 1.00
s87 packet_in: 107, packet_out: 107, ratio: 1.00
s88 packet_in: 925, packet_out: 925, ratio: 1.00
s89 packet_in: 97, packet_out: 97, ratio: 1.00
s90 packet_in: 203, packet_out: 203, ratio: 1.00
s91 packet_in: 4, packet_out: 4, ratio: 1.00
s92 packet_in: 1869, packet_out: 1869, ratio: 1.00
s93 packet_in: 13, packet_out: 13, ratio: 1.00
s94 packet_in: 481, packet_out: 481, ratio: 1.00
s95 packet_in: 4, packet_out: 4, ratio: 1.00
s96 packet_in: 9, packet_out: 9, ratio: 1.00
s97 packet_in: 105, packet_out: 105, ratio: 1.00
s98 packet_in: 7, packet_out: 7, ratio: 1.00
s99 packet_in: 802, packet_out: 802, ratio: 1.00
s100 packet_in: 4, packet_out: 4, ratio: 1.00
s101 packet_in: 6, packet_out: 6, ratio: 1.00
s102 packet_in: 8, packet_out: 8, ratio: 1.00
s103 packet_in: 705, packet_out: 705, ratio: 1.00
s104 packet_in: 6, packet_out: 6, ratio: 1.00
s105 packet_in: 73, packet_out: 73, ratio: 1.00
s106 packet_in: 4, packet_out: 4, ratio: 1.00
s107 packet_in: 583, packet_out: 583, ratio: 1.00
s108 packet_in: 6, packet_out: 6, ratio: 1.00
s109 packet_in: 90, packet_out: 90, ratio: 1.00
s110 packet_in: 4, packet_out: 4, ratio: 1.00
s111 packet_in: 97, packet_out: 97, ratio: 1.00
s112 packet_in: 161, packet_out: 161, ratio: 1.00
s113 packet_in: 517, packet_out: 517, ratio: 1.00
s114 packet_in: 94, packet_out: 94, ratio: 1.00
s115 packet_in: 79, packet_out: 79, ratio: 1.00
