s1 packet_in: 1179, packet_out: 1179, ratio: 1.00
s2 packet_in: 110, packet_out: 110, ratio: 1.00
s3 packet_in: 45, packet_out: 45, ratio: 1.00
s4 packet_in: 8, packet_out: 8, ratio: 1.00
s5 packet_in: 334, packet_out: 334, ratio: 1.00
s6 packet_in: 77, packet_out: 77, ratio: 1.00
s7 packet_in: 136, packet_out: 136, ratio: 1.00
s8 packet_in: 5, packet_out: 5, ratio: 1.00
s9 packet_in: 9, packet_out: 9, ratio: 1.00
s10 packet_in: 94, packet_out: 94, ratio: 1.00
s11 packet_in: 52, packet_out: 52, ratio: 1.00
s12 packet_in: 19, packet_out: 19, ratio: 1.00
s13 packet_in: 298, packet_out: 298, ratio: 1.00
s14 packet_in: 8, packet_out: 8, ratio: 1.00
s15 packet_in: 599, packet_out: 599, ratio: 1.00
s16 packet_in: 118, packet_out: 118, ratio: 1.00
s17 packet_in: 18, packet_out: 18, ratio: 1.00
s18 packet_in: 128, packet_out: 128, ratio: 1.00
s19 packet_in: 16, packet_out: 16, ratio: 1.00
s20 packet_in: 51, packet_out: 51, ratio: 1.00
s21 packet_in: 96, packet_out: 96, ratio: 1.00
s22 packet_in: 20, packet_out: 20, ratio: 1.00
s23 packet_in: 19, packet_out: 19, ratio: 1.00
s24 packet_in: 81, packet_out: 81, ratio: 1.00
s25 packet_in: 108, packet_out: 108, ratio: 1.00
s26 packet_in: 640, packet_out: 640, ratio: 1.00
s27 packet_in: 129, packet_out: 129, ratio: 1.00
s28 packet_in: 55, packet_out: 55, ratio: 1.00
s29 packet_in: 504, packet_out: 504, ratio: 1.00
s30 packet_in: 17, packet_out: 17, ratio: 1.00
s31 packet_in: 94, packet_out: 94, ratio: 1.00
s32 packet_in: 14, packet_out: 14, ratio: 1.00
s33 packet_in: 52, packet_out: 52, ratio: 1.00
s34 packet_in: 55, packet_out: 55, ratio: 1.00
s35 packet_in: 125, packet_out: 125, ratio: 1.00
s36 packet_in: 170, packet_out: 170, ratio: 1.00
s37 packet_in: 92, packet_out: 92, ratio: 1.00
s38 packet_in: 240, packet_out: 240, ratio: 1.00
s39 packet_in: 304, packet_out: 304, ratio: 1.00
s40 packet_in: 247, packet_out: 247, ratio: 1.00
s41 packet_in: 92, packet_out: 92, ratio: 1.00
s42 packet_in: 52, packet_out: 52, ratio: 1.00
s43 packet_in: 18, packet_out: 18, ratio: 1.00
s44 packet_in: 38, packet_out: 38, ratio: 1.00
s45 packet_in: 499, packet_out: 499, ratio: 1.00
s46 packet_in: 66, packet_out: 66, ratio: 1.00
s47 packet_in: 28, packet_out: 28, ratio: 1.00
s48 packet_in: 15, packet_out: 15, ratio: 1.00
s49 packet_in: 53, packet_out: 53, ratio: 1.00
s50 packet_in: 1198, packet_out: 1198, ratio: 1.00
s51 packet_in: 2476, packet_out: 2476, ratio: 1.00
s52 packet_in: 1238, packet_out: 1238, ratio: 1.00
s53 packet_in: 100, packet_out: 100, ratio: 1.00
s54 packet_in: 123, packet_out: 123, ratio: 1.00
s55 packet_in: 1618, packet_out: 1618, ratio: 1.00
s56 packet_in: 671, packet_out: 671, ratio: 1.00
s57 packet_in: 1701, packet_out: 1701, ratio: 1.00
s58 packet_in: 1939, packet_out: 1939, ratio: 1.00
s59 packet_in: 1057, packet_out: 1057, ratio: 1.00
s60 packet_in: 140, packet_out: 140, ratio: 1.00
s61 packet_in: 7, packet_out: 7, ratio: 1.00
s62 packet_in: 92, packet_out: 92, ratio: 1.00
s63 packet_in: 58, packet_out: 58, ratio: 1.00
s64 packet_in: 7, packet_out: 7, ratio: 1.00
s65 packet_in: 61, packet_out: 61, ratio: 1.00
s66 packet_in: 611, packet_out: 611, ratio: 1.00
s67 packet_in: 155, packet_out: 155, ratio: 1.00
s68 packet_in: 90, packet_out: 90, ratio: 1.00
s69 packet_in: 81, packet_out: 81, ratio: 1.00
s70 packet_in: 106, packet_out: 106, ratio: 1.00
s71 packet_in: 122, packet_out: 122, ratio: 1.00
s72 packet_in: 557, packet_out: 557, ratio: 1.00
s73 packet_in: 249, packet_out: 249, ratio: 1.00
s74 packet_in: 80, packet_out: 80, ratio: 1.00
s75 packet_in: 894, packet_out: 894, ratio: 1.00
s76 packet_in: 36, packet_out: 36, ratio: 1.00
s77 packet_in: 209, packet_out: 209, ratio: 1.00
s78 packet_in: 2077, packet_out: 1653, ratio: 0.80
s79 packet_in: 4, packet_out: 4, ratio: 1.00
s80 packet_in: 1816, packet_out: 1816, ratio: 1.00
s81 packet_in: 1095, packet_out: 1095, ratio: 1.00
s82 packet_in: 133, packet_out: 133, ratio: 1.00
s83 packet_in: 10, packet_out: 10, ratio: 1.00
s84 packet_in: 74, packet_out: 74, ratio: 1.00
s85 packet_in: 7, packet_out: 7, ratio: 1.00
s86 packet_in: 128, packet_out: 128, ratio: 1.00
s87 packet_in: 2126, packet_out: 2126, ratio: 1.00
s88 packet_in: 113, packet_out: 113, ratio: 1.00
s89 packet_in: 2521, packet_out: 2521, ratio: 1.00
s90 packet_in: 104, packet_out: 104, ratio: 1.00
s91 packet_in: 99, packet_out: 99, ratio: 1.00
s92 packet_in: 752, packet_out: 752, ratio: 1.00
s93 packet_in: 59, packet_out: 59, ratio: 1.00
s94 packet_in: 4, packet_out: 4, ratio: 1.00
s95 packet_in: 6, packet_out: 6, ratio: 1.00
s96 packet_in: 46, packet_out: 46, ratio: 1.00
s97 packet_in: 7, packet_out: 7, ratio: 1.00
s98 packet_in: 862, packet_out: 862, ratio: 1.00
s99 packet_in: 124, packet_out: 124, ratio: 1.00
s100 packet_in: 8, packet_out: 8, ratio: 1.00
s101 packet_in: 7, packet_out: 7, ratio: 1.00
s102 packet_in: 130, packet_out: 130, ratio: 1.00
s103 packet_in: 765, packet_out: 765, ratio: 1.00
s104 packet_in: 1854, packet_out: 1854, ratio: 1.00
s105 packet_in: 2441, packet_out: 2441, ratio: 1.00
s106 packet_in: 273, packet_out: 273, ratio: 1.00
s107 packet_in: 105, packet_out: 105, ratio: 1.00
s108 packet_in: 2555, packet_out: 2554, ratio: 1.00
s109 packet_in: 387, packet_out: 387, ratio: 1.00
s110 packet_in: 38, packet_out: 38, ratio: 1.00
s111 packet_in: 12, packet_out: 12, ratio: 1.00
s112 packet_in: 6, packet_out: 6, ratio: 1.00
s113 packet_in: 223, packet_out: 223, ratio: 1.00
s114 packet_in: 2, packet_out: 4, ratio: 2.00
s115 packet_in: 103, packet_out: 103, ratio: 1.00
s116 packet_in: 37, packet_out: 37, ratio: 1.00
s117 packet_in: 109, packet_out: 109, ratio: 1.00
s118 packet_in: 6, packet_out: 6, ratio: 1.00
s119 packet_in: 10, packet_out: 10, ratio: 1.00
s120 packet_in: 102, packet_out: 102, ratio: 1.00
