s1 packet_in: 12, packet_out: 12, ratio: 1.00
s2 packet_in: 15, packet_out: 15, ratio: 1.00
s3 packet_in: 14, packet_out: 14, ratio: 1.00
s4 packet_in: 11, packet_out: 11, ratio: 1.00
s5 packet_in: 57, packet_out: 57, ratio: 1.00
s6 packet_in: 12, packet_out: 12, ratio: 1.00
s7 packet_in: 11, packet_out: 11, ratio: 1.00
s8 packet_in: 12, packet_out: 12, ratio: 1.00
s9 packet_in: 37, packet_out: 37, ratio: 1.00
s10 packet_in: 7, packet_out: 7, ratio: 1.00
s11 packet_in: 8, packet_out: 8, ratio: 1.00
s12 packet_in: 7, packet_out: 7, ratio: 1.00
s13 packet_in: 49, packet_out: 49, ratio: 1.00
s14 packet_in: 6, packet_out: 6, ratio: 1.00
s15 packet_in: 51, packet_out: 51, ratio: 1.00
s16 packet_in: 10, packet_out: 10, ratio: 1.00
s17 packet_in: 220, packet_out: 220, ratio: 1.00
s18 packet_in: 13, packet_out: 13, ratio: 1.00
s19 packet_in: 47, packet_out: 47, ratio: 1.00
s20 packet_in: 14, packet_out: 14, ratio: 1.00
s21 packet_in: 5, packet_out: 5, ratio: 1.00
s22 packet_in: 224, packet_out: 224, ratio: 1.00
s23 packet_in: 9, packet_out: 9, ratio: 1.00
s24 packet_in: 20, packet_out: 20, ratio: 1.00
s25 packet_in: 16, packet_out: 16, ratio: 1.00
s26 packet_in: 5, packet_out: 5, ratio: 1.00
s27 packet_in: 66, packet_out: 66, ratio: 1.00
s28 packet_in: 71, packet_out: 71, ratio: 1.00
s29 packet_in: 34, packet_out: 34, ratio: 1.00
s30 packet_in: 7, packet_out: 7, ratio: 1.00
s31 packet_in: 231, packet_out: 231, ratio: 1.00
s32 packet_in: 258, packet_out: 258, ratio: 1.00
s33 packet_in: 1107, packet_out: 1107, ratio: 1.00
s34 packet_in: 278, packet_out: 278, ratio: 1.00
s35 packet_in: 1677, packet_out: 1677, ratio: 1.00
s36 packet_in: 65, packet_out: 65, ratio: 1.00
s37 packet_in: 23, packet_out: 23, ratio: 1.00
s38 packet_in: 354, packet_out: 354, ratio: 1.00
s39 packet_in: 18, packet_out: 18, ratio: 1.00
s40 packet_in: 53, packet_out: 53, ratio: 1.00
s41 packet_in: 4, packet_out: 4, ratio: 1.00
s42 packet_in: 1, packet_out: 1, ratio: 1.00
s43 packet_in: 5, packet_out: 5, ratio: 1.00
s44 packet_in: 0, packet_out: 0, ratio: N/A
s45 packet_in: 4, packet_out: 4, ratio: 1.00
s46 packet_in: 56, packet_out: 56, ratio: 1.00
s47 packet_in: 269, packet_out: 269, ratio: 1.00
s48 packet_in: 30, packet_out: 30, ratio: 1.00
s49 packet_in: 139, packet_out: 139, ratio: 1.00
s50 packet_in: 21, packet_out: 21, ratio: 1.00
s51 packet_in: 249, packet_out: 249, ratio: 1.00
s52 packet_in: 16, packet_out: 16, ratio: 1.00
s53 packet_in: 362, packet_out: 362, ratio: 1.00
s54 packet_in: 459, packet_out: 459, ratio: 1.00
s55 packet_in: 318, packet_out: 318, ratio: 1.00
s56 packet_in: 123, packet_out: 123, ratio: 1.00
s57 packet_in: 52, packet_out: 52, ratio: 1.00
s58 packet_in: 111, packet_out: 111, ratio: 1.00
s59 packet_in: 45, packet_out: 45, ratio: 1.00
s60 packet_in: 224, packet_out: 224, ratio: 1.00
s61 packet_in: 51, packet_out: 51, ratio: 1.00
s62 packet_in: 47, packet_out: 47, ratio: 1.00
s63 packet_in: 5, packet_out: 5, ratio: 1.00
s64 packet_in: 9, packet_out: 9, ratio: 1.00
s65 packet_in: 62, packet_out: 62, ratio: 1.00
s66 packet_in: 38, packet_out: 38, ratio: 1.00
s67 packet_in: 71, packet_out: 71, ratio: 1.00
s68 packet_in: 35, packet_out: 35, ratio: 1.00
s69 packet_in: 234, packet_out: 234, ratio: 1.00
s70 packet_in: 38, packet_out: 38, ratio: 1.00
s71 packet_in: 6, packet_out: 6, ratio: 1.00
s72 packet_in: 6, packet_out: 6, ratio: 1.00
s73 packet_in: 13, packet_out: 13, ratio: 1.00
s74 packet_in: 63, packet_out: 63, ratio: 1.00
s75 packet_in: 47, packet_out: 47, ratio: 1.00
s76 packet_in: 113, packet_out: 113, ratio: 1.00
s77 packet_in: 15, packet_out: 15, ratio: 1.00
s78 packet_in: 2, packet_out: 2, ratio: 1.00
s79 packet_in: 8, packet_out: 8, ratio: 1.00
s80 packet_in: 73, packet_out: 73, ratio: 1.00
s81 packet_in: 6, packet_out: 6, ratio: 1.00
s82 packet_in: 197, packet_out: 197, ratio: 1.00
