s1 packet_in: 18, packet_out: 18, ratio: 1.00
s2 packet_in: 117, packet_out: 117, ratio: 1.00
s3 packet_in: 668, packet_out: 668, ratio: 1.00
s4 packet_in: 83, packet_out: 83, ratio: 1.00
s5 packet_in: 671, packet_out: 671, ratio: 1.00
s6 packet_in: 58, packet_out: 58, ratio: 1.00
s7 packet_in: 377, packet_out: 377, ratio: 1.00
s8 packet_in: 665, packet_out: 665, ratio: 1.00
s9 packet_in: 292, packet_out: 292, ratio: 1.00
s10 packet_in: 296, packet_out: 296, ratio: 1.00
s11 packet_in: 17, packet_out: 17, ratio: 1.00
s12 packet_in: 107, packet_out: 107, ratio: 1.00
s13 packet_in: 226, packet_out: 226, ratio: 1.00
s14 packet_in: 21, packet_out: 21, ratio: 1.00
s15 packet_in: 53, packet_out: 53, ratio: 1.00
s16 packet_in: 190, packet_out: 190, ratio: 1.00
s17 packet_in: 78, packet_out: 78, ratio: 1.00
s18 packet_in: 13, packet_out: 13, ratio: 1.00
s19 packet_in: 40, packet_out: 40, ratio: 1.00
s20 packet_in: 670, packet_out: 670, ratio: 1.00
s21 packet_in: 646, packet_out: 646, ratio: 1.00
s22 packet_in: 85, packet_out: 85, ratio: 1.00
s23 packet_in: 48, packet_out: 48, ratio: 1.00
s24 packet_in: 12, packet_out: 12, ratio: 1.00
s25 packet_in: 315, packet_out: 315, ratio: 1.00
s26 packet_in: 681, packet_out: 681, ratio: 1.00
s27 packet_in: 672, packet_out: 672, ratio: 1.00
s28 packet_in: 671, packet_out: 671, ratio: 1.00
s29 packet_in: 672, packet_out: 672, ratio: 1.00
s30 packet_in: 669, packet_out: 669, ratio: 1.00
s31 packet_in: 63, packet_out: 63, ratio: 1.00
s32 packet_in: 671, packet_out: 671, ratio: 1.00
s33 packet_in: 670, packet_out: 670, ratio: 1.00
s34 packet_in: 667, packet_out: 667, ratio: 1.00
s35 packet_in: 675, packet_out: 675, ratio: 1.00
s36 packet_in: 176, packet_out: 176, ratio: 1.00
s37 packet_in: 23, packet_out: 23, ratio: 1.00
s38 packet_in: 679, packet_out: 679, ratio: 1.00
s39 packet_in: 485, packet_out: 485, ratio: 1.00
s40 packet_in: 529, packet_out: 529, ratio: 1.00
s41 packet_in: 42, packet_out: 42, ratio: 1.00
s42 packet_in: 671, packet_out: 671, ratio: 1.00
s43 packet_in: 41, packet_out: 41, ratio: 1.00
s44 packet_in: 261, packet_out: 261, ratio: 1.00
s45 packet_in: 149, packet_out: 149, ratio: 1.00
s46 packet_in: 278, packet_out: 278, ratio: 1.00
s47 packet_in: 129, packet_out: 129, ratio: 1.00
s48 packet_in: 54, packet_out: 54, ratio: 1.00
s49 packet_in: 7, packet_out: 7, ratio: 1.00
s50 packet_in: 49, packet_out: 49, ratio: 1.00
s51 packet_in: 668, packet_out: 668, ratio: 1.00
s52 packet_in: 669, packet_out: 669, ratio: 1.00
s53 packet_in: 681, packet_out: 681, ratio: 1.00
s54 packet_in: 679, packet_out: 679, ratio: 1.00
s55 packet_in: 680, packet_out: 680, ratio: 1.00
s56 packet_in: 11, packet_out: 11, ratio: 1.00
s57 packet_in: 320, packet_out: 320, ratio: 1.00
s58 packet_in: 65, packet_out: 65, ratio: 1.00
s59 packet_in: 13, packet_out: 13, ratio: 1.00
s60 packet_in: 511, packet_out: 511, ratio: 1.00
s61 packet_in: 672, packet_out: 672, ratio: 1.00
s62 packet_in: 672, packet_out: 672, ratio: 1.00
s63 packet_in: 674, packet_out: 674, ratio: 1.00
s64 packet_in: 673, packet_out: 673, ratio: 1.00
s65 packet_in: 674, packet_out: 674, ratio: 1.00
s66 packet_in: 677, packet_out: 677, ratio: 1.00
s67 packet_in: 256, packet_out: 256, ratio: 1.00
s68 packet_in: 677, packet_out: 677, ratio: 1.00
s69 packet_in: 674, packet_out: 674, ratio: 1.00
s70 packet_in: 680, packet_out: 680, ratio: 1.00
s71 packet_in: 669, packet_out: 669, ratio: 1.00
s72 packet_in: 681, packet_out: 681, ratio: 1.00
s73 packet_in: 671, packet_out: 671, ratio: 1.00
s74 packet_in: 604, packet_out: 604, ratio: 1.00
s75 packet_in: 671, packet_out: 671, ratio: 1.00
s76 packet_in: 677, packet_out: 677, ratio: 1.00
s77 packet_in: 682, packet_out: 682, ratio: 1.00
