s1 packet_in: 39, packet_out: 39, ratio: 1.00
s2 packet_in: 52, packet_out: 52, ratio: 1.00
s3 packet_in: 45, packet_out: 45, ratio: 1.00
s4 packet_in: 216, packet_out: 216, ratio: 1.00
s5 packet_in: 15, packet_out: 15, ratio: 1.00
s6 packet_in: 43, packet_out: 43, ratio: 1.00
s7 packet_in: 55, packet_out: 55, ratio: 1.00
s8 packet_in: 78, packet_out: 78, ratio: 1.00
s9 packet_in: 60, packet_out: 60, ratio: 1.00
s10 packet_in: 13, packet_out: 13, ratio: 1.00
s11 packet_in: 41, packet_out: 41, ratio: 1.00
s12 packet_in: 14, packet_out: 14, ratio: 1.00
s13 packet_in: 49, packet_out: 49, ratio: 1.00
s14 packet_in: 82, packet_out: 82, ratio: 1.00
s15 packet_in: 8, packet_out: 8, ratio: 1.00
s16 packet_in: 12, packet_out: 12, ratio: 1.00
s17 packet_in: 279, packet_out: 279, ratio: 1.00
s18 packet_in: 44, packet_out: 44, ratio: 1.00
s19 packet_in: 50, packet_out: 50, ratio: 1.00
s20 packet_in: 9, packet_out: 9, ratio: 1.00
s21 packet_in: 76, packet_out: 76, ratio: 1.00
s22 packet_in: 27, packet_out: 27, ratio: 1.00
s23 packet_in: 58, packet_out: 58, ratio: 1.00
s24 packet_in: 39, packet_out: 39, ratio: 1.00
s25 packet_in: 10, packet_out: 10, ratio: 1.00
s26 packet_in: 652, packet_out: 652, ratio: 1.00
s27 packet_in: 625, packet_out: 625, ratio: 1.00
s28 packet_in: 880, packet_out: 880, ratio: 1.00
s29 packet_in: 747, packet_out: 747, ratio: 1.00
s30 packet_in: 90, packet_out: 90, ratio: 1.00
s31 packet_in: 1173, packet_out: 1173, ratio: 1.00
s32 packet_in: 517, packet_out: 517, ratio: 1.00
s33 packet_in: 775, packet_out: 775, ratio: 1.00
s34 packet_in: 1342, packet_out: 1342, ratio: 1.00
s35 packet_in: 1479, packet_out: 1479, ratio: 1.00
s36 packet_in: 10, packet_out: 10, ratio: 1.00
s37 packet_in: 326, packet_out: 326, ratio: 1.00
s38 packet_in: 365, packet_out: 365, ratio: 1.00
s39 packet_in: 60, packet_out: 60, ratio: 1.00
s40 packet_in: 15, packet_out: 15, ratio: 1.00
s41 packet_in: 176, packet_out: 176, ratio: 1.00
s42 packet_in: 328, packet_out: 328, ratio: 1.00
s43 packet_in: 236, packet_out: 236, ratio: 1.00
s44 packet_in: 78, packet_out: 78, ratio: 1.00
s45 packet_in: 149, packet_out: 149, ratio: 1.00
s46 packet_in: 31, packet_out: 31, ratio: 1.00
s47 packet_in: 67, packet_out: 67, ratio: 1.00
s48 packet_in: 120, packet_out: 120, ratio: 1.00
s49 packet_in: 39, packet_out: 39, ratio: 1.00
s50 packet_in: 106, packet_out: 106, ratio: 1.00
s51 packet_in: 9, packet_out: 9, ratio: 1.00
s52 packet_in: 45, packet_out: 45, ratio: 1.00
s53 packet_in: 44, packet_out: 44, ratio: 1.00
s54 packet_in: 75, packet_out: 75, ratio: 1.00
s55 packet_in: 38, packet_out: 38, ratio: 1.00
s56 packet_in: 819, packet_out: 819, ratio: 1.00
s57 packet_in: 634, packet_out: 634, ratio: 1.00
s58 packet_in: 989, packet_out: 989, ratio: 1.00
s59 packet_in: 1475, packet_out: 1475, ratio: 1.00
s60 packet_in: 1475, packet_out: 1475, ratio: 1.00
s61 packet_in: 1276, packet_out: 1276, ratio: 1.00
s62 packet_in: 314, packet_out: 314, ratio: 1.00
s63 packet_in: 252, packet_out: 252, ratio: 1.00
s64 packet_in: 102, packet_out: 102, ratio: 1.00
s65 packet_in: 58, packet_out: 58, ratio: 1.00
s66 packet_in: 8, packet_out: 8, ratio: 1.00
s67 packet_in: 86, packet_out: 86, ratio: 1.00
s68 packet_in: 75, packet_out: 75, ratio: 1.00
s69 packet_in: 77, packet_out: 77, ratio: 1.00
s70 packet_in: 7, packet_out: 7, ratio: 1.00
s71 packet_in: 304, packet_out: 304, ratio: 1.00
s72 packet_in: 1477, packet_out: 1477, ratio: 1.00
s73 packet_in: 491, packet_out: 491, ratio: 1.00
s74 packet_in: 53, packet_out: 53, ratio: 1.00
s75 packet_in: 1481, packet_out: 1481, ratio: 1.00
s76 packet_in: 924, packet_out: 924, ratio: 1.00
s77 packet_in: 35, packet_out: 35, ratio: 1.00
s78 packet_in: 2, packet_out: 2, ratio: 1.00
s79 packet_in: 1421, packet_out: 1421, ratio: 1.00
s80 packet_in: 442, packet_out: 442, ratio: 1.00
s81 packet_in: 1508, packet_out: 1508, ratio: 1.00
s82 packet_in: 10, packet_out: 10, ratio: 1.00
s83 packet_in: 89, packet_out: 89, ratio: 1.00
s84 packet_in: 129, packet_out: 129, ratio: 1.00
s85 packet_in: 5, packet_out: 5, ratio: 1.00
s86 packet_in: 90, packet_out: 90, ratio: 1.00
s87 packet_in: 4, packet_out: 4, ratio: 1.00
s88 packet_in: 6, packet_out: 6, ratio: 1.00
s89 packet_in: 1001, packet_out: 1001, ratio: 1.00
s90 packet_in: 203, packet_out: 203, ratio: 1.00
s91 packet_in: 4, packet_out: 4, ratio: 1.00
s92 packet_in: 188, packet_out: 188, ratio: 1.00
s93 packet_in: 1490, packet_out: 1490, ratio: 1.00
s94 packet_in: 242, packet_out: 242, ratio: 1.00
s95 packet_in: 5, packet_out: 5, ratio: 1.00
s96 packet_in: 60, packet_out: 60, ratio: 1.00
s97 packet_in: 6, packet_out: 6, ratio: 1.00
s98 packet_in: 143, packet_out: 143, ratio: 1.00
s99 packet_in: 38, packet_out: 38, ratio: 1.00
s100 packet_in: 14, packet_out: 14, ratio: 1.00
s101 packet_in: 2, packet_out: 2, ratio: 1.00
s102 packet_in: 115, packet_out: 115, ratio: 1.00
s103 packet_in: 709, packet_out: 709, ratio: 1.00
s104 packet_in: 7, packet_out: 7, ratio: 1.00
s105 packet_in: 10, packet_out: 10, ratio: 1.00
s106 packet_in: 1478, packet_out: 1478, ratio: 1.00
s107 packet_in: 8, packet_out: 8, ratio: 1.00
s108 packet_in: 2, packet_out: 2, ratio: 1.00
s109 packet_in: 1477, packet_out: 1477, ratio: 1.00
s110 packet_in: 1485, packet_out: 1485, ratio: 1.00
s111 packet_in: 10, packet_out: 10, ratio: 1.00
s112 packet_in: 1473, packet_out: 1473, ratio: 1.00
s113 packet_in: 95, packet_out: 95, ratio: 1.00
s114 packet_in: 1498, packet_out: 1498, ratio: 1.00
s115 packet_in: 6, packet_out: 6, ratio: 1.00
s116 packet_in: 3, packet_out: 3, ratio: 1.00
s117 packet_in: 1477, packet_out: 1477, ratio: 1.00
s118 packet_in: 1471, packet_out: 1471, ratio: 1.00
s119 packet_in: 136, packet_out: 136, ratio: 1.00
s120 packet_in: 3, packet_out: 3, ratio: 1.00
s121 packet_in: 1450, packet_out: 1450, ratio: 1.00
s122 packet_in: 195, packet_out: 195, ratio: 1.00
s123 packet_in: 84, packet_out: 84, ratio: 1.00
s124 packet_in: 1494, packet_out: 1494, ratio: 1.00
s125 packet_in: 776, packet_out: 776, ratio: 1.00
