s1 packet_in: 178, packet_out: 178, ratio: 1.00
s2 packet_in: 56, packet_out: 56, ratio: 1.00
s3 packet_in: 288, packet_out: 288, ratio: 1.00
s4 packet_in: 121, packet_out: 121, ratio: 1.00
s5 packet_in: 10, packet_out: 10, ratio: 1.00
s6 packet_in: 842, packet_out: 842, ratio: 1.00
s7 packet_in: 332, packet_out: 332, ratio: 1.00
s8 packet_in: 73, packet_out: 73, ratio: 1.00
s9 packet_in: 49, packet_out: 49, ratio: 1.00
s10 packet_in: 8, packet_out: 8, ratio: 1.00
s11 packet_in: 95, packet_out: 95, ratio: 1.00
s12 packet_in: 700, packet_out: 700, ratio: 1.00
s13 packet_in: 9, packet_out: 9, ratio: 1.00
s14 packet_in: 16, packet_out: 16, ratio: 1.00
s15 packet_in: 7, packet_out: 7, ratio: 1.00
s16 packet_in: 95, packet_out: 95, ratio: 1.00
s17 packet_in: 470, packet_out: 470, ratio: 1.00
s18 packet_in: 46, packet_out: 46, ratio: 1.00
s19 packet_in: 163, packet_out: 163, ratio: 1.00
s20 packet_in: 19, packet_out: 19, ratio: 1.00
s21 packet_in: 201, packet_out: 201, ratio: 1.00
s22 packet_in: 93, packet_out: 93, ratio: 1.00
s23 packet_in: 249, packet_out: 249, ratio: 1.00
s24 packet_in: 248, packet_out: 248, ratio: 1.00
s25 packet_in: 250, packet_out: 250, ratio: 1.00
s26 packet_in: 861, packet_out: 861, ratio: 1.00
s27 packet_in: 857, packet_out: 857, ratio: 1.00
s28 packet_in: 223, packet_out: 223, ratio: 1.00
s29 packet_in: 860, packet_out: 860, ratio: 1.00
s30 packet_in: 855, packet_out: 855, ratio: 1.00
s31 packet_in: 286, packet_out: 286, ratio: 1.00
s32 packet_in: 52, packet_out: 52, ratio: 1.00
s33 packet_in: 62, packet_out: 62, ratio: 1.00
s34 packet_in: 4, packet_out: 4, ratio: 1.00
s35 packet_in: 62, packet_out: 62, ratio: 1.00
s36 packet_in: 588, packet_out: 588, ratio: 1.00
s37 packet_in: 848, packet_out: 848, ratio: 1.00
s38 packet_in: 48, packet_out: 48, ratio: 1.00
s39 packet_in: 528, packet_out: 528, ratio: 1.00
s40 packet_in: 851, packet_out: 851, ratio: 1.00
s41 packet_in: 857, packet_out: 857, ratio: 1.00
s42 packet_in: 288, packet_out: 288, ratio: 1.00
s43 packet_in: 88, packet_out: 88, ratio: 1.00
s44 packet_in: 139, packet_out: 139, ratio: 1.00
s45 packet_in: 582, packet_out: 582, ratio: 1.00
s46 packet_in: 851, packet_out: 851, ratio: 1.00
s47 packet_in: 846, packet_out: 846, ratio: 1.00
s48 packet_in: 846, packet_out: 846, ratio: 1.00
s49 packet_in: 852, packet_out: 852, ratio: 1.00
s50 packet_in: 743, packet_out: 743, ratio: 1.00
s51 packet_in: 841, packet_out: 841, ratio: 1.00
s52 packet_in: 849, packet_out: 849, ratio: 1.00
s53 packet_in: 854, packet_out: 854, ratio: 1.00
s54 packet_in: 82, packet_out: 82, ratio: 1.00
s55 packet_in: 852, packet_out: 852, ratio: 1.00
s56 packet_in: 849, packet_out: 849, ratio: 1.00
s57 packet_in: 854, packet_out: 854, ratio: 1.00
s58 packet_in: 856, packet_out: 856, ratio: 1.00
s59 packet_in: 858, packet_out: 858, ratio: 1.00
s60 packet_in: 128, packet_out: 128, ratio: 1.00
s61 packet_in: 51, packet_out: 51, ratio: 1.00
s62 packet_in: 494, packet_out: 494, ratio: 1.00
s63 packet_in: 32, packet_out: 32, ratio: 1.00
s64 packet_in: 215, packet_out: 215, ratio: 1.00
s65 packet_in: 104, packet_out: 104, ratio: 1.00
s66 packet_in: 14, packet_out: 14, ratio: 1.00
s67 packet_in: 91, packet_out: 91, ratio: 1.00
s68 packet_in: 71, packet_out: 71, ratio: 1.00
s69 packet_in: 430, packet_out: 430, ratio: 1.00
s70 packet_in: 18, packet_out: 18, ratio: 1.00
s71 packet_in: 855, packet_out: 855, ratio: 1.00
s72 packet_in: 263, packet_out: 263, ratio: 1.00
s73 packet_in: 73, packet_out: 73, ratio: 1.00
s74 packet_in: 860, packet_out: 860, ratio: 1.00
s75 packet_in: 44, packet_out: 44, ratio: 1.00
s76 packet_in: 26, packet_out: 26, ratio: 1.00
s77 packet_in: 113, packet_out: 113, ratio: 1.00
s78 packet_in: 132, packet_out: 132, ratio: 1.00
s79 packet_in: 852, packet_out: 852, ratio: 1.00
s80 packet_in: 103, packet_out: 103, ratio: 1.00
s81 packet_in: 841, packet_out: 841, ratio: 1.00
s82 packet_in: 52, packet_out: 52, ratio: 1.00
s83 packet_in: 98, packet_out: 98, ratio: 1.00
s84 packet_in: 157, packet_out: 157, ratio: 1.00
s85 packet_in: 6, packet_out: 6, ratio: 1.00
s86 packet_in: 8, packet_out: 8, ratio: 1.00
s87 packet_in: 74, packet_out: 74, ratio: 1.00
s88 packet_in: 99, packet_out: 99, ratio: 1.00
s89 packet_in: 333, packet_out: 333, ratio: 1.00
s90 packet_in: 860, packet_out: 860, ratio: 1.00
s91 packet_in: 587, packet_out: 587, ratio: 1.00
s92 packet_in: 580, packet_out: 580, ratio: 1.00
s93 packet_in: 382, packet_out: 382, ratio: 1.00
s94 packet_in: 100, packet_out: 100, ratio: 1.00
s95 packet_in: 837, packet_out: 837, ratio: 1.00
s96 packet_in: 181, packet_out: 181, ratio: 1.00
s97 packet_in: 6, packet_out: 6, ratio: 1.00
s98 packet_in: 852, packet_out: 852, ratio: 1.00
s99 packet_in: 850, packet_out: 850, ratio: 1.00
s100 packet_in: 106, packet_out: 106, ratio: 1.00
s101 packet_in: 858, packet_out: 858, ratio: 1.00
s102 packet_in: 16, packet_out: 16, ratio: 1.00
s103 packet_in: 849, packet_out: 849, ratio: 1.00
s104 packet_in: 860, packet_out: 860, ratio: 1.00
