s1 packet_in: 1, packet_out: 1, ratio: 1.00
s2 packet_in: 2, packet_out: 2, ratio: 1.00
s3 packet_in: 1, packet_out: 1, ratio: 1.00
s4 packet_in: 0, packet_out: 0, ratio: N/A
s5 packet_in: 0, packet_out: 0, ratio: N/A
s6 packet_in: 1, packet_out: 1, ratio: 1.00
s7 packet_in: 1, packet_out: 1, ratio: 1.00
s8 packet_in: 3, packet_out: 3, ratio: 1.00
s9 packet_in: 2, packet_out: 2, ratio: 1.00
s10 packet_in: 1, packet_out: 1, ratio: 1.00
s11 packet_in: 0, packet_out: 0, ratio: N/A
s12 packet_in: 0, packet_out: 0, ratio: N/A
s13 packet_in: 1, packet_out: 1, ratio: 1.00
s14 packet_in: 0, packet_out: 0, ratio: N/A
s15 packet_in: 0, packet_out: 0, ratio: N/A
s16 packet_in: 2, packet_out: 2, ratio: 1.00
s17 packet_in: 1, packet_out: 1, ratio: 1.00
s18 packet_in: 0, packet_out: 0, ratio: N/A
s19 packet_in: 3, packet_out: 3, ratio: 1.00
s20 packet_in: 0, packet_out: 0, ratio: N/A
s21 packet_in: 6, packet_out: 6, ratio: 1.00
s22 packet_in: 1, packet_out: 1, ratio: 1.00
s23 packet_in: 4, packet_out: 4, ratio: 1.00
s24 packet_in: 0, packet_out: 0, ratio: N/A
s25 packet_in: 1, packet_out: 1, ratio: 1.00
s26 packet_in: 64, packet_out: 64, ratio: 1.00
s27 packet_in: 44, packet_out: 44, ratio: 1.00
s28 packet_in: 56, packet_out: 56, ratio: 1.00
s29 packet_in: 18, packet_out: 18, ratio: 1.00
s30 packet_in: 23, packet_out: 23, ratio: 1.00
s31 packet_in: 52, packet_out: 52, ratio: 1.00
s32 packet_in: 187, packet_out: 187, ratio: 1.00
s33 packet_in: 50, packet_out: 50, ratio: 1.00
s34 packet_in: 17, packet_out: 17, ratio: 1.00
s35 packet_in: 25, packet_out: 25, ratio: 1.00
s36 packet_in: 6, packet_out: 6, ratio: 1.00
s37 packet_in: 26, packet_out: 26, ratio: 1.00
s38 packet_in: 11, packet_out: 11, ratio: 1.00
s39 packet_in: 10, packet_out: 10, ratio: 1.00
s40 packet_in: 59, packet_out: 59, ratio: 1.00
s41 packet_in: 38, packet_out: 38, ratio: 1.00
s42 packet_in: 55, packet_out: 55, ratio: 1.00
s43 packet_in: 25, packet_out: 25, ratio: 1.00
s44 packet_in: 5, packet_out: 5, ratio: 1.00
s45 packet_in: 5, packet_out: 5, ratio: 1.00
s46 packet_in: 58, packet_out: 58, ratio: 1.00
