s1 packet_in: 442, packet_out: 442, ratio: 1.00
s2 packet_in: 502, packet_out: 502, ratio: 1.00
s3 packet_in: 105, packet_out: 105, ratio: 1.00
s4 packet_in: 16, packet_out: 16, ratio: 1.00
s5 packet_in: 136, packet_out: 136, ratio: 1.00
s6 packet_in: 9, packet_out: 9, ratio: 1.00
s7 packet_in: 234, packet_out: 234, ratio: 1.00
s8 packet_in: 405, packet_out: 405, ratio: 1.00
s9 packet_in: 16, packet_out: 16, ratio: 1.00
s10 packet_in: 46, packet_out: 46, ratio: 1.00
s11 packet_in: 63, packet_out: 63, ratio: 1.00
s12 packet_in: 240, packet_out: 240, ratio: 1.00
s13 packet_in: 76, packet_out: 76, ratio: 1.00
s14 packet_in: 141, packet_out: 141, ratio: 1.00
s15 packet_in: 15, packet_out: 15, ratio: 1.00
s16 packet_in: 35, packet_out: 35, ratio: 1.00
s17 packet_in: 48, packet_out: 48, ratio: 1.00
s18 packet_in: 161, packet_out: 161, ratio: 1.00
s19 packet_in: 17, packet_out: 17, ratio: 1.00
s20 packet_in: 18, packet_out: 18, ratio: 1.00
s21 packet_in: 329, packet_out: 329, ratio: 1.00
s22 packet_in: 64, packet_out: 64, ratio: 1.00
s23 packet_in: 285, packet_out: 285, ratio: 1.00
s24 packet_in: 59, packet_out: 59, ratio: 1.00
s25 packet_in: 184, packet_out: 184, ratio: 1.00
s26 packet_in: 531, packet_out: 531, ratio: 1.00
s27 packet_in: 24, packet_out: 24, ratio: 1.00
s28 packet_in: 3357, packet_out: 3357, ratio: 1.00
s29 packet_in: 61, packet_out: 61, ratio: 1.00
s30 packet_in: 35, packet_out: 35, ratio: 1.00
s31 packet_in: 38, packet_out: 38, ratio: 1.00
s32 packet_in: 146, packet_out: 146, ratio: 1.00
s33 packet_in: 95, packet_out: 95, ratio: 1.00
s34 packet_in: 73, packet_out: 73, ratio: 1.00
s35 packet_in: 245, packet_out: 245, ratio: 1.00
s36 packet_in: 17, packet_out: 17, ratio: 1.00
s37 packet_in: 23, packet_out: 23, ratio: 1.00
s38 packet_in: 20, packet_out: 20, ratio: 1.00
s39 packet_in: 56, packet_out: 56, ratio: 1.00
s40 packet_in: 15, packet_out: 15, ratio: 1.00
s41 packet_in: 59, packet_out: 59, ratio: 1.00
