s1 packet_in: 338, packet_out: 338, ratio: 1.00
s2 packet_in: 876, packet_out: 1752, ratio: 2.00
s3 packet_in: 1554, packet_out: 1554, ratio: 1.00
s4 packet_in: 265, packet_out: 265, ratio: 1.00
s5 packet_in: 72, packet_out: 72, ratio: 1.00
s6 packet_in: 811, packet_out: 811, ratio: 1.00
s7 packet_in: 361, packet_out: 361, ratio: 1.00
s8 packet_in: 221, packet_out: 221, ratio: 1.00
s9 packet_in: 427, packet_out: 427, ratio: 1.00
s10 packet_in: 150, packet_out: 150, ratio: 1.00
s11 packet_in: 740, packet_out: 740, ratio: 1.00
s12 packet_in: 319, packet_out: 319, ratio: 1.00
s13 packet_in: 177, packet_out: 177, ratio: 1.00
s14 packet_in: 228, packet_out: 228, ratio: 1.00
s15 packet_in: 186, packet_out: 186, ratio: 1.00
s16 packet_in: 35, packet_out: 35, ratio: 1.00
s17 packet_in: 1028, packet_out: 1028, ratio: 1.00
s18 packet_in: 37, packet_out: 37, ratio: 1.00
s19 packet_in: 270, packet_out: 270, ratio: 1.00
s20 packet_in: 518, packet_out: 518, ratio: 1.00
s21 packet_in: 595, packet_out: 595, ratio: 1.00
s22 packet_in: 120, packet_out: 120, ratio: 1.00
s23 packet_in: 64, packet_out: 64, ratio: 1.00
s24 packet_in: 170, packet_out: 170, ratio: 1.00
s25 packet_in: 291, packet_out: 291, ratio: 1.00
s26 packet_in: 185, packet_out: 185, ratio: 1.00
s27 packet_in: 109, packet_out: 109, ratio: 1.00
s28 packet_in: 67, packet_out: 67, ratio: 1.00
s29 packet_in: 294, packet_out: 294, ratio: 1.00
s30 packet_in: 132, packet_out: 132, ratio: 1.00
s31 packet_in: 75, packet_out: 75, ratio: 1.00
s32 packet_in: 27, packet_out: 27, ratio: 1.00
s33 packet_in: 95, packet_out: 95, ratio: 1.00
s34 packet_in: 56, packet_out: 56, ratio: 1.00
s35 packet_in: 158, packet_out: 158, ratio: 1.00
s36 packet_in: 21, packet_out: 21, ratio: 1.00
s37 packet_in: 690, packet_out: 535, ratio: 0.78
s38 packet_in: 110, packet_out: 110, ratio: 1.00
s39 packet_in: 60, packet_out: 60, ratio: 1.00
s40 packet_in: 6, packet_out: 6, ratio: 1.00
s41 packet_in: 273, packet_out: 273, ratio: 1.00
s42 packet_in: 85, packet_out: 85, ratio: 1.00
s43 packet_in: 259, packet_out: 259, ratio: 1.00
s44 packet_in: 10, packet_out: 10, ratio: 1.00
s45 packet_in: 60, packet_out: 60, ratio: 1.00
