s1 packet_in: 44, packet_out: 44, ratio: 1.00
s2 packet_in: 226, packet_out: 226, ratio: 1.00
s3 packet_in: 89, packet_out: 89, ratio: 1.00
s4 packet_in: 103, packet_out: 103, ratio: 1.00
s5 packet_in: 31, packet_out: 31, ratio: 1.00
s6 packet_in: 134, packet_out: 134, ratio: 1.00
s7 packet_in: 172, packet_out: 172, ratio: 1.00
s8 packet_in: 63, packet_out: 63, ratio: 1.00
s9 packet_in: 21, packet_out: 21, ratio: 1.00
s10 packet_in: 31, packet_out: 31, ratio: 1.00
s11 packet_in: 36, packet_out: 36, ratio: 1.00
s12 packet_in: 28, packet_out: 28, ratio: 1.00
s13 packet_in: 27, packet_out: 27, ratio: 1.00
s14 packet_in: 86, packet_out: 86, ratio: 1.00
s15 packet_in: 54, packet_out: 54, ratio: 1.00
s16 packet_in: 42, packet_out: 42, ratio: 1.00
s17 packet_in: 1221, packet_out: 1221, ratio: 1.00
s18 packet_in: 133, packet_out: 133, ratio: 1.00
s19 packet_in: 1416, packet_out: 1416, ratio: 1.00
s20 packet_in: 1364, packet_out: 1364, ratio: 1.00
s21 packet_in: 48, packet_out: 48, ratio: 1.00
s22 packet_in: 69, packet_out: 69, ratio: 1.00
s23 packet_in: 17, packet_out: 17, ratio: 1.00
s24 packet_in: 104, packet_out: 104, ratio: 1.00
s25 packet_in: 13, packet_out: 13, ratio: 1.00
s26 packet_in: 268, packet_out: 268, ratio: 1.00
s27 packet_in: 26, packet_out: 26, ratio: 1.00
s28 packet_in: 96, packet_out: 96, ratio: 1.00
s29 packet_in: 1709, packet_out: 1709, ratio: 1.00
s30 packet_in: 848, packet_out: 848, ratio: 1.00
s31 packet_in: 2704, packet_out: 2704, ratio: 1.00
s32 packet_in: 1184, packet_out: 1184, ratio: 1.00
s33 packet_in: 71, packet_out: 71, ratio: 1.00
s34 packet_in: 23, packet_out: 23, ratio: 1.00
s35 packet_in: 50, packet_out: 50, ratio: 1.00
s36 packet_in: 96, packet_out: 96, ratio: 1.00
s37 packet_in: 71, packet_out: 71, ratio: 1.00
s38 packet_in: 593, packet_out: 593, ratio: 1.00
s39 packet_in: 15, packet_out: 15, ratio: 1.00
s40 packet_in: 30, packet_out: 30, ratio: 1.00
s41 packet_in: 26, packet_out: 26, ratio: 1.00
s42 packet_in: 689, packet_out: 689, ratio: 1.00
s43 packet_in: 59, packet_out: 59, ratio: 1.00
s44 packet_in: 112, packet_out: 112, ratio: 1.00
s45 packet_in: 42, packet_out: 42, ratio: 1.00
s46 packet_in: 7, packet_out: 7, ratio: 1.00
s47 packet_in: 43, packet_out: 43, ratio: 1.00
s48 packet_in: 12, packet_out: 12, ratio: 1.00
s49 packet_in: 7, packet_out: 7, ratio: 1.00
s50 packet_in: 275, packet_out: 550, ratio: 2.00
s51 packet_in: 759, packet_out: 759, ratio: 1.00
s52 packet_in: 2218, packet_out: 2218, ratio: 1.00
s53 packet_in: 7, packet_out: 7, ratio: 1.00
s54 packet_in: 50, packet_out: 50, ratio: 1.00
s55 packet_in: 200, packet_out: 200, ratio: 1.00
s56 packet_in: 34, packet_out: 34, ratio: 1.00
s57 packet_in: 38, packet_out: 38, ratio: 1.00
s58 packet_in: 33, packet_out: 33, ratio: 1.00
s59 packet_in: 4, packet_out: 4, ratio: 1.00
s60 packet_in: 476, packet_out: 476, ratio: 1.00
s61 packet_in: 3468, packet_out: 3468, ratio: 1.00
s62 packet_in: 15, packet_out: 15, ratio: 1.00
s63 packet_in: 336, packet_out: 336, ratio: 1.00
s64 packet_in: 88, packet_out: 88, ratio: 1.00
s65 packet_in: 41, packet_out: 41, ratio: 1.00
s66 packet_in: 13, packet_out: 13, ratio: 1.00
s67 packet_in: 8, packet_out: 8, ratio: 1.00
s68 packet_in: 874, packet_out: 874, ratio: 1.00
s69 packet_in: 910, packet_out: 910, ratio: 1.00
s70 packet_in: 10, packet_out: 10, ratio: 1.00
s71 packet_in: 66, packet_out: 66, ratio: 1.00
s72 packet_in: 6, packet_out: 6, ratio: 1.00
s73 packet_in: 1326, packet_out: 1326, ratio: 1.00
s74 packet_in: 124, packet_out: 124, ratio: 1.00
s75 packet_in: 26, packet_out: 26, ratio: 1.00
s76 packet_in: 579, packet_out: 579, ratio: 1.00
s77 packet_in: 4, packet_out: 4, ratio: 1.00
s78 packet_in: 5, packet_out: 5, ratio: 1.00
s79 packet_in: 104, packet_out: 104, ratio: 1.00
s80 packet_in: 258, packet_out: 258, ratio: 1.00
