s1 packet_in: 546, packet_out: 546, ratio: 1.00
s2 packet_in: 547, packet_out: 547, ratio: 1.00
s3 packet_in: 549, packet_out: 549, ratio: 1.00
s4 packet_in: 145, packet_out: 145, ratio: 1.00
s5 packet_in: 73, packet_out: 73, ratio: 1.00
s6 packet_in: 543, packet_out: 543, ratio: 1.00
s7 packet_in: 160, packet_out: 160, ratio: 1.00
s8 packet_in: 100, packet_out: 100, ratio: 1.00
s9 packet_in: 550, packet_out: 550, ratio: 1.00
s10 packet_in: 550, packet_out: 550, ratio: 1.00
s11 packet_in: 377, packet_out: 377, ratio: 1.00
s12 packet_in: 539, packet_out: 539, ratio: 1.00
s13 packet_in: 511, packet_out: 511, ratio: 1.00
s14 packet_in: 553, packet_out: 553, ratio: 1.00
s15 packet_in: 190, packet_out: 190, ratio: 1.00
s16 packet_in: 45, packet_out: 45, ratio: 1.00
s17 packet_in: 142, packet_out: 142, ratio: 1.00
s18 packet_in: 551, packet_out: 551, ratio: 1.00
s19 packet_in: 152, packet_out: 152, ratio: 1.00
s20 packet_in: 120, packet_out: 120, ratio: 1.00
s21 packet_in: 549, packet_out: 549, ratio: 1.00
s22 packet_in: 541, packet_out: 541, ratio: 1.00
s23 packet_in: 383, packet_out: 383, ratio: 1.00
s24 packet_in: 221, packet_out: 221, ratio: 1.00
s25 packet_in: 26, packet_out: 26, ratio: 1.00
s26 packet_in: 553, packet_out: 553, ratio: 1.00
s27 packet_in: 310, packet_out: 310, ratio: 1.00
s28 packet_in: 555, packet_out: 555, ratio: 1.00
s29 packet_in: 234, packet_out: 234, ratio: 1.00
s30 packet_in: 412, packet_out: 412, ratio: 1.00
s31 packet_in: 550, packet_out: 550, ratio: 1.00
s32 packet_in: 553, packet_out: 553, ratio: 1.00
s33 packet_in: 546, packet_out: 546, ratio: 1.00
s34 packet_in: 549, packet_out: 549, ratio: 1.00
s35 packet_in: 549, packet_out: 549, ratio: 1.00
s36 packet_in: 201, packet_out: 201, ratio: 1.00
s37 packet_in: 53, packet_out: 53, ratio: 1.00
s38 packet_in: 556, packet_out: 556, ratio: 1.00
s39 packet_in: 17, packet_out: 17, ratio: 1.00
s40 packet_in: 553, packet_out: 553, ratio: 1.00
s41 packet_in: 554, packet_out: 554, ratio: 1.00
s42 packet_in: 557, packet_out: 557, ratio: 1.00
s43 packet_in: 555, packet_out: 555, ratio: 1.00
s44 packet_in: 557, packet_out: 557, ratio: 1.00
s45 packet_in: 544, packet_out: 544, ratio: 1.00
s46 packet_in: 556, packet_out: 556, ratio: 1.00
s47 packet_in: 488, packet_out: 488, ratio: 1.00
s48 packet_in: 558, packet_out: 558, ratio: 1.00
s49 packet_in: 199, packet_out: 199, ratio: 1.00
s50 packet_in: 228, packet_out: 228, ratio: 1.00
s51 packet_in: 62, packet_out: 62, ratio: 1.00
s52 packet_in: 391, packet_out: 391, ratio: 1.00
s53 packet_in: 81, packet_out: 81, ratio: 1.00
s54 packet_in: 356, packet_out: 356, ratio: 1.00
s55 packet_in: 511, packet_out: 511, ratio: 1.00
s56 packet_in: 555, packet_out: 555, ratio: 1.00
