s1 packet_in: 70, packet_out: 70, ratio: 1.00
s2 packet_in: 37, packet_out: 37, ratio: 1.00
s3 packet_in: 122, packet_out: 122, ratio: 1.00
s4 packet_in: 7, packet_out: 7, ratio: 1.00
s5 packet_in: 147, packet_out: 147, ratio: 1.00
s6 packet_in: 8, packet_out: 8, ratio: 1.00
s7 packet_in: 197, packet_out: 197, ratio: 1.00
s8 packet_in: 10, packet_out: 10, ratio: 1.00
s9 packet_in: 47, packet_out: 47, ratio: 1.00
s10 packet_in: 9, packet_out: 9, ratio: 1.00
s11 packet_in: 8, packet_out: 8, ratio: 1.00
s12 packet_in: 82, packet_out: 82, ratio: 1.00
s13 packet_in: 41, packet_out: 41, ratio: 1.00
s14 packet_in: 20, packet_out: 20, ratio: 1.00
s15 packet_in: 147, packet_out: 147, ratio: 1.00
s16 packet_in: 36, packet_out: 36, ratio: 1.00
s17 packet_in: 363, packet_out: 363, ratio: 1.00
s18 packet_in: 10, packet_out: 10, ratio: 1.00
s19 packet_in: 80, packet_out: 80, ratio: 1.00
s20 packet_in: 13, packet_out: 13, ratio: 1.00
s21 packet_in: 116, packet_out: 116, ratio: 1.00
s22 packet_in: 439, packet_out: 439, ratio: 1.00
s23 packet_in: 11, packet_out: 11, ratio: 1.00
s24 packet_in: 50, packet_out: 50, ratio: 1.00
s25 packet_in: 10, packet_out: 10, ratio: 1.00
s26 packet_in: 67, packet_out: 67, ratio: 1.00
s27 packet_in: 354, packet_out: 708, ratio: 2.00
s28 packet_in: 66, packet_out: 66, ratio: 1.00
s29 packet_in: 14, packet_out: 14, ratio: 1.00
s30 packet_in: 195, packet_out: 195, ratio: 1.00
s31 packet_in: 39, packet_out: 39, ratio: 1.00
s32 packet_in: 45, packet_out: 45, ratio: 1.00
s33 packet_in: 45, packet_out: 45, ratio: 1.00
s34 packet_in: 5, packet_out: 5, ratio: 1.00
s35 packet_in: 32, packet_out: 32, ratio: 1.00
s36 packet_in: 339, packet_out: 339, ratio: 1.00
s37 packet_in: 368, packet_out: 295, ratio: 0.80
s38 packet_in: 292, packet_out: 292, ratio: 1.00
s39 packet_in: 13, packet_out: 13, ratio: 1.00
s40 packet_in: 29, packet_out: 29, ratio: 1.00
s41 packet_in: 750, packet_out: 750, ratio: 1.00
s42 packet_in: 2042, packet_out: 2042, ratio: 1.00
s43 packet_in: 846, packet_out: 846, ratio: 1.00
s44 packet_in: 81, packet_out: 81, ratio: 1.00
s45 packet_in: 909, packet_out: 909, ratio: 1.00
s46 packet_in: 77, packet_out: 77, ratio: 1.00
s47 packet_in: 60, packet_out: 60, ratio: 1.00
s48 packet_in: 8, packet_out: 8, ratio: 1.00
s49 packet_in: 74, packet_out: 74, ratio: 1.00
s50 packet_in: 9, packet_out: 9, ratio: 1.00
s51 packet_in: 48, packet_out: 48, ratio: 1.00
s52 packet_in: 2389, packet_out: 2389, ratio: 1.00
s53 packet_in: 503, packet_out: 503, ratio: 1.00
s54 packet_in: 27, packet_out: 27, ratio: 1.00
s55 packet_in: 53, packet_out: 53, ratio: 1.00
s56 packet_in: 62, packet_out: 62, ratio: 1.00
s57 packet_in: 20, packet_out: 20, ratio: 1.00
s58 packet_in: 209, packet_out: 209, ratio: 1.00
s59 packet_in: 15, packet_out: 15, ratio: 1.00
s60 packet_in: 10, packet_out: 10, ratio: 1.00
s61 packet_in: 47, packet_out: 47, ratio: 1.00
s62 packet_in: 562, packet_out: 562, ratio: 1.00
s63 packet_in: 652, packet_out: 652, ratio: 1.00
s64 packet_in: 1401, packet_out: 1401, ratio: 1.00
s65 packet_in: 295, packet_out: 295, ratio: 1.00
s66 packet_in: 228, packet_out: 228, ratio: 1.00
s67 packet_in: 260, packet_out: 260, ratio: 1.00
s68 packet_in: 221, packet_out: 221, ratio: 1.00
s69 packet_in: 253, packet_out: 253, ratio: 1.00
s70 packet_in: 458, packet_out: 458, ratio: 1.00
s71 packet_in: 88, packet_out: 88, ratio: 1.00
s72 packet_in: 725, packet_out: 725, ratio: 1.00
s73 packet_in: 573, packet_out: 573, ratio: 1.00
s74 packet_in: 317, packet_out: 317, ratio: 1.00
s75 packet_in: 681, packet_out: 681, ratio: 1.00
s76 packet_in: 112, packet_out: 112, ratio: 1.00
s77 packet_in: 10, packet_out: 10, ratio: 1.00
s78 packet_in: 7, packet_out: 7, ratio: 1.00
s79 packet_in: 106, packet_out: 106, ratio: 1.00
s80 packet_in: 1643, packet_out: 1643, ratio: 1.00
s81 packet_in: 2, packet_out: 2, ratio: 1.00
s82 packet_in: 4, packet_out: 4, ratio: 1.00
s83 packet_in: 94, packet_out: 94, ratio: 1.00
s84 packet_in: 4, packet_out: 4, ratio: 1.00
s85 packet_in: 588, packet_out: 588, ratio: 1.00
s86 packet_in: 1955, packet_out: 1955, ratio: 1.00
s87 packet_in: 6, packet_out: 6, ratio: 1.00
s88 packet_in: 2, packet_out: 2, ratio: 1.00
s89 packet_in: 6, packet_out: 6, ratio: 1.00
s90 packet_in: 617, packet_out: 617, ratio: 1.00
s91 packet_in: 70, packet_out: 70, ratio: 1.00
s92 packet_in: 2, packet_out: 2, ratio: 1.00
s93 packet_in: 4, packet_out: 4, ratio: 1.00
s94 packet_in: 2675, packet_out: 2675, ratio: 1.00
s95 packet_in: 2475, packet_out: 2475, ratio: 1.00
s96 packet_in: 264, packet_out: 264, ratio: 1.00
s97 packet_in: 2, packet_out: 2, ratio: 1.00
s98 packet_in: 4, packet_out: 4, ratio: 1.00
s99 packet_in: 138, packet_out: 138, ratio: 1.00
s100 packet_in: 30, packet_out: 30, ratio: 1.00
s101 packet_in: 4, packet_out: 4, ratio: 1.00
s102 packet_in: 6, packet_out: 6, ratio: 1.00
s103 packet_in: 6, packet_out: 6, ratio: 1.00
s104 packet_in: 2105, packet_out: 2105, ratio: 1.00
s105 packet_in: 39, packet_out: 39, ratio: 1.00
s106 packet_in: 9, packet_out: 9, ratio: 1.00
s107 packet_in: 131, packet_out: 131, ratio: 1.00
s108 packet_in: 6, packet_out: 6, ratio: 1.00
s109 packet_in: 94, packet_out: 94, ratio: 1.00
s110 packet_in: 692, packet_out: 692, ratio: 1.00
s111 packet_in: 1980, packet_out: 1980, ratio: 1.00
s112 packet_in: 67, packet_out: 67, ratio: 1.00
s113 packet_in: 81, packet_out: 81, ratio: 1.00
s114 packet_in: 8, packet_out: 8, ratio: 1.00
s115 packet_in: 974, packet_out: 974, ratio: 1.00
s116 packet_in: 2001, packet_out: 2001, ratio: 1.00
s117 packet_in: 734, packet_out: 734, ratio: 1.00
s118 packet_in: 197, packet_out: 197, ratio: 1.00
s119 packet_in: 4, packet_out: 4, ratio: 1.00
s120 packet_in: 1974, packet_out: 1974, ratio: 1.00
s121 packet_in: 1092, packet_out: 1092, ratio: 1.00
s122 packet_in: 699, packet_out: 699, ratio: 1.00
s123 packet_in: 166, packet_out: 166, ratio: 1.00
s124 packet_in: 82, packet_out: 82, ratio: 1.00
s125 packet_in: 2, packet_out: 2, ratio: 1.00
